Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2957885,0.0,39.935222672064775,-0.04472549,-0.621754661808169,-0.621754661808169,1.0
20000,3.2957878,0.0,39.93004115226338,-0.04543269,-0.6767656275764905,-0.6767656275764905,1.0
30000,3.2957883,0.0,42.077922077922075,-0.04368194,-0.6632357074584796,-0.6632357074584796,1.0
40000,3.2957895,0.0,45.36082474226804,-0.042093366,-0.6483310769876668,-0.6483310769876668,1.0
50000,3.2957892,0.0,51.07058823529412,-0.042936143,-0.6566223727409229,-0.6566223727409229,1.0
60000,3.2957895,0.0,82.41780821917808,-0.045082107,-0.6621279190326559,-0.6621279190326559,1.0
70000,3.2957885,0.0,50.60919540229885,-0.047322154,-0.6444594709352515,-0.6444594709352515,1.0
80000,3.295788,0.0,56.336633663366335,-0.044886105,-0.6763287012529845,-0.6763287012529845,1.0
90000,3.295789,0.0,38.70042194092827,-0.04776035,-0.6829468243232759,-0.6829468243232759,1.0
100000,3.295788,0.0,42.298701298701296,-0.044984255,-0.6858103799097466,-0.6858103799097466,1.0
110000,3.2957883,0.0,40.45679012345679,-0.046077915,-0.7155506085957029,-0.7155506085957029,1.0
120000,3.2957902,0.0,41.03389830508475,-0.04419115,-0.6937205405053446,-0.6937205405053446,1.0
130000,3.295788,0.0,44.89449541284404,-0.042505927,-0.6869827894442672,-0.6869827894442672,1.0
140000,3.2957876,0.0,39.40562248995984,-0.044674177,-0.7106295084378805,-0.7106295084378805,1.0
150000,3.2957892,0.0,39.877049180327866,-0.0465421,-0.665249372215428,-0.665249372215428,1.0
160000,3.2957885,0.0,46.4622641509434,-0.045248393,-0.6579943565135831,-0.6579943565135831,1.0
170000,3.2957878,0.0,49.28426395939086,-0.043378647,-0.6850411084097654,-0.6850411084097654,1.0
180000,3.2957907,0.0,36.864150943396226,-0.04558314,-0.7189879143013145,-0.7189879143013145,1.0
190000,3.2957916,0.0,52.51006711409396,-0.042036775,-0.7195567012633253,-0.7195567012633253,1.0
200000,3.2957888,0.0,56.516746411483254,-0.045937855,-0.6405691290586188,-0.6405691290586188,1.0
210000,3.2957888,0.0,44.74885844748859,-0.044260085,-0.6810598074029025,-0.6810598074029025,1.0
220000,3.2957902,0.0,45.334883720930236,-0.043507196,-0.6030374302420505,-0.6030374302420505,1.0
230000,3.295789,0.0,46.80861244019139,-0.04637473,-0.7319693725074877,-0.7319693725074877,1.0
240000,3.2957895,0.0,43.67857142857143,-0.04698605,-0.6417361519166401,-0.6417361519166401,1.0
250000,3.2957895,0.0,46.7,-0.042181868,-0.6573030843621208,-0.6573030843621208,1.0
260000,3.2957892,0.0,44.310810810810814,-0.044094507,-0.716316431760788,-0.716316431760788,1.0
270000,3.2957902,0.0,38.95983935742972,-0.044967648,-0.6872684634832972,-0.6872684634832972,1.0
280000,3.2957892,0.0,40.66108786610879,-0.045257956,-0.7134255133413371,-0.7134255133413371,1.0
290000,3.2957876,0.0,41.05882352941177,-0.044991557,-0.6980531408506281,-0.6980531408506281,1.0
300000,3.2957892,0.0,61.6375,-0.04475972,-0.6584278006106615,-0.6584278006106615,1.0
310000,3.2957892,0.0,50.01020408163265,-0.045710973,-0.6752925922676009,-0.6752925922676009,1.0
320000,3.2957878,0.0,44.84403669724771,-0.04411595,-0.7350350828892595,-0.7350350828892595,1.0
