Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2957885,0.0,1055.0,-0.010429523,-0.06969994306564331,-0.06969994306564331,1.0
20000,3.2957902,0.0,None,-0.008739549,None,None,1.0
30000,3.2957923,0.0,3982.285714285714,-0.0129848,-1.0,-1.0,1.0
40000,3.2957857,0.0,2027.0,-0.012068475,0.12326250225305557,0.12326250225305557,1.0
50000,3.2957876,0.0,2132.6666666666665,-0.010826237,-0.10133143266042073,-0.10133143266042073,1.0
60000,3.2957911,0.0,None,-0.0065714656,None,None,1.0
70000,3.295787,0.0,3316.8333333333335,-0.0109374765,0.17055020729700723,0.17055020729700723,1.0
80000,3.2957911,0.0,3689.3333333333335,-0.006332795,0.07739293575286865,0.07739293575286865,1.0
90000,3.2957866,0.0,3999.0,-0.010476273,0.0,0.0,1.0
100000,3.2957895,0.0,1983.8,-0.013874252,-0.185141459107399,-0.185141459107399,1.0
110000,3.295787,0.0,3397.0,-0.006626598,0.13402067763464792,0.13402067763464792,1.0
120000,3.295791,0.0,929.0,-0.016298773,-0.08604779839515686,-0.08604779839515686,1.0
130000,3.2957926,0.0,2434.6666666666665,-0.008458726,-0.5,-0.5,1.0
140000,3.2957892,0.0,3265.6,-0.0067241816,-0.5,-0.5,1.0
150000,3.2957883,0.0,3999.0,-0.011547887,0.0,0.0,1.0
160000,3.2957902,0.0,None,-0.015896145,None,None,1.0
170000,3.2957919,0.0,3999.0,-0.009033696,0.0,0.0,1.0
180000,3.2957876,0.0,3515.0,-0.008195037,-0.16666666666666666,-0.16666666666666666,1.0
190000,3.295792,0.0,2182.0,-0.010030261,0.4542156159877777,0.4542156159877777,1.0
200000,3.2957888,0.0,1175.3333333333333,-0.009504529,-0.4623193343480428,-0.4623193343480428,1.0
210000,3.2957902,0.0,3999.0,-0.011012406,0.0,0.0,1.0
220000,3.2957895,0.0,2490.0,-0.012872678,0.37730705738067627,0.37730705738067627,1.0
230000,3.295791,0.0,2782.2,-0.012916321,-0.20132999420166015,-0.20132999420166015,1.0
240000,3.2957885,0.0,2938.3333333333335,-0.009248968,0.2651362419128418,0.2651362419128418,1.0
250000,3.2957904,0.0,3851.0,-0.0040273857,-0.3333333333333333,-0.3333333333333333,1.0
260000,3.2957854,0.0,2999.6666666666665,-0.010781529,-0.5,-0.5,1.0
270000,3.2957883,0.0,3113.6666666666665,-0.0130927665,-0.5,-0.5,1.0
280000,3.2957892,0.0,2452.75,-0.013483282,0.3865462690591812,0.3865462690591812,1.0
290000,3.2957878,0.0,2866.6666666666665,-0.009295865,0.28310052553812665,0.28310052553812665,1.0
300000,3.2957902,0.0,2743.8,-0.011499411,-0.25,-0.25,1.0
310000,3.2957878,0.0,3161.3333333333335,-0.00750201,-0.0929763913154602,-0.0929763913154602,1.0
