Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2958186,0.0,653.5,-0.09564622,-1.0,-1.0,1.0
20000,3.2958174,0.0,2425.0,-0.09408384,0.39355558156967163,0.39355558156967163,1.0
30000,3.2958183,0.0,3999.0,-0.08587302,0.0,0.0,1.0
40000,3.2958195,0.0,3999.0,-0.090433024,0.0,0.0,1.0
50000,3.2958188,0.0,None,-0.0872555,None,None,1.0
60000,3.2958183,0.0,3999.0,-0.08830474,0.0,0.0,1.0
70000,3.2958183,0.0,3969.0,-0.08015679,0.007516294717788696,0.007516294717788696,1.0
80000,3.2958179,0.0,2886.6666666666665,-0.08413689,-0.3333333333333333,-0.3333333333333333,1.0
90000,3.295818,0.0,3999.0,-0.08982426,None,None,1.0
100000,3.2958186,0.0,2719.0,-0.09446935,-0.5,-0.5,1.0
110000,3.2958188,0.0,3999.0,-0.087003104,0.0,0.0,1.0
120000,3.2958179,0.0,3999.0,-0.08702824,0.0,0.0,1.0
130000,3.295818,0.0,3247.6666666666665,-0.09059858,-0.3333333333333333,-0.3333333333333333,1.0
140000,3.2958183,0.0,3588.1666666666665,-0.081469774,0.15407311916351318,0.15407311916351318,1.0
150000,3.295818,0.0,3044.0,-0.09388096,-0.25,-0.25,1.0
160000,3.295819,0.0,1523.0,-0.08926307,-0.20848149061203003,-0.20848149061203003,1.0
170000,3.2958174,0.0,3464.5,-0.08329951,-0.5,-0.5,1.0
180000,3.295818,0.0,3819.0,-0.09027761,-0.3333333333333333,-0.3333333333333333,1.0
190000,3.295819,0.0,3999.0,-0.07811934,0.0,0.0,1.0
200000,3.295819,0.0,None,-0.08334185,None,None,1.0
210000,3.2958188,0.0,3780.4,-0.093060225,-0.2213226705789566,-0.2213226705789566,1.0
220000,3.295819,0.0,3999.0,-0.08533277,0.0,0.0,1.0
230000,3.2958188,0.0,3999.0,-0.08945593,0.0,0.0,1.0
240000,3.2958179,0.0,3735.0,-0.092768006,0.0880280335744222,0.0880280335744222,1.0
250000,3.2958179,0.0,3208.0,-0.079731256,0.13185197114944458,0.13185197114944458,1.0
260000,3.295819,0.0,3999.0,-0.08395955,0.0,0.0,1.0
270000,3.2958188,0.0,656.0,-0.08509181,0.8357533812522888,0.8357533812522888,1.0
280000,3.2958183,0.0,3999.0,-0.09511059,0.0,0.0,1.0
290000,3.2958183,0.0,3053.75,-0.087679245,0.13016835848490396,0.13016835848490396,1.0
300000,3.2958183,0.0,1901.5,-0.08373794,-0.07491360108057658,-0.07491360108057658,1.0
310000,3.2958183,0.0,3999.0,-0.094312765,0.0,0.0,1.0
320000,3.295819,0.0,3204.1666666666665,-0.086080976,-0.3333333333333333,-0.3333333333333333,1.0
330000,3.295819,0.0,3072.3333333333335,-0.089108475,-0.3333333333333333,-0.3333333333333333,1.0
340000,3.295818,0.0,3343.0,-0.08800609,0.16394734382629395,0.16394734382629395,1.0
350000,3.2958179,0.0,2951.75,-0.08679827,-0.03058794140815735,-0.03058794140815735,1.0
360000,3.295818,0.0,3627.3333333333335,-0.09046761,-0.3333333333333333,-0.3333333333333333,1.0
370000,3.2958183,0.0,2356.2,-0.09078176,-0.6,-0.6,1.0
380000,3.2958176,0.0,3999.0,-0.086165756,0.0,0.0,1.0
390000,3.2958176,0.0,3999.0,-0.09043155,0.0,0.0,1.0
400000,3.2958193,0.0,3906.6666666666665,-0.085691944,-0.25,-0.25,1.0
410000,3.2958179,0.0,3999.0,-0.08484851,0.0,0.0,1.0
420000,3.295818,0.0,3186.0,-0.08476153,0.15246036648750305,0.15246036648750305,1.0
430000,3.295818,0.0,3999.0,-0.088063166,0.0,0.0,1.0
440000,3.2958188,0.0,2648.75,-0.08428522,-0.008200064301490784,-0.008200064301490784,1.0
450000,3.2958188,0.0,3003.25,-0.0804151,0.24892500042915344,0.24892500042915344,1.0
460000,3.295818,0.0,2100.5,-0.088659056,0.4745997190475464,0.4745997190475464,1.0
470000,3.2958174,0.0,3585.75,-0.08493914,0.13778628905614218,0.13778628905614218,1.0
480000,3.2958186,0.0,3318.5,-0.08518124,0.13608062267303467,0.13608062267303467,1.0
490000,3.2958186,0.0,3999.0,-0.08370275,0.0,0.0,1.0
500000,3.2958188,0.0,3186.0,-0.09032918,-0.5,-0.5,1.0
510000,3.295818,0.0,3999.0,-0.08958839,0.0,0.0,1.0
520000,3.2900836,0.0,3374.0,-0.07426589,-0.25,-0.25,1.0
530000,3.2849252,0.0,None,-0.05980881,0.0,0.0,1.0
540000,3.2853723,0.0,3304.5,-0.059662487,-0.3333333333333333,-0.3333333333333333,1.0
550000,3.2858777,0.0,3844.3333333333335,-0.061549455,-0.25,-0.25,1.0
560000,3.2856355,0.0,3262.3333333333335,-0.059733823,-0.3333333333333333,-0.3333333333333333,1.0
570000,3.2848253,0.0,3662.5,-0.05690096,-1.0,-1.0,1.0
580000,3.2857716,0.0,3999.0,-0.059362877,0.0,0.0,1.0
590000,3.2852888,0.0,3899.4,-0.061257564,-0.17809830904006957,-0.17809830904006957,1.0
600000,3.2855997,0.0,2779.5,-0.055389445,-0.5,-0.5,1.0
610000,3.2855308,0.0,3304.8,-0.06016654,-0.131607785820961,-0.131607785820961,1.0
620000,3.2856033,0.0,2427.0,-0.05945643,0.2620199720064799,0.2620199720064799,1.0
630000,3.285151,0.0,3168.75,-0.06068248,-0.2899960478146871,-0.2899960478146871,1.0
640000,3.2856069,0.0,3313.0,-0.058392525,0.08568435907363892,0.08568435907363892,1.0
650000,3.285573,0.0,3999.0,-0.05779909,0.0,0.0,1.0
660000,3.2854056,0.0,2141.75,-0.05869278,0.4546840786933899,0.4546840786933899,1.0
670000,3.2856848,0.0,3199.6666666666665,-0.061045427,0.27307552099227905,0.27307552099227905,1.0
680000,3.2861369,0.0,3494.5,-0.06118376,0.12606605887413025,0.12606605887413025,1.0
690000,3.2853973,0.0,3999.0,-0.058459412,0.0,0.0,1.0
700000,3.285205,0.0,3684.6,-0.052937448,0.09825137257575989,0.09825137257575989,1.0
710000,3.2851214,0.0,2803.3333333333335,-0.058204316,-0.25,-0.25,1.0
720000,3.285536,0.0,2680.0,-0.06425038,0.32972484827041626,0.32972484827041626,1.0
730000,3.2847767,0.0,3398.0,-0.053942002,-0.3333333333333333,-0.3333333333333333,1.0
740000,3.2855728,0.0,2402.6,-0.056011636,0.1620494842529297,0.1620494842529297,1.0
750000,3.2848213,0.0,3828.3333333333335,-0.05666025,-0.3333333333333333,-0.3333333333333333,1.0
760000,3.28585,0.0,3784.0,-0.059895914,0.05372905731201172,0.05372905731201172,1.0
770000,3.285329,0.0,2642.5,-0.056388255,-0.5,-0.5,1.0
780000,3.285722,0.0,3663.0,-0.055814248,-0.3333333333333333,-0.3333333333333333,1.0
790000,3.285407,0.0,3999.0,-0.057732332,0.0,0.0,1.0
800000,3.2853396,0.0,3999.0,-0.058297038,0.0,0.0,1.0
810000,3.285077,0.0,3964.0,-0.05861593,0.00874950885772705,0.00874950885772705,1.0
820000,3.2855244,0.0,2939.0,-0.056287512,-0.17030170559883118,-0.17030170559883118,1.0
830000,3.2849987,0.0,3346.0,-0.054898914,-0.5,-0.5,1.0
840000,3.285345,0.0,3089.5,-0.055209715,-1.0,-1.0,1.0
850000,3.2856681,0.0,3906.75,-0.057362452,-0.2,-0.2,1.0
860000,3.2854211,0.0,3210.5,-0.060392696,-0.5,-0.5,1.0
870000,3.285499,0.0,3384.6666666666665,-0.05905554,-0.3333333333333333,-0.3333333333333333,1.0
880000,3.2855854,0.0,3209.25,-0.05591053,-0.5,-0.5,1.0
890000,3.2858648,0.0,3050.5,-0.06324487,0.23708735406398773,0.23708735406398773,1.0
900000,3.2853072,0.0,3404.0,-0.058528583,0.29723960161209106,0.29723960161209106,1.0
910000,3.2855713,0.0,3999.0,-0.05742727,0.0,0.0,1.0
920000,3.2852356,0.0,3156.8571428571427,-0.057585075,-0.15506444658551896,-0.15506444658551896,1.0
930000,3.2860239,0.0,2921.0,-0.058784083,-0.3333333333333333,-0.3333333333333333,1.0
940000,3.285361,0.0,3999.0,-0.06491805,0.0,0.0,1.0
950000,3.2856133,0.0,3188.2,-0.059606936,-0.11335951089859009,-0.11335951089859009,1.0
960000,3.2851627,0.0,3999.0,-0.056836538,0.0,0.0,1.0
970000,3.284562,0.0,None,-0.050499756,0.0,0.0,1.0
980000,3.2845423,0.0,3999.0,-0.051338606,0.0,0.0,1.0
990000,3.285927,0.0,3999.0,-0.058635,0.0,0.0,1.0
1000000,3.2849429,0.0,2738.0,-0.061070584,-0.3333333333333333,-0.3333333333333333,1.0
1010000,3.2853107,0.0,3999.0,-0.058681913,0.0,0.0,1.0
1020000,3.285519,0.0,3999.0,-0.05919168,0.0,0.0,1.0
1030000,3.2704027,0.0,3551.3333333333335,-0.056196637,0.0,0.0,1.0
1040000,3.266392,0.0,None,-0.047488507,-0.3333333333333333,-0.3333333333333333,1.0
1050000,3.2633345,0.0,3999.0,-0.04232489,0.0,0.0,1.0
1060000,3.2632115,0.0,3402.6666666666665,-0.044387374,-0.25,-0.25,1.0
1070000,3.263469,0.0,3999.0,-0.04117493,0.0,0.0,1.0
1080000,3.2635198,0.0,3574.5,-0.043922428,-0.5,-0.5,1.0
1090000,3.2634265,0.0,3999.0,-0.0418732,0.0,0.0,1.0
1100000,3.2630417,0.0,3212.0,-0.04324406,0.19673000574111937,0.19673000574111937,1.0
1110000,3.2633479,0.0,2750.6666666666665,-0.042746622,-0.3333333333333333,-0.3333333333333333,1.0
1120000,3.2615569,0.0,3200.3333333333335,-0.042124216,-0.3333333333333333,-0.3333333333333333,1.0
1130000,3.2626257,0.0,3573.0,-0.040705997,-0.2,-0.2,1.0
1140000,3.2639277,0.0,2767.0,-0.04194742,0.30794620513916016,0.30794620513916016,1.0
1150000,3.2637014,0.0,3190.6666666666665,-0.04124632,0.30307042598724365,0.30307042598724365,1.0
1160000,3.2633834,0.0,2894.0,-0.041334085,-0.03282933235168457,-0.03282933235168457,1.0
1170000,3.2633424,0.0,3999.0,-0.043442726,0.0,0.0,1.0
1180000,3.262075,0.0,3634.0,-0.041606396,-0.3333333333333333,-0.3333333333333333,1.0
1190000,3.2615266,0.0,2952.3333333333335,-0.0416287,0.3916552662849426,0.3916552662849426,1.0
1200000,3.2631202,0.0,3999.0,-0.043959845,-0.25,-0.25,1.0
1210000,3.2617774,0.0,3914.0,-0.041722186,-1.0,-1.0,1.0
1220000,3.2614057,0.0,3712.3333333333335,-0.039687112,0.07159197330474854,0.07159197330474854,1.0
1230000,3.2627418,0.0,3999.0,-0.040827345,0.0,0.0,1.0
1240000,3.2627587,0.0,3999.0,-0.04475824,0.0,0.0,1.0
1250000,3.263598,0.0,3463.75,-0.045364335,0.17837311824162802,0.17837311824162802,1.0
1260000,3.2617407,0.0,3999.0,-0.042649977,0.0,0.0,1.0
1270000,3.2626972,0.0,2991.5,-0.04282081,0.002833207448323568,0.002833207448323568,1.0
1280000,3.2621365,0.0,3999.0,-0.0442933,0.0,0.0,1.0
1290000,3.2625594,0.0,2447.5,-0.04065673,0.38790565729141235,0.38790565729141235,1.0
1300000,3.2631912,0.0,3999.0,-0.03990881,0.0,0.0,1.0
1310000,3.2627556,0.0,3806.0,-0.042149696,0.04822605848312378,0.04822605848312378,1.0
1320000,3.2624676,0.0,3196.0,-0.041257538,0.33989667892456055,0.33989667892456055,1.0
1330000,3.2625673,0.0,3137.5,-0.04163596,-0.6666666666666666,-0.6666666666666666,1.0
1340000,3.262698,0.0,3518.0,-0.043373,-0.5,-0.5,1.0
1350000,3.2624176,0.0,3999.0,-0.03951458,0.0,0.0,1.0
1360000,3.263042,0.0,3999.0,-0.041399922,0.0,0.0,1.0
1370000,3.2624621,0.0,3999.0,-0.04070232,0.0,0.0,1.0
1380000,3.2626321,0.0,3999.0,-0.042150415,0.0,0.0,1.0
1390000,3.2615373,0.0,2347.5,-0.04208163,0.41285234689712524,0.41285234689712524,1.0
1400000,3.2624767,0.0,3614.5,-0.042656705,0.09611351788043976,0.09611351788043976,1.0
1410000,3.2624109,0.0,3295.0,-0.043519642,0.13203197717666626,0.13203197717666626,1.0
1420000,3.262046,0.0,2214.75,-0.044988927,0.010122910141944885,0.010122910141944885,1.0
1430000,3.2613642,0.0,3068.25,-0.043407477,0.23267123103141785,0.23267123103141785,1.0
1440000,3.2648253,0.0,3999.0,-0.043003306,0.0,0.0,1.0
1450000,3.262525,0.0,3417.0,-0.043690596,0.0,0.0,1.0
1460000,3.2623057,0.0,3999.0,-0.0428183,0.10911567509174347,0.10911567509174347,1.0
1470000,3.2619185,0.0,3999.0,-0.043832265,0.0,0.0,1.0
1480000,3.262584,0.0,3896.0,-0.0419741,0.02554452419281006,0.02554452419281006,1.0
1490000,3.262522,0.0,3876.3333333333335,-0.041479338,-0.2,-0.2,1.0
1500000,3.2624722,0.0,3999.0,-0.043119475,0.0,0.0,1.0
1510000,3.2627685,0.0,2960.5,-0.039432276,0.2596132159233093,0.2596132159233093,1.0
1520000,3.2627537,0.0,3445.0,-0.04277176,-0.5,-0.5,1.0
1530000,3.2624588,0.0,3999.0,-0.040757407,0.0,0.0,1.0
1540000,3.2485864,0.0,3628.0,-0.041123886,0.27828449010849,0.27828449010849,1.0
1550000,3.2396805,0.0,3999.0,-0.032060254,0.0,0.0,1.0
1560000,3.2342064,0.0,None,-0.030690437,0.0,0.0,1.0
1570000,3.2382548,0.0,None,-0.031076957,None,None,1.0
1580000,3.2409692,0.0,3885.4,-0.031296883,-0.2,-0.2,1.0
1590000,3.2407687,0.0,3449.0,-0.032179832,0.1375429630279541,0.1375429630279541,1.0
1600000,3.2429597,0.0,3999.0,-0.030934626,0.0,0.0,1.0
1610000,3.240032,0.0,3999.0,-0.031597868,0.0,0.0,1.0
1620000,3.2418509,0.0,3984.8,-0.029320667,-0.16666666666666666,-0.16666666666666666,1.0
1630000,3.241218,0.0,3999.0,-0.030288497,0.0,0.0,1.0
1640000,3.2402108,0.0,None,-0.03130263,0.0,0.0,1.0
1650000,3.2395325,0.0,3999.0,-0.02971093,0.0,0.0,1.0
