Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2958074,0.0,142.5,-0.05359834,0.9641745686531067,0.9641745686531067,1.0
20000,3.2958064,0.0,2751.0,-0.044948135,0.3120420575141907,0.3120420575141907,1.0
30000,3.2958055,0.0,3999.0,-0.047562145,0.0,0.0,1.0
40000,3.2958064,0.0,1797.0,-0.04798821,0.21574438942803276,0.21574438942803276,1.0
50000,3.2958083,0.0,1122.0,-0.044207882,-0.14034521579742432,-0.14034521579742432,1.0
60000,3.2958088,0.0,3216.5,-0.068070725,0.1956275999546051,0.1956275999546051,1.0
70000,3.2958078,0.0,3999.0,-0.060859244,0.0,0.0,1.0
80000,3.2958066,0.0,3179.25,-0.05911096,0.2732018232345581,0.2732018232345581,1.0
90000,3.2958086,0.0,3435.0,-0.06510404,-0.5,-0.5,1.0
100000,3.2958062,0.0,None,-0.04707549,0.0,0.0,1.0
110000,3.2958078,0.0,3519.125,-0.05409547,0.13708286625998362,0.13708286625998362,1.0
120000,3.2958076,0.0,2918.0,-0.062307697,0.18019330501556396,0.18019330501556396,1.0
130000,3.295807,0.0,None,-0.04886388,None,None,1.0
140000,3.2958052,0.0,3999.0,-0.04165809,0.0,0.0,1.0
150000,3.2958074,0.0,3489.0,-0.05398748,0.14872474471728006,0.14872474471728006,1.0
160000,3.2958078,0.0,3999.0,-0.046088368,0.0,0.0,1.0
170000,3.2958076,0.0,None,-0.04484359,None,None,1.0
180000,3.2958078,0.0,3999.0,-0.05829854,0.0,0.0,1.0
190000,3.295807,0.0,2964.0,-0.05159304,0.20701944828033447,0.20701944828033447,1.0
200000,3.2958074,0.0,2506.5,-0.04450355,-0.5,-0.5,1.0
210000,3.2958074,0.0,None,-0.05932186,None,None,1.0
220000,3.2958071,0.0,3999.0,-0.044873334,0.0,0.0,1.0
230000,3.2958102,0.0,2735.4,-0.059504088,0.31591793298721316,0.31591793298721316,1.0
240000,3.2958066,0.0,None,-0.059716243,None,None,1.0
250000,3.2958086,0.0,3485.75,-0.04710877,-0.1853417009115219,-0.1853417009115219,1.0
260000,3.2958071,0.0,2325.75,-0.05376707,0.41832810640335083,0.41832810640335083,1.0
270000,3.2958078,0.0,3999.0,-0.056551825,0.0,0.0,1.0
280000,3.2958071,0.0,None,-0.049082864,None,None,1.0
290000,3.2958095,0.0,3204.1428571428573,-0.05792191,-0.07147664683205741,-0.07147664683205741,1.0
300000,3.295806,0.0,3336.75,-0.05477314,0.22078339258829752,0.22078339258829752,1.0
310000,3.29581,0.0,2022.0,-0.043264993,0.24718615412712097,0.24718615412712097,1.0
320000,3.2958083,0.0,2587.8,-0.05295516,-0.02296718955039978,-0.02296718955039978,1.0
330000,3.2958083,0.0,3999.0,-0.048370264,0.0,0.0,1.0
340000,3.2958102,0.0,3999.0,-0.06530495,0.0,0.0,1.0
350000,3.2958076,0.0,3384.0,-0.058432955,0.1538408100605011,0.1538408100605011,1.0
360000,3.2958083,0.0,3999.0,-0.06361143,0.0,0.0,1.0
370000,3.2958074,0.0,3989.5,-0.047031753,0.0,0.0,1.0
380000,3.2958074,0.0,3999.0,-0.058242172,-0.25,-0.25,1.0
390000,3.295808,0.0,3395.0,-0.057603262,-0.6666666666666666,-0.6666666666666666,1.0
400000,3.2958064,0.0,3999.0,-0.049800225,0.0,0.0,1.0
410000,3.2958088,0.0,3999.0,-0.056216788,0.0,0.0,1.0
420000,3.2958083,0.0,3299.75,-0.06712782,0.1748390793800354,0.1748390793800354,1.0
430000,3.2958078,0.0,2400.6666666666665,-0.05475991,-0.5,-0.5,1.0
440000,3.295808,0.0,3259.0,-0.060522072,0.18504412968953451,0.18504412968953451,1.0
450000,3.295806,0.0,3436.0,-0.06297367,-1.0,-1.0,1.0
460000,3.2958083,0.0,3220.2,-0.05708114,-0.02397034168243408,-0.02397034168243408,1.0
470000,3.2958055,0.0,3016.3333333333335,-0.05529977,0.24560093879699707,0.24560093879699707,1.0
480000,3.2958083,0.0,2937.75,-0.05344552,-0.11576765775680542,-0.11576765775680542,1.0
490000,3.2958074,0.0,1602.3333333333333,-0.05393887,0.04282170534133911,0.04282170534133911,1.0
500000,3.2958055,0.0,2801.3333333333335,-0.041032653,-0.48494912187258404,-0.48494912187258404,1.0
510000,3.2958086,0.0,3999.0,-0.057375204,0.0,0.0,1.0
520000,3.2911863,0.0,2808.4285714285716,-0.04891913,-0.5,-0.5,1.0
530000,3.2897985,0.0,3999.0,-0.030640762,0.45667439699172974,0.45667439699172974,1.0
540000,3.2867873,0.0,3999.0,-0.02953506,0.19000989198684692,0.19000989198684692,1.0
550000,3.2875152,0.0,3416.0,-0.028160505,0.14575925469398499,0.14575925469398499,1.0
