Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.295806,0.0,393.0,0.056294736,0.9015193184216818,0.9015193184216818,1.0
20000,3.2958066,0.0,2061.0,0.06075822,0.48462069034576416,0.48462069034576416,1.0
30000,3.2958052,0.0,3999.0,0.05243076,0.0,0.0,1.0
40000,3.2958078,0.0,3999.0,0.055770446,0.0,0.0,1.0
50000,3.2958052,0.0,3999.0,0.055364948,0.0,0.0,1.0
60000,3.2958074,0.0,None,0.05598212,0.0,0.0,1.0
70000,3.2958062,0.0,3395.222222222222,0.06100771,-0.12595625221729279,-0.12595625221729279,1.0
80000,3.295806,0.0,None,0.05500869,0.0,0.0,1.0
90000,3.295807,0.0,3999.0,0.056402434,0.0,0.0,1.0
100000,3.2958066,0.0,3068.0,0.057367086,-0.5859231750170389,-0.5859231750170389,1.0
110000,3.2958064,0.0,3999.0,0.050376017,0.0,0.0,1.0
120000,3.2958074,0.0,1377.0,0.054064553,0.09733168284098308,0.09733168284098308,1.0
130000,3.2958066,0.0,3999.0,0.0597666,0.0,0.0,1.0
140000,3.2958064,0.0,3056.8,0.053586964,-0.06198426087697347,-0.06198426087697347,1.0
150000,3.2958052,0.0,2147.6666666666665,0.0621252,-0.14830589294433594,-0.14830589294433594,1.0
160000,3.2958076,0.0,3999.0,0.060564272,0.0,0.0,1.0
170000,3.2958062,0.0,3999.0,0.051549267,0.0,0.0,1.0
180000,3.2958076,0.0,3208.8,0.057405494,-0.18537951707839967,-0.18537951707839967,1.0
190000,3.2958064,0.0,2467.8,0.05628969,-0.6,-0.6,1.0
200000,3.2958066,0.0,3999.0,0.055512436,0.0,0.0,1.0
210000,3.295806,0.0,3555.25,0.059663318,-0.25,-0.25,1.0
220000,3.2958071,0.0,2923.4,0.047545448,-0.14824804663658142,-0.14824804663658142,1.0
230000,3.2958078,0.0,3999.0,0.05870242,-0.5,-0.5,1.0
240000,3.2958076,0.0,3357.6666666666665,0.05670723,0.240505188703537,0.240505188703537,1.0
250000,3.2958055,0.0,3129.0,0.06062442,0.1739749789237976,0.1739749789237976,1.0
260000,3.2958078,0.0,3182.5,0.057476804,0.2040889859199524,0.2040889859199524,1.0
270000,3.2958057,0.0,None,0.049015317,None,None,1.0
280000,3.2958066,0.0,3581.5,0.054279976,0.10436488687992096,0.10436488687992096,1.0
290000,3.2958076,0.0,3104.3333333333335,0.05926933,-0.3333333333333333,-0.3333333333333333,1.0
300000,3.295807,0.0,3399.2,0.06271091,-0.1402920365333557,-0.1402920365333557,1.0
310000,3.295806,0.0,None,0.05249726,None,None,1.0
320000,3.2958074,0.0,3848.5,0.056862734,-0.5,-0.5,1.0
330000,3.2958064,0.0,2878.0,0.055728126,0.42027637362480164,0.42027637362480164,1.0
340000,3.295807,0.0,3275.25,0.052068725,0.14478206634521484,0.14478206634521484,1.0
350000,3.2958062,0.0,3194.3333333333335,0.05307728,-0.5,-0.5,1.0
360000,3.295807,0.0,2292.3333333333335,0.05349735,-0.1748649626970291,-0.1748649626970291,1.0
370000,3.2958071,0.0,3036.75,0.05539762,-0.3333333333333333,-0.3333333333333333,1.0
380000,3.2958064,0.0,3999.0,0.054675274,0.4375740885734558,0.4375740885734558,1.0
390000,3.295807,0.0,3521.25,0.05974567,-0.25,-0.25,1.0
400000,3.295808,0.0,2727.8333333333335,0.056711346,-0.0015218456586201985,-0.0015218456586201985,1.0
410000,3.2958064,0.0,3999.0,0.054348312,0.0,0.0,1.0
420000,3.2958064,0.0,3999.0,0.0571581,None,None,1.0
430000,3.2958074,0.0,3493.5,0.0540448,0.0,0.0,1.0
440000,3.295807,0.0,2342.5,0.052979186,0.13133252859115602,0.13133252859115602,1.0
450000,3.2958055,0.0,3999.0,0.05531937,0.0,0.0,1.0
460000,3.2958062,0.0,2809.5,0.05866531,-1.0,-1.0,1.0
470000,3.295805,0.0,3999.0,0.058197267,0.0,0.0,1.0
480000,3.2958066,0.0,2422.5,0.05523141,0.26273655891418457,0.26273655891418457,1.0
490000,3.2958074,0.0,2237.5,0.06108577,-1.0,-1.0,1.0
500000,3.2958064,0.0,3686.25,0.05254269,0.10429739952087402,0.10429739952087402,1.0
510000,3.2958066,0.0,2166.0,0.060238097,-0.4,-0.4,1.0
520000,3.2930973,0.0,2937.0,0.05000625,-0.27172529697418213,-0.27172529697418213,1.0
530000,3.2900798,0.0,None,0.049165957,0.0,0.0,1.0
540000,3.289323,0.0,3226.0,0.054772835,-0.5,-0.5,1.0
550000,3.2896674,0.0,2111.125,0.052169777,-0.23464091335024154,-0.23464091335024154,1.0
560000,3.2892585,0.0,422.0,0.052627143,-0.004416664441426595,-0.004416664441426595,1.0
570000,3.2895837,0.0,3999.0,0.05568589,0.0,0.0,1.0
580000,3.2896194,0.0,2250.0,0.05645067,0.4371628165245056,0.4371628165245056,1.0
590000,3.289403,0.0,3985.2,0.057095475,0.0033986210823059083,0.0033986210823059083,1.0
600000,3.289816,0.0,3637.0,0.05123146,-0.5,-0.5,1.0
610000,3.2894926,0.0,3175.25,0.055308435,-0.16250041127204895,-0.16250041127204895,1.0
620000,3.2893624,0.0,3999.0,0.053080935,0.0,0.0,1.0
630000,3.2892554,0.0,3999.0,0.053574968,0.0,0.0,1.0
640000,3.289286,0.0,3038.0,0.054726563,-0.3333333333333333,-0.3333333333333333,1.0
650000,3.2894366,0.0,3999.0,0.05491801,0.0,0.0,1.0
660000,3.2894392,0.0,3307.75,0.054856148,-0.3333333333333333,-0.3333333333333333,1.0
670000,3.2890527,0.0,2674.6666666666665,0.053666875,0.24826249480247498,0.24826249480247498,1.0
680000,3.2892802,0.0,3999.0,0.055318903,0.0,0.0,1.0
690000,3.2893164,0.0,3999.0,0.05546798,0.0,0.0,1.0
700000,3.289375,0.0,3869.75,0.05397724,-0.25,-0.25,1.0
710000,3.2893012,0.0,3999.0,0.054664314,0.0,0.0,1.0
720000,3.2897265,0.0,3315.0,0.054492313,-0.25,-0.25,1.0
