Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.295807,0.0,1061.5,0.018447997,-0.10487031936645508,-0.10487031936645508,1.0
20000,3.2958074,0.0,None,0.014058009,None,None,1.0
30000,3.2958071,0.0,3869.125,0.019355047,0.1299166977405548,0.1299166977405548,1.0
40000,3.2958086,0.0,463.0,0.018091118,-0.0010124966502189636,-0.0010124966502189636,1.0
50000,3.295807,0.0,3952.0,0.012169004,-1.0,-1.0,1.0
60000,3.2958064,0.0,2951.0,0.0137520265,0.26193374395370483,0.26193374395370483,1.0
70000,3.2958078,0.0,3880.8333333333335,0.016652653,-0.16666666666666666,-0.16666666666666666,1.0
80000,3.2958066,0.0,2702.6666666666665,0.016196795,0.4861249029636383,0.4861249029636383,1.0
90000,3.2958066,0.0,1321.5,0.016218416,-0.6666666666666666,-0.6666666666666666,1.0
100000,3.2958066,0.0,3109.0,0.016078528,-0.3333333333333333,-0.3333333333333333,1.0
110000,3.2958078,0.0,3505.5,0.015986366,0.040624797344207764,0.040624797344207764,1.0
120000,3.2958078,0.0,1762.25,0.015139698,0.24738727807998656,0.24738727807998656,1.0
130000,3.2958076,0.0,2614.5,0.017748686,0.34605252742767334,0.34605252742767334,1.0
140000,3.295808,0.0,3711.25,0.016984466,0.09587933619817098,0.09587933619817098,1.0
150000,3.2958074,0.0,2392.25,0.017435284,0.32135978937149046,0.32135978937149046,1.0
160000,3.2958071,0.0,2971.5,0.013718596,0.25696277618408203,0.25696277618408203,1.0
170000,3.295807,0.0,2065.5,0.014094283,0.48338156938552856,0.48338156938552856,1.0
180000,3.2958078,0.0,3358.6,0.0158629,0.2001270055770874,0.2001270055770874,1.0
190000,3.2958066,0.0,2081.6666666666665,0.014483861,0.3595333695411682,0.3595333695411682,1.0
200000,3.2958064,0.0,2625.6666666666665,0.011179325,-0.6666666666666666,-0.6666666666666666,1.0
210000,3.295808,0.0,3999.0,0.014950709,0.0,0.0,1.0
