Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2958124,0.0,0.013668157,1217.0,0.6955556869506836,0.6955556869506836,1.0
20000,3.2958097,0.0,0.01875353,1626.0,-1.0,-1.0,1.0
30000,3.2958102,0.0,0.013660784,3999.0,0.0,0.0,1.0
40000,3.2958105,0.0,0.005210269,177.5,-0.007800093718937465,-0.007800093718937465,1.0
50000,3.2958121,0.0,0.012936984,1121.0,0.7195096015930176,0.7195096015930176,1.0
60000,3.295809,0.0,0.012088158,3389.0,-0.3333333333333333,-0.3333333333333333,1.0
70000,3.2958093,0.0,0.016658902,3833.8,-0.2,-0.2,1.0
80000,3.29581,0.0,0.019411482,3541.5,-0.5,-0.5,1.0
90000,3.295811,0.0,0.014923906,2148.5,0.925199031829834,0.925199031829834,1.0
100000,3.2958102,0.0,0.016082158,2653.75,0.26907068490982056,0.26907068490982056,1.0
110000,3.2958105,0.0,0.0077518476,2563.8,-0.01882026195526123,-0.01882026195526123,1.0
120000,3.2958102,0.0,0.012304374,3487.6666666666665,0.12776472171147665,0.12776472171147665,1.0
130000,3.29581,0.0,0.016740311,3999.0,0.0,0.0,1.0
140000,3.29581,0.0,0.017358385,3134.0,0.2703007012605667,0.2703007012605667,1.0
150000,3.2958114,0.0,0.008124897,3999.0,0.0,0.0,1.0
160000,3.2958107,0.0,0.013993035,2708.5,-0.5,-0.5,1.0
170000,3.29581,0.0,0.016352685,3755.6666666666665,0.060790181159973145,0.060790181159973145,1.0
180000,3.2958102,0.0,0.010757864,2647.0,0.422526478767395,0.422526478767395,1.0
190000,3.2958097,0.0,0.0128030125,3999.0,0.0,0.0,1.0
200000,3.295812,0.0,0.015139345,543.5,0.5759875377019247,0.5759875377019247,1.0
210000,3.2958107,0.0,0.013972042,3759.5,0.0598825067281723,0.0598825067281723,1.0
220000,3.2958107,0.0,0.010247522,2968.6666666666665,0.25762055317560834,0.25762055317560834,1.0
230000,3.295811,0.0,0.008416539,2936.8,0.006800425052642822,0.006800425052642822,1.0
240000,3.2958121,0.0,0.007056565,3999.0,0.0,0.0,1.0
250000,3.2958121,0.0,0.0022960822,3999.0,0.0,0.0,1.0
260000,3.29581,0.0,0.012494058,2467.3333333333335,-0.029050389925638836,-0.029050389925638836,1.0
270000,3.2958102,0.0,0.011167149,3974.0,0.006229090690612793,0.006229090690612793,1.0
280000,3.2958112,0.0,0.011115207,3999.0,0.0,0.0,1.0
290000,3.2958117,0.0,0.009761935,3999.0,0.0,0.0,1.0
300000,3.2958117,0.0,0.009530064,3510.75,-0.2,-0.2,1.0
310000,3.295811,0.0,0.008017609,3372.6666666666665,0.15660607814788818,0.15660607814788818,1.0
320000,3.2958121,0.0,0.0056269183,2945.0,0.5269776582717896,0.5269776582717896,1.0
330000,3.29581,0.0,0.010559654,3999.0,0.0,0.0,1.0
340000,3.2958093,0.0,0.018508242,3603.5,0.11866774559020996,0.11866774559020996,1.0
350000,3.2958114,0.0,0.014794268,1928.6,0.2039207418759664,0.2039207418759664,1.0
360000,3.2958102,0.0,0.0155514255,1805.25,-0.48697344462076825,-0.48697344462076825,1.0
370000,3.295808,0.0,0.011605603,3999.0,-1.0,-1.0,1.0
380000,3.2958095,0.0,0.009964537,3797.8,-0.16666666666666666,-0.16666666666666666,1.0
390000,3.2958107,0.0,0.009157268,None,None,None,1.0
400000,3.2958088,0.0,0.011242742,3999.0,0.0,0.0,1.0
410000,3.2958121,0.0,0.017009912,3739.0,-0.25,-0.25,1.0
420000,3.2958112,0.0,0.009540159,3043.0,-0.12331891059875488,-0.12331891059875488,1.0
430000,3.2958114,0.0,0.013638899,3999.0,0.0,0.0,1.0
440000,3.2958102,0.0,0.0034812402,None,0.0,0.0,1.0
