Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2957802,0.0,0.11526559,2836.5,0.10845702886581421,0.10845702886581421,1.0
20000,3.2957811,0.0,0.11698944,1804.5,0.19916844367980957,0.19916844367980957,1.0
30000,3.29578,0.0,0.111809134,2999.0,0.0,0.0,1.0
40000,3.2957823,0.0,0.11295645,2359.25,-0.25,-0.25,1.0
50000,3.2957814,0.0,0.10055138,2999.0,0.0,0.0,1.0
60000,3.2957838,0.0,0.11414342,2999.0,0.0,0.0,1.0
70000,3.2957811,0.0,0.116963476,2030.25,-0.07666783332824707,-0.07666783332824707,1.0
80000,3.2957823,0.0,0.11386619,2999.0,0.0,0.0,1.0
90000,3.295783,0.0,0.11810575,2147.2,0.07550184428691864,0.07550184428691864,1.0
100000,3.2957797,0.0,0.11797727,1854.0,0.2862800657749176,0.2862800657749176,1.0
110000,3.29578,0.0,0.109630086,2999.0,0.0,0.0,1.0
120000,3.2957816,0.0,0.11952783,2999.0,0.0,0.0,1.0
130000,3.29578,0.0,0.111312725,2999.0,0.0,0.0,1.0
140000,3.295783,0.0,0.11051745,1557.25,-0.2346547544002533,-0.2346547544002533,1.0
150000,3.2957811,0.0,0.11690366,1647.5,0.2577235443251474,0.2577235443251474,1.0
160000,3.2957823,0.0,0.11277692,2255.0,0.2479500025510788,0.2479500025510788,1.0
170000,3.2957792,0.0,0.11362193,2361.4,0.21256885528564454,0.21256885528564454,1.0
180000,3.2957819,0.0,0.11383402,2999.0,0.0,0.0,1.0
190000,3.2957802,0.0,0.11696269,2999.0,0.0,0.0,1.0
200000,3.2957826,0.0,0.11093416,2999.0,0.0,0.0,1.0
210000,3.295782,0.0,0.10876115,2195.0,0.26799912254015607,0.26799912254015607,1.0
220000,3.2957811,0.0,0.11109489,2999.0,0.0,0.0,1.0
230000,3.2957807,0.0,0.11302312,2999.0,0.0,0.0,1.0
240000,3.2957804,0.0,0.10987848,2999.0,0.0,0.0,1.0
250000,3.2957823,0.0,0.11035003,2999.0,0.0,0.0,1.0
260000,3.2957795,0.0,0.1169581,2999.0,0.0,0.0,1.0
270000,3.29578,0.0,0.11876544,2415.8,0.19438668489456176,0.19438668489456176,1.0
280000,3.2957802,0.0,0.11119393,2999.0,0.0,0.0,1.0
290000,3.2957792,0.0,0.11663112,2252.75,0.1989733338356018,0.1989733338356018,1.0
300000,3.295783,0.0,0.11381511,2999.0,0.0,0.0,1.0
310000,3.2957783,0.0,0.11388023,2393.5,-0.3333333333333333,-0.3333333333333333,1.0
320000,3.2957814,0.0,0.11282985,2999.0,0.0,0.0,1.0
330000,3.2957792,0.0,0.118833296,2769.5,0.0765855610370636,0.0765855610370636,1.0
340000,3.2957778,0.0,0.12696442,2999.0,0.0,0.0,1.0
350000,3.2957819,0.0,0.113864996,2773.0,0.0753478209177653,0.0753478209177653,1.0
360000,3.2957814,0.0,0.11025746,2195.0,0.26801137924194335,0.26801137924194335,1.0
370000,3.2957807,0.0,0.11494081,2999.0,0.0,0.0,1.0
380000,3.2957811,0.0,0.11892985,2999.0,0.0,0.0,1.0
390000,3.2957783,0.0,0.11520046,2999.0,0.0,0.0,1.0
400000,3.295782,0.0,0.10365802,2999.0,0.0,0.0,1.0
410000,3.2957807,0.0,0.11684913,2419.75,-0.4337266683578491,-0.4337266683578491,1.0
420000,3.2957814,0.0,0.11442141,2851.0,0.0,0.0,1.0
430000,3.295781,0.0,0.111858085,2999.0,-0.3333333333333333,-0.3333333333333333,1.0
440000,3.2957807,0.0,0.12166281,2346.6666666666665,-0.25,-0.25,1.0
450000,3.2957816,0.0,0.11588011,2999.0,0.0,0.0,1.0
460000,3.2957835,0.0,0.10426769,1960.1666666666667,0.34627697865168255,0.34627697865168255,1.0
470000,3.2957804,0.0,0.11670041,2780.25,-0.3333333333333333,-0.3333333333333333,1.0
480000,3.295782,0.0,0.111625254,2999.0,0.0,0.0,1.0
490000,3.29578,0.0,0.11157973,2999.0,0.0,0.0,1.0
500000,3.29578,0.0,0.11486572,2306.3333333333335,-0.04174503684043884,-0.04174503684043884,1.0
510000,3.2957802,0.0,0.123579904,2132.25,-0.10365158319473267,-0.10365158319473267,1.0
520000,3.2899866,0.0,0.101500966,2510.5555555555557,0.08055052161216736,0.08055052161216736,1.0
530000,3.2890813,0.0,0.10322788,None,-0.006590262055397034,-0.006590262055397034,1.0
540000,3.288942,0.0,0.10769667,2999.0,0.0,0.0,1.0
550000,3.2885625,0.0,0.10593689,2444.4,0.23108318448066711,0.23108318448066711,1.0
560000,3.2884815,0.0,0.10270314,2999.0,0.0,0.0,1.0
570000,3.2884908,0.0,0.105193,2645.6,-0.5,-0.5,1.0
580000,3.288856,0.0,0.101880334,2246.0,-0.3333333333333333,-0.3333333333333333,1.0
590000,3.2886448,0.0,0.10625208,2762.0,-0.25,-0.25,1.0
600000,3.2886477,0.0,0.10284098,2988.75,0.0034670233726501465,0.0034670233726501465,1.0
610000,3.2885947,0.0,0.10460847,2379.8,-0.0010933399200439454,-0.0010933399200439454,1.0
620000,3.2890272,0.0,0.10964086,2999.0,0.0,0.0,1.0
630000,3.288583,0.0,0.10911942,1901.25,-0.00524445374806722,-0.00524445374806722,1.0
640000,3.2887075,0.0,0.10967817,2416.0,0.1554660439491272,0.1554660439491272,1.0
650000,3.2886338,0.0,0.10657187,2421.2,0.19257334470748902,0.19257334470748902,1.0
660000,3.28857,0.0,0.10843678,2561.8,-0.25,-0.25,1.0
670000,3.2885616,0.0,0.10570611,2999.0,0.032477378845214844,0.032477378845214844,1.0
680000,3.288879,0.0,0.105559096,2999.0,0.0,0.0,1.0
690000,3.2891934,0.0,0.105352364,2999.0,0.0,0.0,1.0
700000,3.288579,0.0,0.10672748,2188.2,-0.1248042106628418,-0.1248042106628418,1.0
710000,3.2886872,0.0,0.10818931,2999.0,0.0,0.0,1.0
720000,3.2888923,0.0,0.109870024,1990.5,-0.40730470418930054,-0.40730470418930054,1.0
730000,3.2882843,0.0,0.103181265,2999.0,0.0,0.0,1.0
740000,3.2888734,0.0,0.10533263,2999.0,0.0,0.0,1.0
750000,3.28856,0.0,0.10204401,2912.3333333333335,-0.25,-0.25,1.0
760000,3.2884,0.0,0.10670746,2812.75,-0.25,-0.25,1.0
770000,3.2886407,0.0,0.10514049,2999.0,0.0,0.0,1.0
780000,3.2888029,0.0,0.11016339,2999.0,0.0,0.0,1.0
790000,3.2882993,0.0,0.10439106,2311.0,0.22933181126912436,0.22933181126912436,1.0
800000,3.288642,0.0,0.10800375,2490.0,0.16959746678670248,0.16959746678670248,1.0
810000,3.288463,0.0,0.10921484,2999.0,0.0,0.0,1.0
820000,3.289019,0.0,0.10657594,2004.5,0.1071436603864034,0.1071436603864034,1.0
830000,3.2889946,0.0,0.10687187,2999.0,0.0,0.0,1.0
840000,3.28851,0.0,0.10268663,1832.0,0.17272978169577463,0.17272978169577463,1.0
850000,3.2884367,0.0,0.10500577,1974.5,0.07890985409418742,0.07890985409418742,1.0
860000,3.2889516,0.0,0.105995,2999.0,0.0,0.0,1.0
870000,3.2885578,0.0,0.10780716,2303.5,0.2317831963300705,0.2317831963300705,1.0
880000,3.2887094,0.0,0.10591288,2999.0,0.0,0.0,1.0
890000,3.2886198,0.0,0.10593913,2332.75,-0.25,-0.25,1.0
900000,3.2883,0.0,0.104541145,2999.0,0.0,0.0,1.0
910000,3.28857,0.0,0.10511659,2999.0,0.0,0.0,1.0
920000,3.288648,0.0,0.104316086,2847.3333333333335,-0.3011891444524129,-0.3011891444524129,1.0
930000,3.2887893,0.0,0.10804381,2011.5,-0.001253330707550049,-0.001253330707550049,1.0
940000,3.288597,0.0,0.10741806,2717.25,0.12528189023335776,0.12528189023335776,1.0
950000,3.2885513,0.0,0.10542675,2480.0,-0.2,-0.2,1.0
960000,3.288797,0.0,0.10592824,2999.0,0.0,0.0,1.0
970000,3.2886846,0.0,0.10837795,2844.3333333333335,-0.5,-0.5,1.0
980000,3.2888088,0.0,0.10444243,2999.0,0.0,0.0,1.0
