Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2958121,0.0,0.019580686,2397.4,-0.04836714267730713,-0.04836714267730713,1.0
20000,3.2958128,0.0,0.013653285,1550.0,0.1932150602340698,0.1932150602340698,1.0
30000,3.295811,0.0,0.012244568,2344.4,-0.4,-0.4,1.0
40000,3.2958128,0.0,0.014217881,2789.0,-0.3333333333333333,-0.3333333333333333,1.0
50000,3.2958114,0.0,0.02015903,2267.0,0.24415241181850433,0.24415241181850433,1.0
60000,3.2958128,0.0,0.01699158,2999.0,0.0,0.0,1.0
70000,3.295813,0.0,0.017248219,2688.25,-0.25,-0.25,1.0
80000,3.295811,0.0,0.0140339555,2999.0,0.0,0.0,1.0
90000,3.2958121,0.0,0.014667345,2999.0,0.0,0.0,1.0
100000,3.2958121,0.0,0.019254087,2867.0,-0.3333333333333333,-0.3333333333333333,1.0
110000,3.2958126,0.0,0.011138082,2999.0,0.0,0.0,1.0
120000,3.2958124,0.0,0.017830493,2224.6,-0.04082722663879394,-0.04082722663879394,1.0
130000,3.2958126,0.0,0.02117259,2403.6,0.24809999763965607,0.24809999763965607,1.0
140000,3.2958128,0.0,0.016321126,2999.0,0.0,0.0,1.0
150000,3.2958126,0.0,0.015044255,2999.0,0.0,0.0,1.0
160000,3.2958124,0.0,0.011908775,2999.0,0.0,0.0,1.0
170000,3.295813,0.0,0.022273004,2341.75,-0.2,-0.2,1.0
180000,3.2958124,0.0,0.01807882,1805.25,-0.03141702711582184,-0.03141702711582184,1.0
190000,3.2958121,0.0,0.011439508,2530.6666666666665,0.23413628339767456,0.23413628339767456,1.0
200000,3.2958102,0.0,0.013782722,1613.4,0.06345319747924805,0.06345319747924805,1.0
210000,3.2958126,0.0,0.019111257,2999.0,-0.25,-0.25,1.0
220000,3.2958124,0.0,0.010598778,2941.75,0.019128799438476562,0.019128799438476562,1.0
230000,3.295812,0.0,0.014931008,2605.0,0.13138149678707123,0.13138149678707123,1.0
240000,3.2958121,0.0,0.018225988,2999.0,0.0,0.0,1.0
250000,3.2958114,0.0,0.012030916,2999.0,0.0,0.0,1.0
260000,3.295812,0.0,0.017158525,1738.0,-0.32066768407821655,-0.32066768407821655,1.0
270000,3.295812,0.0,0.016214358,1864.3333333333333,0.37823161482810974,0.37823161482810974,1.0
280000,3.2958124,0.0,0.01572992,2444.0,-0.25,-0.25,1.0
290000,3.2958128,0.0,0.017685618,2548.6,0.15011929273605346,0.15011929273605346,1.0
300000,3.2958114,0.0,0.015384671,2999.0,0.0,0.0,1.0
