Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2958117,0.0,0.014965402,2999.0,0.0,0.0,1.0
20000,3.2958145,0.0,0.020923708,None,0.0,0.0,1.0
30000,3.2958124,0.0,0.013807288,2378.6666666666665,-0.02994483709335327,-0.02994483709335327,1.0
40000,3.2958117,0.0,0.016256595,2488.6,0.21266619861125946,0.21266619861125946,1.0
50000,3.2958128,0.0,0.019417273,2999.0,0.0,0.0,1.0
60000,3.295812,0.0,0.019131431,2999.0,0.0,0.0,1.0
70000,3.2958136,0.0,0.014270663,2999.0,0.0,0.0,1.0
80000,3.2958133,0.0,0.019144947,2392.6666666666665,-0.5,-0.5,1.0
90000,3.2958128,0.0,0.017973274,2999.0,0.0,0.0,1.0
100000,3.2958126,0.0,0.013320061,2420.75,0.0,0.0,1.0
110000,3.2958128,0.0,0.017017357,2999.0,0.2569989363352458,0.2569989363352458,1.0
120000,3.2958117,0.0,0.01459616,2540.8,-0.2,-0.2,1.0
130000,3.295813,0.0,0.01662354,2635.25,-0.25,-0.25,1.0
140000,3.2958107,0.0,0.012541369,2142.8,-0.75,-0.75,1.0
150000,3.2958114,0.0,0.012386548,2999.0,0.0,0.0,1.0
160000,3.295811,0.0,0.01808009,2999.0,0.0,0.0,1.0
170000,3.2958105,0.0,0.012911407,2999.0,0.0,0.0,1.0
180000,3.295811,0.0,0.018230282,2515.25,0.12897226810455323,0.12897226810455323,1.0
190000,3.2958143,0.0,0.021231042,2516.25,0.19698683420817056,0.19698683420817056,1.0
200000,3.2958124,0.0,0.015461249,2999.0,-0.25,-0.25,1.0
210000,3.2958124,0.0,0.015798036,2538.25,0.1535818725824356,0.1535818725824356,1.0
220000,3.2958143,0.0,0.015907725,2909.75,-0.25,-0.25,1.0
230000,3.2958133,0.0,0.020147806,2999.0,0.0,0.0,1.0
240000,3.2958126,0.0,0.0136912605,2114.25,0.22116634249687195,0.22116634249687195,1.0
250000,3.2958133,0.0,0.016478233,2319.5,-0.018813514709472658,-0.018813514709472658,1.0
260000,3.2958124,0.0,0.01571485,2903.75,0.03177151083946228,0.03177151083946228,1.0
270000,3.2958114,0.0,0.014238198,2999.0,0.0,0.0,1.0
280000,3.295812,0.0,0.01404583,2479.8,-0.2,-0.2,1.0
290000,3.2958121,0.0,0.018998353,1830.25,-0.04026712973912557,-0.04026712973912557,1.0
300000,3.2958117,0.0,0.015889172,2370.25,0.16767958402633668,0.16767958402633668,1.0
310000,3.295812,0.0,0.017033542,2999.0,0.0,0.0,1.0
320000,3.2958121,0.0,0.016629307,2241.4,-0.2,-0.2,1.0
330000,3.2958133,0.0,0.01932737,2252.75,-0.001013338565826416,-0.001013338565826416,1.0
340000,3.295812,0.0,0.014567281,2454.25,0.18164901435375214,0.18164901435375214,1.0
350000,3.2958143,0.0,0.017697297,2015.0,-0.07986783981323242,-0.07986783981323242,1.0
360000,3.295812,0.0,0.013856596,2727.8,0.09044256210327148,0.09044256210327148,1.0
370000,3.2958114,0.0,0.014335066,2167.6,0.3464614450931549,0.3464614450931549,1.0
380000,3.2958126,0.0,0.013545114,2923.6666666666665,0.025080561637878418,0.025080561637878418,1.0
390000,3.2958124,0.0,0.015313139,2326.5,-0.3333333333333333,-0.3333333333333333,1.0
400000,3.2958126,0.0,0.015763674,2580.0,0.13962578773498535,0.13962578773498535,1.0
410000,3.2958126,0.0,0.0178823,1740.2857142857142,0.020922047751290456,0.020922047751290456,1.0
420000,3.2958124,0.0,0.015738295,2647.25,-0.3333333333333333,-0.3333333333333333,1.0
430000,3.2958114,0.0,0.014710459,2999.0,0.0,0.0,1.0
440000,3.2958117,0.0,0.014888087,2999.0,0.0,0.0,1.0
450000,3.2958136,0.0,0.01333054,2999.0,0.0,0.0,1.0
460000,3.29581,0.0,0.015332431,2999.0,0.0,0.0,1.0
470000,3.2958121,0.0,0.015092852,2646.25,-0.25,-0.25,1.0
480000,3.2958133,0.0,0.017749686,2410.4,0.19629181623458863,0.19629181623458863,1.0
490000,3.2958136,0.0,0.021491779,1815.0,0.39464000463485716,0.39464000463485716,1.0
500000,3.2958124,0.0,0.012983991,2999.0,0.0,0.0,1.0
510000,3.295813,0.0,0.0150333345,2999.0,0.0,0.0,1.0
520000,3.2908368,0.0,0.012496767,2115.25,0.2924651145935059,0.2924651145935059,1.0
530000,3.289347,0.0,0.019453006,None,0.22359266877174377,0.22359266877174377,1.0
540000,3.28992,0.0,0.018922903,2481.8,0.1723996639251709,0.1723996639251709,1.0
550000,3.2904594,0.0,0.019993762,2185.4,0.2712500333786011,0.2712500333786011,1.0
560000,3.2900245,0.0,0.021670794,2999.0,0.0,0.0,1.0
570000,3.2898588,0.0,0.016853394,2096.3333333333335,0.3009904623031616,0.3009904623031616,1.0
580000,3.289995,0.0,0.015425856,1826.2,-0.0015200018882751466,-0.0015200018882751466,1.0
