Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2958195,0.0,-0.021254126,2651.25,0.2318705916404724,0.2318705916404724,1.0
20000,3.2958179,0.0,-0.024118116,1865.0,-0.25,-0.25,1.0
30000,3.2958179,0.0,-0.026268244,2999.0,0.0,0.0,1.0
40000,3.2958183,0.0,-0.027512684,1516.0,-0.5765019655227661,-0.5765019655227661,1.0
50000,3.2958188,0.0,-0.02420533,2999.0,0.0,0.0,1.0
60000,3.2958183,0.0,-0.020108199,2698.6,0.10011844635009766,0.10011844635009766,1.0
70000,3.2958179,0.0,-0.025321567,2588.6666666666665,0.2052820324897766,0.2052820324897766,1.0
80000,3.2958188,0.0,-0.021468706,2961.6666666666665,0.0,0.0,1.0
90000,3.2958193,0.0,-0.02499048,2563.25,0.12377029657363892,0.12377029657363892,1.0
100000,3.2958186,0.0,-0.023848414,2999.0,0.0,0.0,1.0
110000,3.2958188,0.0,-0.021886202,2083.0,0.10050524473190307,0.10050524473190307,1.0
120000,3.2958179,0.0,-0.024916615,2667.25,0.11057093739509583,0.11057093739509583,1.0
130000,3.2958183,0.0,-0.02090503,1911.0,0.09639940943036761,0.09639940943036761,1.0
140000,3.2958179,0.0,-0.022924155,2851.0,0.07413846254348755,0.07413846254348755,1.0
150000,3.295818,0.0,-0.017739411,2999.0,0.0,0.0,1.0
160000,3.295819,0.0,-0.021158995,2487.5,0.13637239933013917,0.13637239933013917,1.0
170000,3.2958183,0.0,-0.027206136,1912.8333333333333,0.14448872208595276,0.14448872208595276,1.0
180000,3.295818,0.0,-0.017474443,2426.5,-0.25,-0.25,1.0
190000,3.295817,0.0,-0.013006069,2999.0,0.0,0.0,1.0
200000,3.295819,0.0,-0.017306292,2999.0,0.0,0.0,1.0
210000,3.2958188,0.0,-0.0205748,2990.3333333333335,0.0029567480087280273,0.0029567480087280273,1.0
220000,3.2958183,0.0,-0.024594406,2999.0,0.0,0.0,1.0
230000,3.2958179,0.0,-0.023106653,2999.0,0.0,0.0,1.0
240000,3.2958193,0.0,-0.02096056,2999.0,0.0,0.0,1.0
250000,3.2958188,0.0,-0.02288321,2999.0,0.0,0.0,1.0
260000,3.2958183,0.0,-0.02292459,2311.5,-0.4,-0.4,1.0
270000,3.2958188,0.0,-0.022308176,2999.0,0.0,0.0,1.0
280000,3.2958174,0.0,-0.022092182,2999.0,0.0,0.0,1.0
290000,3.295819,0.0,-0.022328852,2999.0,0.0,0.0,1.0
300000,3.2958193,0.0,-0.022612426,2104.0,0.2983774145444234,0.2983774145444234,1.0
310000,3.2958188,0.0,-0.022234496,2999.0,0.0,0.0,1.0
320000,3.2958186,0.0,-0.023695586,1945.2857142857142,-0.15044764961515153,-0.15044764961515153,1.0
330000,3.2958186,0.0,-0.024208095,2877.6666666666665,-0.3333333333333333,-0.3333333333333333,1.0
340000,3.2958176,0.0,-0.01858665,2752.5,-0.3333333333333333,-0.3333333333333333,1.0
350000,3.2958179,0.0,-0.021676132,2999.0,0.0,0.0,1.0
360000,3.295818,0.0,-0.022173548,2124.3333333333335,-0.14109501242637634,-0.14109501242637634,1.0
370000,3.2958176,0.0,-0.025824027,2417.4,0.19382669925689697,0.19382669925689697,1.0
380000,3.295818,0.0,-0.022606254,2695.6,-0.25,-0.25,1.0
390000,3.2958171,0.0,-0.018632919,2812.0,-0.2918154001235962,-0.2918154001235962,1.0
400000,3.2958186,0.0,-0.02906118,2999.0,0.0,0.0,1.0
410000,3.2958193,0.0,-0.026556741,2798.6,0.06677274703979492,0.06677274703979492,1.0
420000,3.2958179,0.0,-0.028533584,2907.3333333333335,0.04595059156417847,0.04595059156417847,1.0
430000,3.2958186,0.0,-0.021890352,2339.5,-0.4,-0.4,1.0
440000,3.2958193,0.0,-0.027832573,2999.0,0.0,0.0,1.0
450000,3.295819,0.0,-0.025545092,2826.6666666666665,0.04316660761833191,0.04316660761833191,1.0
460000,3.2958183,0.0,-0.023912096,2406.6,-0.05820082128047943,-0.05820082128047943,1.0
470000,3.295818,0.0,-0.023040196,2999.0,0.0,0.0,1.0
480000,3.2958186,0.0,-0.017409805,2999.0,0.0,0.0,1.0
490000,3.295818,0.0,-0.019773696,2999.0,0.0,0.0,1.0
500000,3.295819,0.0,-0.025587616,2575.75,0.14106500148773193,0.14106500148773193,1.0
510000,3.2958176,0.0,-0.027692502,2430.0,0.1896200180053711,0.1896200180053711,1.0
520000,3.2901387,0.0,-0.01802197,2438.1,0.3116331895192464,0.3116331895192464,1.0
530000,3.290206,0.0,-0.011440474,None,0.0,0.0,1.0
540000,3.2887232,0.0,-0.010802459,2687.25,0.13867859045664468,0.13867859045664468,1.0
550000,3.288157,0.0,-0.009933274,2999.0,0.0,0.0,1.0
560000,3.289303,0.0,-0.013397157,2473.25,-0.25,-0.25,1.0
570000,3.2887604,0.0,-0.010189137,2370.6666666666665,0.20944257577260336,0.20944257577260336,1.0
580000,3.2892423,0.0,-0.015478668,2002.5,0.3321675856908162,0.3321675856908162,1.0
590000,3.2892148,0.0,-0.014708572,2204.0,-0.3974529504776001,-0.3974529504776001,1.0
600000,3.2888415,0.0,-0.010838111,2456.75,-0.3333333333333333,-0.3333333333333333,1.0
610000,3.2890291,0.0,-0.011174169,2290.0,-0.014233460028966268,-0.014233460028966268,1.0
620000,3.2890174,0.0,-0.008926132,2527.25,-0.6666666666666666,-0.6666666666666666,1.0
630000,3.2892942,0.0,-0.009988555,2999.0,0.0,0.0,1.0
640000,3.28883,0.0,-0.011732606,2999.0,0.0,0.0,1.0
650000,3.2891815,0.0,-0.010994529,2999.0,0.0,0.0,1.0
660000,3.2892299,0.0,-0.008283616,2136.6,0.23956850171089172,0.23956850171089172,1.0
670000,3.2885926,0.0,-0.009131851,2999.0,0.0,0.0,1.0
680000,3.2888834,0.0,-0.013878076,1888.6666666666667,0.2775132358074188,0.2775132358074188,1.0
690000,3.289102,0.0,-0.014370742,2999.0,0.0,0.0,1.0
700000,3.2885098,0.0,-0.009092692,2574.5,0.14143165946006775,0.14143165946006775,1.0
710000,3.2891161,0.0,-0.01178398,2999.0,0.0,0.0,1.0
720000,3.2886825,0.0,-0.009725098,2722.75,0.09209555387496948,0.09209555387496948,1.0
730000,3.2889147,0.0,-0.013948068,2135.6666666666665,0.34539934396743777,0.34539934396743777,1.0
740000,3.28902,0.0,-0.013679771,1922.5,-0.3333333333333333,-0.3333333333333333,1.0
750000,3.2887325,0.0,-0.0085895695,1994.4285714285713,-0.1593811341694423,-0.1593811341694423,1.0
760000,3.288629,0.0,-0.012700864,2502.2,-0.1107683777809143,-0.1107683777809143,1.0
770000,3.289135,0.0,-0.009015603,2999.0,0.0,0.0,1.0
780000,3.28861,0.0,-0.010881277,2999.0,0.0,0.0,1.0
790000,3.2889233,0.0,-0.0093989065,2999.0,0.0,0.0,1.0
800000,3.2890701,0.0,-0.010025565,2999.0,0.0,0.0,1.0
810000,3.2889311,0.0,-0.013399631,2345.8,0.21779345273971557,0.21779345273971557,1.0
820000,3.2888649,0.0,-0.0073892153,2999.0,0.0,0.0,1.0
830000,3.2888699,0.0,-0.012137321,2999.0,0.0,0.0,1.0
840000,3.2889023,0.0,-0.011576509,2417.5,0.1551152229309082,0.1551152229309082,1.0
850000,3.2889316,0.0,-0.011215932,2806.75,-0.5,-0.5,1.0
860000,3.2891111,0.0,-0.007941141,2402.4,0.24860000610351562,0.24860000610351562,1.0
870000,3.2889786,0.0,-0.013683563,2031.2,0.16595956087112426,0.16595956087112426,1.0
880000,3.2890124,0.0,-0.009633921,1886.25,0.09670625925064087,0.09670625925064087,1.0
890000,3.288874,0.0,-0.010278478,2999.0,0.0,0.0,1.0
900000,3.2886615,0.0,-0.011075933,2790.6,0.06947824954986573,0.06947824954986573,1.0
910000,3.289113,0.0,-0.013823286,2999.0,0.0,0.0,1.0
920000,3.2890584,0.0,-0.014349675,1702.0,0.4324135184288025,0.4324135184288025,1.0
930000,3.2890642,0.0,-0.010869226,2999.0,0.0,0.0,1.0
940000,3.2893243,0.0,-0.013032303,2530.2,0.09929430484771729,0.09929430484771729,1.0
950000,3.289449,0.0,-0.01594911,2651.0,-0.15385618805885315,-0.15385618805885315,1.0
960000,3.2884493,0.0,-0.010634773,2999.0,0.0,0.0,1.0
970000,3.2888956,0.0,-0.013125782,2999.0,0.0,0.0,1.0
980000,3.28873,0.0,-0.0104038445,2338.0,0.1762130618095398,0.1762130618095398,1.0
990000,3.2887783,0.0,-0.010979231,2999.0,0.0,0.0,1.0
1000000,3.289129,0.0,-0.007880783,2692.0,0.10242629051208496,0.10242629051208496,1.0
1010000,3.2889779,0.0,-0.0120349,2999.0,0.0,0.0,1.0
1020000,3.288817,0.0,-0.010914789,2999.0,0.0,0.0,1.0
1030000,3.275107,0.0,-0.0069871466,2668.1111111111113,0.19853333234786988,0.19853333234786988,1.0
1040000,3.2730913,0.0,-0.0029770373,None,0.0,0.0,1.0
1050000,3.2717905,0.0,-0.0017767424,2999.0,0.0,0.0,1.0
1060000,3.2710807,0.0,-0.002267475,2999.0,0.0,0.0,1.0
1070000,3.2713997,0.0,-0.00528165,2866.6666666666665,-0.25,-0.25,1.0
1080000,3.2711663,0.0,-0.0032747877,2577.8,0.14041246175765992,0.14041246175765992,1.0
1090000,3.2718334,0.0,-0.0039967173,2523.6,0.07050484418869019,0.07050484418869019,1.0
1100000,3.2705207,0.0,-0.0054032723,2255.75,-0.002250000834465027,-0.002250000834465027,1.0
1110000,3.2715633,0.0,-0.0017138534,2738.3333333333335,0.06515714526176453,0.06515714526176453,1.0
1120000,3.2718964,0.0,-0.007517797,2511.25,0.21675380071004233,0.21675380071004233,1.0
1130000,3.2712338,0.0,-0.0021158461,2999.0,0.0,0.0,1.0
1140000,3.2717056,0.0,-0.003364907,2999.0,0.0,0.0,1.0
1150000,3.2712095,0.0,-0.0008472088,2999.0,0.0,0.0,1.0
1160000,3.2723577,0.0,-0.0041225054,2999.0,0.0,0.0,1.0
1170000,3.271405,0.0,-0.0024508424,2999.0,0.0,0.0,1.0
