Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2958195,0.0,-0.028471284,2999.0,0.0,0.0,1.0
20000,3.2958198,0.0,-0.041057054,266.0,0.2277497947216034,0.2277497947216034,1.0
30000,3.29582,0.0,-0.03520183,2999.0,0.0,0.0,1.0
40000,3.2958195,0.0,-0.031354997,2944.75,0.01819401979446411,0.01819401979446411,1.0
50000,3.2958198,0.0,-0.028225608,2402.0,0.19905333518981932,0.19905333518981932,1.0
60000,3.29582,0.0,-0.04507766,2999.0,0.0,0.0,1.0
70000,3.2958193,0.0,-0.044310663,2045.0,-0.3333333333333333,-0.3333333333333333,1.0
80000,3.2958205,0.0,-0.028063357,2999.0,0.0,0.0,1.0
90000,3.2958202,0.0,-0.036951132,2461.8,0.17901310920715333,0.17901310920715333,1.0
100000,3.2958205,0.0,-0.04073761,2218.2,0.03359456062316894,0.03359456062316894,1.0
110000,3.2958207,0.0,-0.04148678,2769.5,0.07645228505134583,0.07645228505134583,1.0
120000,3.2958205,0.0,-0.03533878,2999.0,0.0,0.0,1.0
130000,3.2958205,0.0,-0.04111822,2999.0,0.0,0.0,1.0
140000,3.2958202,0.0,-0.041612595,2999.0,0.0,0.0,1.0
150000,3.29582,0.0,-0.036892794,2371.6666666666665,0.15681526064872742,0.15681526064872742,1.0
160000,3.2958202,0.0,-0.03539035,1887.0,0.09657075575419835,0.09657075575419835,1.0
170000,3.2958195,0.0,-0.040680807,2999.0,0.0,0.0,1.0
180000,3.2958193,0.0,-0.03498685,1642.4,0.37684576710065204,0.37684576710065204,1.0
190000,3.2958198,0.0,-0.028031874,2368.2,0.2103369116783142,0.2103369116783142,1.0
200000,3.2958193,0.0,-0.044573445,2999.0,0.0,0.0,1.0
210000,3.2958198,0.0,-0.037483416,2999.0,0.0,0.0,1.0
220000,3.2958195,0.0,-0.032965083,2493.0,-0.5,-0.5,1.0
230000,3.2958195,0.0,-0.031000474,2091.6666666666665,0.05594658851623535,0.05594658851623535,1.0
240000,3.2958193,0.0,-0.038318004,2999.0,0.0,0.0,1.0
250000,3.2958198,0.0,-0.033425175,2999.0,0.0,0.0,1.0
260000,3.2958193,0.0,-0.035948697,2999.0,0.0,0.0,1.0
270000,3.2958195,0.0,-0.040658377,2999.0,0.0,0.0,1.0
280000,3.2958193,0.0,-0.031581704,2562.75,-0.25,-0.25,1.0
290000,3.2958198,0.0,-0.02915169,2672.25,0.10892164707183838,0.10892164707183838,1.0
300000,3.2958188,0.0,-0.033725407,2410.0,-0.05799216032028198,-0.05799216032028198,1.0
310000,3.2958198,0.0,-0.032120552,1892.0,-0.0019166618585586548,-0.0019166618585586548,1.0
320000,3.295819,0.0,-0.035970233,2999.0,0.0,0.0,1.0
330000,3.295821,0.0,-0.033511903,2289.0,-0.3333333333333333,-0.3333333333333333,1.0
340000,3.29582,0.0,-0.04222813,2518.25,0.12818558216094972,0.12818558216094972,1.0
350000,3.295819,0.0,-0.032492824,2952.25,-0.25,-0.25,1.0
360000,3.2958195,0.0,-0.03200141,2697.5,0.13394482930501303,0.13394482930501303,1.0
370000,3.2958202,0.0,-0.032861833,2529.6666666666665,0.11733469367027283,0.11733469367027283,1.0
380000,3.29582,0.0,-0.04111239,2695.5,-0.4434058368206024,-0.4434058368206024,1.0
390000,3.2958193,0.0,-0.03195065,2038.4,-0.2188535213470459,-0.2188535213470459,1.0
400000,3.2958198,0.0,-0.040040832,2999.0,0.0,0.0,1.0
410000,3.2958188,0.0,-0.03381073,2759.6666666666665,0.05984276533126831,0.05984276533126831,1.0
420000,3.2958207,0.0,-0.03369303,2999.0,0.0,0.0,1.0
430000,3.2958202,0.0,-0.037940152,2784.2,-0.25,-0.25,1.0
440000,3.2958205,0.0,-0.040478513,2364.25,-0.25,-0.25,1.0
450000,3.2958198,0.0,-0.03378065,1882.8,-0.08140110969543457,-0.08140110969543457,1.0
460000,3.2958202,0.0,-0.03685329,1515.3333333333333,0.3709481507539749,0.3709481507539749,1.0
470000,3.2958205,0.0,-0.039102748,2925.5,0.024507969617843628,0.024507969617843628,1.0
480000,3.2958195,0.0,-0.028980428,2130.2,0.28956239223480223,0.28956239223480223,1.0
490000,3.2958205,0.0,-0.041837953,2999.0,0.0,0.0,1.0
500000,3.295821,0.0,-0.029427331,2589.25,0.13659825921058655,0.13659825921058655,1.0
510000,3.2958193,0.0,-0.03605888,2324.75,-0.6666666666666666,-0.6666666666666666,1.0
520000,3.288764,0.0,-0.02253564,2694.25,0.0,0.0,1.0
530000,3.2864783,0.0,-0.008777212,None,0.16257283687591553,0.16257283687591553,1.0
540000,3.2878106,0.0,-0.015398206,2999.0,0.0,0.0,1.0
550000,3.2878294,0.0,-0.012761031,2999.0,0.0,0.0,1.0
560000,3.2876403,0.0,-0.01200062,2646.6,0.11746540069580078,0.11746540069580078,1.0
570000,3.2877824,0.0,-0.016728647,2999.0,0.0,0.0,1.0
