Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2958121,0.0,41.44491525423729,-0.025531732,-0.4661387225414844,-0.4661387225414844,1.0
20000,3.2958124,0.0,40.82845188284519,-0.026378578,-0.5148041841874063,-0.5148041841874063,1.0
30000,3.2958121,0.0,44.760975609756095,-0.02236721,-0.5659027634597407,-0.5659027634597407,1.0
40000,3.2958117,0.0,46.28888888888889,-0.02268865,-0.4869093328052097,-0.4869093328052097,1.0
50000,3.2958117,0.0,39.51417004048583,-0.021380942,-0.5467659925159655,-0.5467659925159655,1.0
60000,3.2958117,0.0,44.113122171945705,-0.023022791,-0.5050111642250648,-0.5050111642250648,1.0
70000,3.295812,0.0,44.662100456621005,-0.022294028,-0.4523905632702727,-0.4523905632702727,1.0
80000,3.2958121,0.0,51.057291666666664,-0.024822503,-0.48208888930579025,-0.48208888930579025,1.0
90000,3.2958117,0.0,42.42857142857143,-0.023032287,-0.463587301376062,-0.463587301376062,1.0
100000,3.2958124,0.0,44.91705069124424,-0.024344802,-0.4033886331567017,-0.4033886331567017,1.0
110000,3.2958114,0.0,47.25480769230769,-0.02653096,-0.4712807690868011,-0.4712807690868011,1.0
120000,3.2958117,0.0,52.48421052631579,-0.023633884,-0.4715084204548284,-0.4715084204548284,1.0
130000,3.2958128,0.0,39.00816326530612,-0.021703556,-0.46568516906426877,-0.46568516906426877,1.0
140000,3.295812,0.0,40.47520661157025,-0.021475371,-0.44458264408032755,-0.44458264408032755,1.0
150000,3.2958117,0.0,71.11805555555556,-0.025570154,-0.4170000015033616,-0.4170000015033616,1.0
160000,3.2958117,0.0,41.46017699115044,-0.02310185,-0.5246923302127197,-0.5246923302127197,1.0
170000,3.2958117,0.0,46.55714285714286,-0.023995345,-0.5193165097917829,-0.5193165097917829,1.0
180000,3.2958124,0.0,39.804545454545455,-0.022411052,-0.5322945453903892,-0.5322945453903892,1.0
190000,3.2958117,0.0,47.83700440528634,-0.02352357,-0.4870619668834535,-0.4870619668834535,1.0
200000,3.2958121,0.0,40.391666666666666,-0.023675673,-0.5253730550408363,-0.5253730550408363,1.0
210000,3.2958121,0.0,49.30582524271845,-0.024683326,-0.49054983807998953,-0.49054983807998953,1.0
220000,3.2958121,0.0,38.995850622406635,-0.024252629,-0.5125399724081838,-0.5125399724081838,1.0
230000,3.295813,0.0,41.32911392405063,-0.020674178,-0.5341054865076572,-0.5341054865076572,1.0
240000,3.2958121,0.0,38.02857142857143,-0.023051448,-0.5206626023703474,-0.5206626023703474,1.0
250000,3.295813,0.0,64.68553459119497,-0.020173324,-0.44016371309002744,-0.44016371309002744,1.0
260000,3.2958117,0.0,42.98237885462555,-0.023050824,-0.5049277515138298,-0.5049277515138298,1.0
270000,3.2958121,0.0,37.9453125,-0.024356842,-0.506015885155648,-0.506015885155648,1.0
280000,3.295812,0.0,51.088541666666664,-0.022987159,-0.4950774305810531,-0.4950774305810531,1.0
290000,3.2958114,0.0,38.476377952755904,-0.02148258,-0.5275876644089466,-0.5275876644089466,1.0
300000,3.2958128,0.0,41.56989247311828,-0.019597458,-0.4738481290200177,-0.4738481290200177,1.0
310000,3.2958121,0.0,48.731404958677686,-0.023755755,-0.5971743804364165,-0.5971743804364165,1.0
320000,3.2958117,0.0,55.18994413407821,-0.024065565,-0.5225728114224013,-0.5225728114224013,1.0
330000,3.2958121,0.0,38.97991967871486,-0.022743378,-0.5082021415472988,-0.5082021415472988,1.0
340000,3.2958128,0.0,45.990610328638496,-0.021178674,-0.45363818535782363,-0.45363818535782363,1.0
350000,3.295812,0.0,49.085,-0.024685545,-0.4182413363456726,-0.4182413363456726,1.0
360000,3.295812,0.0,49.484848484848484,-0.024737291,-0.4828232328097026,-0.4828232328097026,1.0
370000,3.2958128,0.0,51.145833333333336,-0.024263337,-0.5028291664396723,-0.5028291664396723,1.0
380000,3.2958121,0.0,37.034351145038165,-0.025316704,-0.5744786257962234,-0.5744786257962234,1.0
390000,3.295812,0.0,43.16299559471366,-0.02465685,-0.4565585896307151,-0.4565585896307151,1.0
400000,3.2958117,0.0,40.78242677824268,-0.020782767,-0.5295523013529917,-0.5295523013529917,1.0
410000,3.2958124,0.0,42.07327586206897,-0.01990276,-0.549878162042848,-0.549878162042848,1.0
420000,3.2958117,0.0,57.57714285714286,-0.021878595,-0.5087398093087333,-0.5087398093087333,1.0
430000,3.2958121,0.0,40.23809523809524,-0.024374168,-0.5648215515860195,-0.5648215515860195,1.0
440000,3.2958121,0.0,50.292307692307695,-0.023939721,-0.4770061541826297,-0.4770061541826297,1.0
450000,3.2958117,0.0,47.592233009708735,-0.023121182,-0.48328478938167535,-0.48328478938167535,1.0
460000,3.2958112,0.0,41.05,-0.022998339,-0.48441146347857167,-0.48441146347857167,1.0
470000,3.2958121,0.0,58.07103825136612,-0.022988254,-0.5220941390310015,-0.5220941390310015,1.0
480000,3.2958117,0.0,88.22429906542057,-0.01998207,-0.34270555443233913,-0.34270555443233913,1.0
490000,3.2958112,0.0,53.6948051948052,-0.023926768,-0.4547843153959785,-0.4547843153959785,1.0
500000,3.2958124,0.0,68.48554913294798,-0.023279907,-0.4195098270570612,-0.4195098270570612,1.0
510000,3.2958117,0.0,46.91866028708134,-0.019398957,-0.49545645941957905,-0.49545645941957905,1.0
520000,3.2924397,0.0,50.22051282051282,-0.14389205,-0.3569914524371807,-0.3569914524371807,1.0
530000,3.2912004,0.0,40.78661087866109,-0.15503287,-0.412866670466866,-0.412866670466866,1.0
540000,3.2911658,0.0,41.26271186440678,-0.16294348,-0.45341525441509184,-0.45341525441509184,1.0
550000,3.2911456,0.0,45.6822429906542,-0.1592211,-0.43705763243069157,-0.43705763243069157,1.0
560000,3.2911143,0.0,39.076,-0.15485194,-0.45464747047424314,-0.45464747047424314,1.0
570000,3.2915423,0.0,56.9593023255814,-0.15708087,-0.415900775166445,-0.415900775166445,1.0
580000,3.2913105,0.0,54.927374301675975,-0.15860671,-0.36622756053615546,-0.36622756053615546,1.0
590000,3.2912097,0.0,50.649484536082475,-0.15787698,-0.38163024125639927,-0.38163024125639927,1.0
600000,3.2912734,0.0,48.39108910891089,-0.15788156,-0.45553696391606097,-0.45553696391606097,1.0
610000,3.2911975,0.0,47.16346153846154,-0.15982437,-0.42805224313185763,-0.42805224313185763,1.0
620000,3.290906,0.0,39.18875502008032,-0.15566447,-0.40187175350495613,-0.40187175350495613,1.0
630000,3.2913544,0.0,55.63636363636363,-0.15551405,-0.4691196950999173,-0.4691196950999173,1.0
640000,3.291204,0.0,44.248868778280546,-0.1492041,-0.38725248882673446,-0.38725248882673446,1.0
650000,3.2914753,0.0,46.11214953271028,-0.1560085,-0.43932616822073395,-0.43932616822073395,1.0
660000,3.2911289,0.0,51.98930481283423,-0.15602206,-0.3588698758161004,-0.3588698758161004,1.0
670000,3.2912183,0.0,42.11538461538461,-0.15555327,-0.43615470126143885,-0.43615470126143885,1.0
680000,3.2910256,0.0,44.04545454545455,-0.15267268,-0.37990787842056967,-0.37990787842056967,1.0
690000,3.291245,0.0,48.09569377990431,-0.160751,-0.46175438593449203,-0.46175438593449203,1.0
700000,3.2914453,0.0,56.59411764705882,-0.16236132,-0.32737137149362006,-0.32737137149362006,1.0
710000,3.2911367,0.0,45.943396226415096,-0.1587136,-0.42943679274253127,-0.42943679274253127,1.0
720000,3.2909951,0.0,44.27149321266968,-0.1574123,-0.3870337856301355,-0.3870337856301355,1.0
730000,3.2910604,0.0,41.717948717948715,-0.15228193,-0.325367235729837,-0.325367235729837,1.0
740000,3.2912967,0.0,44.47727272727273,-0.15499209,-0.4796321213245392,-0.4796321213245392,1.0
750000,3.2912362,0.0,66.04026845637584,-0.15483452,-0.429664428602129,-0.429664428602129,1.0
760000,3.291064,0.0,50.51269035532995,-0.15696332,-0.337914721009695,-0.337914721009695,1.0
770000,3.2913654,0.0,44.4,-0.15635413,-0.44112000037462284,-0.44112000037462284,1.0
780000,3.2915194,0.0,73.76190476190476,-0.1597512,-0.3720477465036753,-0.3720477465036753,1.0
790000,3.2912633,0.0,55.497206703910614,-0.15861161,-0.3681116110823128,-0.3681116110823128,1.0
800000,3.2910454,0.0,42.526315789473685,-0.15595807,-0.4629903524591212,-0.4629903524591212,1.0
810000,3.291367,0.0,49.494949494949495,-0.1631499,-0.4120026947271944,-0.4120026947271944,1.0
820000,3.291168,0.0,46.91387559808612,-0.16418187,-0.48345422516599224,-0.48345422516599224,1.0
830000,3.291088,0.0,39.991769547325106,-0.15834746,-0.3710877914978153,-0.3710877914978153,1.0
840000,3.291236,0.0,53.6448087431694,-0.15405661,-0.27365173016740973,-0.27365173016740973,1.0
850000,3.2910302,0.0,44.86607142857143,-0.15557705,-0.43093244092805044,-0.43093244092805044,1.0
860000,3.2914174,0.0,52.510989010989015,-0.15360335,-0.3986260078765534,-0.3986260078765534,1.0
870000,3.291117,0.0,45.036866359447004,-0.15780084,-0.49108847934529526,-0.49108847934529526,1.0
880000,3.2911208,0.0,41.85407725321888,-0.16278173,-0.4599551763940365,-0.4599551763940365,1.0
890000,3.2911701,0.0,44.366515837104075,-0.1490378,-0.4301665160990409,-0.4301665160990409,1.0
900000,3.290937,0.0,44.5,-0.15762316,-0.4383045880619539,-0.4383045880619539,1.0
910000,3.291422,0.0,46.28504672897196,-0.16017589,-0.4676473516727162,-0.4676473516727162,1.0
920000,3.2914631,0.0,50.7434554973822,-0.16694391,-0.455802093937759,-0.455802093937759,1.0
930000,3.2912538,0.0,45.43055555555556,-0.15676795,-0.42145524698275105,-0.42145524698275105,1.0
940000,3.291112,0.0,42.66228070175438,-0.16162336,-0.4016634505568889,-0.4016634505568889,1.0
950000,3.291395,0.0,50.78756476683938,-0.15995605,-0.3604956822074139,-0.3604956822074139,1.0
960000,3.2913592,0.0,47.08653846153846,-0.15679786,-0.3733702003955841,-0.3733702003955841,1.0
970000,3.2913966,0.0,51.3469387755102,-0.15726109,-0.416267346970889,-0.416267346970889,1.0
980000,3.2910564,0.0,41.391304347826086,-0.15279163,-0.43486202903415844,-0.43486202903415844,1.0
990000,3.2914183,0.0,58.3905325443787,-0.16229637,-0.46085682811116324,-0.46085682811116324,1.0
1000000,3.2911441,0.0,46.88942307692308,-0.15630557,-0.4618596156629232,-0.4618596156629232,1.0
1010000,3.2915199,0.0,56.549019607843135,-0.16331142,-0.3673722952991337,-0.3673722952991337,1.0
1020000,3.2914612,0.0,62.20224719101124,-0.16283381,-0.4639555572789941,-0.4639555572789941,1.0
1030000,3.2877884,0.0,67.25850340136054,-0.23008212,-0.33041179139597887,-0.33041179139597887,1.0
1040000,3.2797172,0.0,42.56709956709957,-0.2779483,-0.3141139967617018,-0.3141139967617018,1.0
1050000,3.2808256,0.0,57.21301775147929,-0.2804742,-0.3229151865434364,-0.3229151865434364,1.0
1060000,3.2817347,0.0,47.03370786516854,-0.27355102,-0.2914130381365728,-0.2914130381365728,1.0
1070000,3.2818806,0.0,82.26717557251908,-0.2840299,-0.23731145012469693,-0.23731145012469693,1.0
1080000,3.2802134,0.0,56.05945945945946,-0.27861762,-0.32936775328024576,-0.32936775328024576,1.0
1090000,3.279818,0.0,41.143459915611814,-0.2785191,-0.4138945170092683,-0.4138945170092683,1.0
1100000,3.2798731,0.0,42.27403846153846,-0.27683118,-0.40652243649730313,-0.40652243649730313,1.0
1110000,3.2803664,0.0,53.19704433497537,-0.2788017,-0.3720351395935848,-0.3720351395935848,1.0
1120000,3.2809985,0.0,45.01025641025641,-0.27331647,-0.3415429054162441,-0.3415429054162441,1.0
1130000,3.2796686,0.0,48.205357142857146,-0.28212753,-0.2953288677547659,-0.2953288677547659,1.0
1140000,3.2821863,0.0,65.50993377483444,-0.28019935,-0.28766051901886797,-0.28766051901886797,1.0
1150000,3.27974,0.0,43.65919282511211,-0.27913243,-0.3839491787512741,-0.3839491787512741,1.0
1160000,3.280753,0.0,52.03174603174603,-0.27354914,-0.3287276906311197,-0.3287276906311197,1.0
1170000,3.2801285,0.0,53.608695652173914,-0.28284994,-0.28577753642331,-0.28577753642331,1.0
1180000,3.2808855,0.0,48.755,-0.27554852,-0.41516766607761385,-0.41516766607761385,1.0
1190000,3.2810416,0.0,62.221518987341774,-0.27852845,-0.35164514787589446,-0.35164514787589446,1.0
1200000,3.279335,0.0,42.311688311688314,-0.2759037,-0.35770995689160895,-0.35770995689160895,1.0
1210000,3.2806158,0.0,46.803827751196174,-0.28361467,-0.4069722485884525,-0.4069722485884525,1.0
1220000,3.2802458,0.0,50.90155440414508,-0.28244928,-0.34135729136566323,-0.34135729136566323,1.0
1230000,3.2799618,0.0,41.36619718309859,-0.2872995,-0.40903613723327065,-0.40903613723327065,1.0
1240000,3.2798076,0.0,57.3421052631579,-0.27645636,-0.22416140280271832,-0.22416140280271832,1.0
1250000,3.280914,0.0,63.44871794871795,-0.28211224,-0.2409786329819606,-0.2409786329819606,1.0
1260000,3.279145,0.0,38.45418326693227,-0.28198415,-0.3669705174833655,-0.3669705174833655,1.0
1270000,3.2817762,0.0,45.95238095238095,-0.28324968,-0.3695746035802932,-0.3695746035802932,1.0
1280000,3.2814388,0.0,81.90344827586208,-0.28117135,-0.3281158619913562,-0.3281158619913562,1.0
1290000,3.28006,0.0,44.16216216216216,-0.28256622,-0.409958258405462,-0.409958258405462,1.0
1300000,3.2803812,0.0,48.44059405940594,-0.27542478,-0.29040791964767004,-0.29040791964767004,1.0
1310000,3.2803354,0.0,49.796208530805686,-0.2769748,-0.3201576623871428,-0.3201576623871428,1.0
1320000,3.2803864,0.0,56.9875,-0.28258616,-0.30331708416342734,-0.30331708416342734,1.0
1330000,3.2801034,0.0,46.38388625592417,-0.2769134,-0.3252218006911436,-0.3252218006911436,1.0
1340000,3.280202,0.0,46.44600938967136,-0.28415287,-0.3522992173271,-0.3522992173271,1.0
1350000,3.2807086,0.0,53.233695652173914,-0.28353277,-0.2884282612282297,-0.2884282612282297,1.0
1360000,3.280575,0.0,49.55882352941177,-0.2792711,-0.34870947634472566,-0.34870947634472566,1.0
1370000,3.27913,0.0,40.58008658008658,-0.26860324,-0.3922282813431381,-0.3922282813431381,1.0
1380000,3.2800708,0.0,49.391959798994975,-0.28405464,-0.2792700169673517,-0.2792700169673517,1.0
1390000,3.2797558,0.0,44.36036036036036,-0.2839775,-0.36090150529199894,-0.36090150529199894,1.0
1400000,3.280341,0.0,47.297560975609755,-0.27636677,-0.2713447152114496,-0.2713447152114496,1.0
1410000,3.279313,0.0,39.445344129554655,-0.27994102,-0.48410067505199417,-0.48410067505199417,1.0
1420000,3.2798452,0.0,43.83408071748879,-0.28384188,-0.39263288429499743,-0.39263288429499743,1.0
1430000,3.2792382,0.0,42.19396551724138,-0.27467802,-0.3773752877424503,-0.3773752877424503,1.0
1440000,3.279059,0.0,42.21212121212121,-0.27795267,-0.32921529538703687,-0.32921529538703687,1.0
1450000,3.279293,0.0,43.266666666666666,-0.2743092,-0.385292921446066,-0.385292921446066,1.0
1460000,3.2803597,0.0,44.61643835616438,-0.29023215,-0.4295695579215272,-0.4295695579215272,1.0
1470000,3.2797806,0.0,47.90243902439025,-0.27560568,-0.28585235781785917,-0.28585235781785917,1.0
1480000,3.2804167,0.0,50.48969072164948,-0.29001,-0.3609312717447576,-0.3609312717447576,1.0
1490000,3.2797031,0.0,43.14537444933921,-0.288109,-0.32438208510697153,-0.32438208510697153,1.0
1500000,3.2812266,0.0,60.91925465838509,-0.27270555,-0.26421946176090594,-0.26421946176090594,1.0
1510000,3.278679,0.0,38.9203187250996,-0.27748302,-0.404667729875481,-0.404667729875481,1.0
1520000,3.280617,0.0,40.83098591549296,-0.2751775,-0.353105296876943,-0.353105296876943,1.0
1530000,3.280823,0.0,59.377049180327866,-0.27890575,-0.40445646692494874,-0.40445646692494874,1.0
1540000,3.2764826,0.0,49.20603015075377,-0.30894977,-0.2541276378248205,-0.2541276378248205,1.0
1550000,3.2607257,0.0,42.469565217391306,-0.35541853,-0.3094733347063479,-0.3094733347063479,1.0
1560000,3.2612956,0.0,49.28140703517588,-0.3505098,-0.2140274706797384,-0.2140274706797384,1.0
1570000,3.2604506,0.0,46.74641148325359,-0.3536921,-0.23050080018750788,-0.23050080018750788,1.0
1580000,3.2600493,0.0,46.63333333333333,-0.35818106,-0.1907368256932213,-0.1907368256932213,1.0
1590000,3.2608485,0.0,55.717514124293785,-0.3487932,-0.12206177051457981,-0.12206177051457981,1.0
1600000,3.2634027,0.0,56.270114942528735,-0.34942174,-0.10460996559296531,-0.10460996559296531,1.0
1610000,3.2632565,0.0,51.71578947368421,-0.3497369,-0.2976712277061061,-0.2976712277061061,1.0
1620000,3.2626767,0.0,47.58252427184466,-0.35415614,-0.2867996764993205,-0.2867996764993205,1.0
1630000,3.2630672,0.0,60.22699386503067,-0.35804522,-0.2518216759149282,-0.2518216759149282,1.0
1640000,3.2643282,0.0,63.22929936305732,-0.3509083,-0.09292611422812104,-0.09292611422812104,1.0
1650000,3.2604368,0.0,41.32051282051282,-0.35278562,-0.27391567062108946,-0.27391567062108946,1.0
1660000,3.263719,0.0,48.80099502487562,-0.3563773,-0.28879701557444104,-0.28879701557444104,1.0
1670000,3.26406,0.0,66.26174496644295,-0.34750894,-0.24205324313784607,-0.24205324313784607,1.0
1680000,3.2636044,0.0,50.43814432989691,-0.35737437,-0.2917642624107833,-0.2917642624107833,1.0
1690000,3.2622159,0.0,47.29468599033817,-0.34247416,-0.17734299996048933,-0.17734299996048933,1.0
1700000,3.2626083,0.0,54.89385474860335,-0.35583806,-0.13188491453671589,-0.13188491453671589,1.0
1710000,3.2598608,0.0,43.67857142857143,-0.3543195,-0.23078095380749022,-0.23078095380749022,1.0
1720000,3.260289,0.0,45.25345622119816,-0.35497317,-0.29071367116567726,-0.29071367116567726,1.0
1730000,3.2599993,0.0,46.67619047619048,-0.3509112,-0.21210698456991287,-0.21210698456991287,1.0
1740000,3.2605193,0.0,47.320388349514566,-0.35304934,-0.24318576206281348,-0.24318576206281348,1.0
1750000,3.2604952,0.0,45.550925925925924,-0.3496449,-0.22488333395233862,-0.22488333395233862,1.0
1760000,3.265918,0.0,65.57718120805369,-0.34529105,-0.1580595074083981,-0.1580595074083981,1.0
1770000,3.259945,0.0,49.10891089108911,-0.34272417,-0.14415082423993858,-0.14415082423993858,1.0
1780000,3.2603948,0.0,47.00483091787439,-0.3497492,-0.23460579609525375,-0.23460579609525375,1.0
1790000,3.262356,0.0,49.06030150753769,-0.35514647,-0.27674103861478105,-0.27674103861478105,1.0
1800000,3.2634163,0.0,53.108108108108105,-0.35916302,-0.19768360369914287,-0.19768360369914287,1.0
1810000,3.2612064,0.0,53.33152173913044,-0.35029528,-0.2585271745920181,-0.2585271745920181,1.0
1820000,3.2605271,0.0,48.955,-0.34545487,-0.24290066838264465,-0.24290066838264465,1.0
1830000,3.2606974,0.0,44.30316742081448,-0.34737897,-0.1860434399471024,-0.1860434399471024,1.0
1840000,3.2604175,0.0,45.225806451612904,-0.3455283,-0.21930445504078666,-0.21930445504078666,1.0
1850000,3.2658472,0.0,57.85526315789474,-0.3550911,-0.23055394699699,-0.23055394699699,1.0
1860000,3.261265,0.0,57.41798941798942,-0.3554143,-0.2488790126073928,-0.2488790126073928,1.0
1870000,3.2593248,0.0,43.06167400881057,-0.3522646,-0.3373814978788603,-0.3373814978788603,1.0
1880000,3.2624652,0.0,49.345,-0.35023558,-0.21045499920845032,-0.21045499920845032,1.0
1890000,3.2611806,0.0,49.744897959183675,-0.35912377,-0.29612142820747533,-0.29612142820747533,1.0
1900000,3.2616289,0.0,48.48514851485149,-0.35518733,-0.26047722832991344,-0.26047722832991344,1.0
1910000,3.2611015,0.0,47.77560975609756,-0.359233,-0.19802276448505682,-0.19802276448505682,1.0
1920000,3.2609358,0.0,45.80281690140845,-0.35262498,-0.1654447613747467,-0.1654447613747467,1.0
1930000,3.2640467,0.0,59.448484848484846,-0.34835765,-0.14933374144814232,-0.14933374144814232,1.0
1940000,3.2642488,0.0,60.515337423312886,-0.35302502,-0.19987116562076873,-0.19987116562076873,1.0
