Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2958148,0.0,52.244680851063826,0.012931458,-0.45741889502275435,-0.45741889502275435,1.0
20000,3.2958148,0.0,41.331932773109244,0.012849925,-0.5295949583294011,-0.5295949583294011,1.0
30000,3.295815,0.0,44.085972850678736,0.013124703,-0.40998612377978016,-0.40998612377978016,1.0
40000,3.2958152,0.0,43.66009852216749,0.0136406915,-0.5005300705339394,-0.5005300705339394,1.0
50000,3.2958152,0.0,42.548,0.009334126,-0.5423651943245087,-0.5423651943245087,1.0
60000,3.2958157,0.0,53.12432432432433,0.013154115,-0.4301387384131148,-0.4301387384131148,1.0
70000,3.2958145,0.0,40.62916666666667,0.010429887,-0.5730427781740824,-0.5730427781740824,1.0
80000,3.2958152,0.0,40.032786885245905,0.012778904,-0.4449002732996081,-0.4449002732996081,1.0
90000,3.2958157,0.0,35.89754098360656,0.014645998,-0.5553597279957363,-0.5553597279957363,1.0
100000,3.2958145,0.0,52.68292682926829,0.0107121095,-0.45852091440967485,-0.45852091440967485,1.0
110000,3.2958143,0.0,47.27751196172249,0.00893633,-0.5168226472498697,-0.5168226472498697,1.0
120000,3.2958143,0.0,51.62765957446808,0.013596427,-0.47877801415768073,-0.47877801415768073,1.0
130000,3.2958148,0.0,51.87301587301587,0.01165245,-0.4659654318340241,-0.4659654318340241,1.0
140000,3.2958155,0.0,39.1,0.011257259,-0.5181487998962402,-0.5181487998962402,1.0
150000,3.2958157,0.0,39.86082474226804,0.013588599,-0.5439195872582111,-0.5439195872582111,1.0
160000,3.2958148,0.0,55.598130841121495,0.013425624,-0.4256021798214066,-0.4256021798214066,1.0
170000,3.2958145,0.0,53.59444444444444,0.015545443,-0.35968029367330984,-0.35968029367330984,1.0
180000,3.2958148,0.0,52.544973544973544,0.011489506,-0.5373482269809601,-0.5373482269809601,1.0
190000,3.2958145,0.0,49.22613065326633,0.01348983,-0.47263651636976695,-0.47263651636976695,1.0
200000,3.2958148,0.0,49.145,0.010616153,-0.5079790008068085,-0.5079790008068085,1.0
210000,3.295815,0.0,44.932126696832576,0.00933081,-0.49129321186790637,-0.49129321186790637,1.0
220000,3.2958145,0.0,36.61302681992337,0.009343022,-0.509910855485105,-0.509910855485105,1.0
230000,3.2958148,0.0,49.64824120603015,0.009799455,-0.4200874369348114,-0.4200874369348114,1.0
240000,3.2958152,0.0,39.22489959839358,0.012290708,-0.5006072286621155,-0.5006072286621155,1.0
250000,3.295815,0.0,43.493273542600896,0.012212723,-0.4356331841293472,-0.4356331841293472,1.0
260000,3.2958152,0.0,42.97356828193833,0.01081936,-0.4957530099389837,-0.4957530099389837,1.0
270000,3.2958155,0.0,39.976284584980235,0.010695367,-0.5575696974403773,-0.5575696974403773,1.0
280000,3.2958148,0.0,42.88636363636363,0.011232659,-0.47524575807831504,-0.47524575807831504,1.0
290000,3.2958152,0.0,41.81623931623932,0.013926712,-0.5235529913861527,-0.5235529913861527,1.0
300000,3.295815,0.0,39.76923076923077,0.007239631,-0.4109996593915499,-0.4109996593915499,1.0
310000,3.295815,0.0,56.725118483412324,0.010710322,-0.4693557662421493,-0.4693557662421493,1.0
320000,3.2958145,0.0,44.967592592592595,0.0128198005,-0.442375925955949,-0.442375925955949,1.0
330000,3.2958148,0.0,45.84331797235023,0.013818568,-0.5070697382298482,-0.5070697382298482,1.0
340000,3.2958157,0.0,42.11946902654867,0.014745504,-0.49797197622535505,-0.49797197622535505,1.0
350000,3.2958152,0.0,51.382198952879584,0.01242602,-0.5499308901931603,-0.5499308901931603,1.0
360000,3.295815,0.0,45.495370370370374,0.014117806,-0.47238178992712937,-0.47238178992712937,1.0
370000,3.2958148,0.0,51.146596858638745,0.012575905,-0.5079849911609869,-0.5079849911609869,1.0
380000,3.2958152,0.0,47.78743961352657,0.010746038,-0.5219088559565337,-0.5219088559565337,1.0
390000,3.2958145,0.0,43.67567567567568,0.013436104,-0.4934378384469866,-0.4934378384469866,1.0
400000,3.2958148,0.0,41.693548387096776,0.010691163,-0.4813924726619515,-0.4813924726619515,1.0
410000,3.295815,0.0,59.833333333333336,0.012790496,-0.535656228812054,-0.535656228812054,1.0
420000,3.2958152,0.0,41.82832618025751,0.011212521,-0.504644921409214,-0.504644921409214,1.0
430000,3.2958145,0.0,48.12021857923497,0.010404316,-0.5066167708954524,-0.5066167708954524,1.0
440000,3.295815,0.0,53.584158415841586,0.01254133,-0.4111676564311037,-0.4111676564311037,1.0
450000,3.2958152,0.0,51.303664921465966,0.013645319,-0.541930540693992,-0.541930540693992,1.0
460000,3.2958152,0.0,52.45454545454545,0.013463201,-0.5347953658690427,-0.5347953658690427,1.0
470000,3.295815,0.0,42.307359307359306,0.009499649,-0.5497382183013291,-0.5497382183013291,1.0
480000,3.2958148,0.0,38.17254901960784,0.015744573,-0.47892392195907296,-0.47892392195907296,1.0
490000,3.295815,0.0,49.995,0.01411361,-0.505598002076149,-0.505598002076149,1.0
500000,3.2958148,0.0,48.045,0.011991479,-0.517598666548729,-0.517598666548729,1.0
510000,3.2958148,0.0,42.8068669527897,0.01338522,-0.5045027180291041,-0.5045027180291041,1.0
520000,3.2925756,0.0,47.89054726368159,-0.07645471,-0.43578374741682363,-0.43578374741682363,1.0
530000,3.2916615,0.0,54.443243243243245,-0.09687834,-0.5301304517565547,-0.5301304517565547,1.0
540000,3.291206,0.0,41.6359649122807,-0.1029689,-0.4345508766801734,-0.4345508766801734,1.0
550000,3.291419,0.0,43.68609865470852,-0.09741586,-0.44869775809514684,-0.44869775809514684,1.0
560000,3.2913537,0.0,47.72774869109948,-0.10291794,-0.3988861118753751,-0.3988861118753751,1.0
570000,3.2914336,0.0,53.159203980099505,-0.103144795,-0.4851540005207062,-0.4851540005207062,1.0
580000,3.291902,0.0,53.076388888888886,-0.0980292,-0.3788282411793868,-0.3788282411793868,1.0
590000,3.291805,0.0,74.62264150943396,-0.10122931,-0.45620209690909713,-0.45620209690909713,1.0
600000,3.29129,0.0,43.66222222222222,-0.097465366,-0.4513274076249864,-0.4513274076249864,1.0
610000,3.291369,0.0,47.41747572815534,-0.09876735,-0.47090097075527154,-0.47090097075527154,1.0
620000,3.291637,0.0,52.86631016042781,-0.102521926,-0.4786791444462251,-0.4786791444462251,1.0
630000,3.291276,0.0,43.914027149321264,-0.10074736,-0.47525248861960157,-0.47525248861960157,1.0
640000,3.2913182,0.0,43.635555555555555,-0.09839175,-0.4780408896340264,-0.4780408896340264,1.0
650000,3.2913742,0.0,39.283400809716596,-0.097401604,-0.44371686918050174,-0.44371686918050174,1.0
