Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2958226,38.852589641434264,-0.0044506774,-0.9522554006576538,-0.9522554006576538,1.0
20000,3.2958229,39.78455284552845,-0.0049204924,-0.9594560973043365,-0.9594560973043365,1.0
30000,3.295823,45.1889400921659,-0.0033268,-0.9358850242355452,-0.9358850242355452,1.0
40000,3.2958224,51.91489361702128,-0.002113069,-0.8942082470401804,-0.8942082470401804,1.0
50000,3.2958229,44.68949771689498,-0.00031018886,-0.9272655254085315,-0.9272655254085315,1.0
60000,3.2958229,44.40909090909091,-0.0063496954,-0.9395856062571207,-0.9395856062571207,1.0
70000,3.2958229,54.336683417085425,-0.0008695139,-0.9598912060560294,-0.9598912060560294,1.0
80000,3.295823,47.84699453551912,-0.004555328,-0.9134309784225796,-0.9134309784225796,1.0
90000,3.295823,62.63583815028902,-0.0037368129,-0.9318439447121813,-0.9318439447121813,1.0
100000,3.2958226,47.391304347826086,-0.0014586431,-0.9421818838027365,-0.9421818838027365,1.0
110000,3.2958226,48.068627450980394,-0.003937807,-0.9414475487143386,-0.9414475487143386,1.0
120000,3.2958229,45.901869158878505,-0.005396907,-0.9627303737346257,-0.9627303737346257,1.0
130000,3.2958226,38.54581673306773,-0.0023302215,-0.9604745041801634,-0.9604745041801634,1.0
140000,3.2958226,45.251282051282054,-0.0024044053,-0.9592830771054977,-0.9592830771054977,1.0
150000,3.295823,46.39224137931034,-0.004067538,-0.9742051722674534,-0.9742051722674534,1.0
160000,3.2958226,44.95918367346939,-0.0042016,-0.9695801026358897,-0.9695801026358897,1.0
170000,3.2958226,61.74285714285714,-0.0016618717,-0.9659151434898376,-0.9659151434898376,1.0
180000,3.2958229,43.27312775330397,-0.0055600004,-0.9473859029719482,-0.9473859029719482,1.0
190000,3.2958229,45.25345622119816,-0.0031489797,-0.9634159001337218,-0.9634159001337218,1.0
200000,3.2958229,54.994350282485875,-0.0021856716,-0.9664110187756814,-0.9664110187756814,1.0
210000,3.2958229,47.32367149758454,-0.00586377,-0.9711654592251432,-0.9711654592251432,1.0
220000,3.2958229,49.786802030456855,-0.0029889978,-0.939364213023694,-0.939364213023694,1.0
230000,3.295823,51.035532994923855,-0.0037050466,-0.9494647205178508,-0.9494647205178508,1.0
240000,3.2958226,37.43307086614173,-0.004483421,-0.9373336622095484,-0.9373336622095484,1.0
250000,3.2958229,36.57142857142857,-0.0037393286,-0.9550208644311231,-0.9550208644311231,1.0
260000,3.2958229,42.98039215686274,-0.0019344753,-0.9708818647206998,-0.9708818647206998,1.0
270000,3.295823,64.26627218934911,-0.001229371,-0.9528139046663363,-0.9528139046663363,1.0
280000,3.2958233,42.54978354978355,-0.0043791644,-0.9569530316761562,-0.9569530316761562,1.0
290000,3.2958233,40.52301255230125,-0.0048647197,-0.9499368196252,-0.9499368196252,1.0
300000,3.2958229,45.3743842364532,-0.005124181,-0.9608715682053098,-0.9608715682053098,1.0
310000,3.2958226,50.289855072463766,-0.0027245753,-0.9517269418077562,-0.9517269418077562,1.0
320000,3.2958229,59.17365269461078,-0.0054031983,-0.9881011975739531,-0.9881011975739531,1.0
330000,3.2958233,42.221739130434784,-0.0055115656,-0.974042391517888,-0.974042391517888,1.0
340000,3.2958226,43.14537444933921,-0.0014666106,-0.9651226889719522,-0.9651226889719522,1.0
350000,3.295823,37.17175572519084,-0.002439579,-0.9847723282020511,-0.9847723282020511,1.0
360000,3.2958226,42.67391304347826,-0.0044038594,-0.9307099992814272,-0.9307099992814272,1.0
370000,3.2958229,48.95477386934673,-0.00057999603,-0.9500203519011262,-0.9500203519011262,1.0
380000,3.2958233,44.50253807106599,-0.0060992325,-0.9595263957372172,-0.9595263957372172,1.0
390000,3.2958226,57.04736842105263,-0.0017151805,-0.9265978944929023,-0.9265978944929023,1.0
400000,3.295823,45.142857142857146,-0.0040303674,-0.9724532255928637,-0.9724532255928637,1.0
410000,3.2958221,41.098591549295776,-0.003170031,-0.9439206568288131,-0.9439206568288131,1.0
420000,3.2958226,57.893048128342244,-0.003950857,-0.9579093660262816,-0.9579093660262816,1.0
430000,3.295823,50.76165803108808,-0.0040067025,-0.9381132128942816,-0.9381132128942816,1.0
440000,3.2958229,48.554455445544555,-0.0058173034,-0.9506326733839394,-0.9506326733839394,1.0
450000,3.295823,38.33464566929134,-0.004412712,-0.9764316929137613,-0.9764316929137613,1.0
460000,3.295823,51.15625,-0.004008686,-0.9688367185493311,-0.9688367185493311,1.0
470000,3.2958226,47.365591397849464,0.004269873,-0.9574868985038391,-0.9574868985038391,1.0
480000,3.2958229,55.69318181818182,-0.005126226,-0.8749319999558585,-0.8749319999558585,1.0
490000,3.2958229,43.31527093596059,-0.002642181,-1.0,-1.0,1.0
500000,3.2958224,49.52521008403362,-0.0053336862,-0.9748905461375453,-0.9748905461375453,1.0
510000,3.2958229,51.41361256544503,-0.0013862221,-0.9791327224976105,-0.9791327224976105,1.0
520000,3.293208,49.43601895734597,-0.13891613,-0.9531289135675295,-0.9531289135675295,1.0
530000,3.292208,47.41279069767442,-0.18535367,-0.9193142472311507,-0.9193142472311507,1.0
540000,3.2920108,50.76635514018692,-0.18122669,-0.9812786383248271,-0.9812786383248271,1.0
550000,3.2918012,45.00925925925926,-0.1874944,-0.9540647463315094,-0.9540647463315094,1.0
560000,3.2919948,42.698689956331876,-0.18381304,-0.913235810125759,-0.913235810125759,1.0
570000,3.2919233,44.765306122448976,-0.18219969,-0.9694663264921733,-0.9694663264921733,1.0
580000,3.2920868,51.094339622641506,-0.18503334,-0.9153097167399258,-0.9153097167399258,1.0
590000,3.2917998,47.853658536585364,-0.18314713,-0.9709432035395242,-0.9709432035395242,1.0
600000,3.2920916,42.12987012987013,-0.18439573,-0.931134201231457,-0.931134201231457,1.0
610000,3.29208,45.486111111111114,-0.18305647,-0.9631405097466929,-0.9631405097466929,1.0
620000,3.2922974,45.175257731958766,-0.1887664,-0.9692201030623052,-0.9692201030623052,1.0
630000,3.2920144,58.73513513513514,-0.18280979,-0.9141108123031823,-0.9141108123031823,1.0
640000,3.2921689,49.816326530612244,-0.18532486,-0.9593938774600321,-0.9593938774600321,1.0
650000,3.292031,48.504950495049506,-0.18338114,-0.9507103954801465,-0.9507103954801465,1.0
660000,3.2919428,40.26337448559671,-0.18320812,-0.9345602886176404,-0.9345602886176404,1.0
670000,3.2919288,39.47154471544715,-0.18403402,-0.9432806905692186,-0.9432806905692186,1.0
680000,3.2921326,48.84126984126984,-0.1843779,-0.9582236864064869,-0.9582236864064869,1.0
690000,3.2918818,45.32608695652174,-0.18502441,-0.9304438865861517,-0.9304438865861517,1.0
700000,3.2921417,45.429906542056074,-0.18439676,-0.9255843463345109,-0.9255843463345109,1.0
710000,3.29193,50.005050505050505,-0.18610148,-0.9597138885897819,-0.9597138885897819,1.0
720000,3.2920384,40.40909090909091,-0.1828033,-0.9671086777340282,-0.9671086777340282,1.0
730000,3.2919674,51.515957446808514,-0.18135306,-0.9683183520398242,-0.9683183520398242,1.0
740000,3.2919736,40.10612244897959,-0.18234913,-0.9513910225459508,-0.9513910225459508,1.0
750000,3.2919366,38.752,-0.18221204,-0.9682210009098053,-0.9682210009098053,1.0
760000,3.2921906,53.21666666666667,-0.18502061,-0.9341624329761905,-0.9341624329761905,1.0
770000,3.2922666,47.84905660377358,-0.18330653,-0.9122188683575804,-0.9122188683575804,1.0
780000,3.292074,64.86315789473684,-0.18467988,-0.9368870384478695,-0.9368870384478695,1.0
790000,3.2922692,59.32727272727273,-0.18515842,-0.9640284877834898,-0.9640284877834898,1.0
800000,3.2920985,45.61340206185567,-0.18482664,-0.9795507690845392,-0.9795507690845392,1.0
810000,3.2919257,48.574660633484164,-0.1821095,-0.9909261364828457,-0.9909261364828457,1.0
820000,3.291848,45.423963133640555,-0.18436332,-0.9632596774584686,-0.9632596774584686,1.0
830000,3.2921853,52.94565217391305,-0.18188144,-0.9135190229053083,-0.9135190229053083,1.0
840000,3.2922146,48.477832512315274,-0.18265441,-0.9411788174671493,-0.9411788174671493,1.0
850000,3.2920985,48.7,-0.18632114,-0.9377656254917384,-0.9377656254917384,1.0
860000,3.292307,55.225,-0.18057562,-0.9377812508493661,-0.9377812508493661,1.0
870000,3.2920902,57.81900452488688,-0.18551348,-0.9820325798038984,-0.9820325798038984,1.0
880000,3.2920518,43.44888888888889,-0.18602036,-0.9380884453985426,-0.9380884453985426,1.0
890000,3.2920718,49.37980769230769,-0.18464762,-0.9522137031532251,-0.9522137031532251,1.0
900000,3.2919195,48.96335078534032,-0.18621944,-0.9582887432338055,-0.9582887432338055,1.0
910000,3.2919064,45.52995391705069,-0.18237884,-0.9632433177688704,-0.9632433177688704,1.0
920000,3.2919452,52.02105263157895,-0.18392332,-0.9477500002635153,-0.9477500002635153,1.0
930000,3.2920012,48.495,-0.18413825,-0.9403552523255349,-0.9403552523255349,1.0
940000,3.2921393,48.87437185929648,-0.18814272,-0.9599434670491435,-0.9599434670491435,1.0
950000,3.292123,49.93181818181818,-0.183756,-0.9208872176029466,-0.9208872176029466,1.0
960000,3.2920754,60.6927374301676,-0.18448839,-0.9443703913155881,-0.9443703913155881,1.0
970000,3.2920828,44.425339366515836,-0.1822291,-0.954917420628923,-0.954917420628923,1.0
980000,3.2918313,41.25423728813559,-0.18427032,-0.949275847461264,-0.949275847461264,1.0
990000,3.292186,44.09049773755656,-0.18466008,-0.9098694569924298,-0.9098694569924298,1.0
1000000,3.2920446,42.02843601895734,-0.18673764,-0.9150056872887634,-0.9150056872887634,1.0
1010000,3.2920246,58.79891304347826,-0.17983028,-0.9241986407533936,-0.9241986407533936,1.0
1020000,3.292145,51.13636363636363,-0.18327317,-0.969794696930683,-0.969794696930683,1.0
1030000,3.2891397,70.71641791044776,-0.27755478,-0.9107529845700335,-0.9107529845700335,1.0
1040000,3.2854812,44.31674208144796,-0.34121937,-0.9549576920621535,-0.9549576920621535,1.0
1050000,3.2849965,43.58482142857143,-0.3401031,-0.9198984373360872,-0.9198984373360872,1.0
1060000,3.285354,44.41818181818182,-0.33755603,-0.9184677270325747,-0.9184677270325747,1.0
1070000,3.285299,47.375,-0.3379466,-0.9616973554858794,-0.9616973554858794,1.0
1080000,3.2850847,40.19815668202765,-0.34031168,-0.9449592164035217,-0.9449592164035217,1.0
1090000,3.2853363,50.09183673469388,-0.33656552,-0.9288094381288606,-0.9288094381288606,1.0
1100000,3.2853577,46.370370370370374,-0.33502924,-0.936813492938955,-0.936813492938955,1.0
1110000,3.2857654,52.071005917159766,-0.3375022,-0.9646396446510179,-0.9646396446510179,1.0
1120000,3.2852886,62.45145631067961,-0.33656392,-0.9372012137788014,-0.9372012137788014,1.0
1130000,3.2855422,50.47692307692308,-0.33735323,-0.8978584622725462,-0.8978584622725462,1.0
1140000,3.2848349,40.29045643153527,-0.33642793,-0.9255788378201085,-0.9255788378201085,1.0
1150000,3.2852795,46.36492890995261,-0.3377214,-0.9338488149416955,-0.9338488149416955,1.0
1160000,3.2846353,47.5873786407767,-0.33844706,-0.9322293684320543,-0.9322293684320543,1.0
1170000,3.285059,43.82062780269058,-0.33987543,-0.9284867708458494,-0.9284867708458494,1.0
1180000,3.2848423,42.14592274678112,-0.33711618,-0.9229768240912278,-0.9229768240912278,1.0
1190000,3.2854772,50.71649484536083,-0.33779258,-0.9075394328107539,-0.9075394328107539,1.0
1200000,3.2856328,55.220338983050844,-0.33507425,-0.9436655367835093,-0.9436655367835093,1.0
1210000,3.2859821,54.25925925925926,-0.33476186,-0.9386768532388005,-0.9386768532388005,1.0
1220000,3.2851877,43.067961165048544,-0.34190354,-0.9806131066627872,-0.9806131066627872,1.0
1230000,3.285618,64.73076923076923,-0.33727488,-0.9451793956232595,-0.9451793956232595,1.0
1240000,3.2855487,46.96969696969697,-0.336776,-0.9517969705841758,-0.9517969705841758,1.0
1250000,3.2855701,69.23837209302326,-0.33967414,-0.9420514532993006,-0.9420514532993006,1.0
1260000,3.2849183,39.607287449392715,-0.33935606,-0.9596111335252461,-0.9596111335252461,1.0
1270000,3.2852087,46.248826291079816,-0.33650538,-0.9345049292828556,-0.9345049292828556,1.0
1280000,3.2853267,46.17368421052632,-0.33451524,-0.98949552617575,-0.98949552617575,1.0
1290000,3.2856097,54.82022471910113,-0.33722657,-0.9215943820021125,-0.9215943820021125,1.0
1300000,3.285703,58.36904761904762,-0.33284432,-0.928975298291161,-0.928975298291161,1.0
1310000,3.284903,47.69603524229075,-0.33608103,-0.9035151981572223,-0.9035151981572223,1.0
1320000,3.2853863,48.07881773399015,-0.3372937,-0.9411763542978634,-0.9411763542978634,1.0
1330000,3.2849925,43.875,-0.339516,-0.9644167409943682,-0.9644167409943682,1.0
1340000,3.2853355,43.69506726457399,-0.33753297,-0.8927858752520095,-0.8927858752520095,1.0
1350000,3.2855365,48.13300492610838,-0.339757,-0.9512704475759872,-0.9512704475759872,1.0
1360000,3.285845,44.86184210526316,-0.3372355,-0.9345345406940109,-0.9345345406940109,1.0
1370000,3.285919,65.9,-0.3360128,-0.9602566675345103,-0.9602566675345103,1.0
1380000,3.2850804,57.783068783068785,-0.33910477,-0.9475873680491197,-0.9475873680491197,1.0
1390000,3.2852669,44.818652849740936,-0.33608985,-0.9273572918027639,-0.9273572918027639,1.0
1400000,3.2855716,66.46733668341709,-0.34013635,-0.9549130653616172,-0.9549130653616172,1.0
1410000,3.2852077,43.486111111111114,-0.33750463,-0.9447046289289439,-0.9447046289289439,1.0
1420000,3.2850945,44.89908256880734,-0.33776295,-0.9270204133396849,-0.9270204133396849,1.0
1430000,3.2848105,41.740425531914894,-0.34164017,-0.9490938295709326,-0.9490938295709326,1.0
1440000,3.2850506,38.05652173913043,-0.34073827,-0.9480876082959382,-0.9480876082959382,1.0
1450000,3.2855313,61.10674157303371,-0.33869845,-0.9662347459523691,-0.9662347459523691,1.0
1460000,3.285429,43.752252252252255,-0.33924955,-0.9373901344735526,-0.9373901344735526,1.0
1470000,3.2853756,44.933673469387756,-0.33867726,-0.9389811222042356,-0.9389811222042356,1.0
1480000,3.2848597,53.62189054726368,-0.3373256,-0.9504805969361642,-0.9504805969361642,1.0
1490000,3.2851675,41.42796610169491,-0.3394405,-0.9325413138179456,-0.9325413138179456,1.0
1500000,3.2857935,52.69822485207101,-0.33836117,-0.9881866863493384,-0.9881866863493384,1.0
1510000,3.2858334,52.373333333333335,-0.33256167,-0.8682238420113823,-0.8682238420113823,1.0
1520000,3.285295,51.116402116402114,-0.33400407,-0.9469579781623597,-0.9469579781623597,1.0
1530000,3.2853606,61.516746411483254,-0.3401006,-0.9522897124860845,-0.9522897124860845,1.0
1540000,3.2859194,49.36986301369863,-0.350302,-0.971571428009442,-0.971571428009442,1.0
1550000,3.2775738,77.90062111801242,-0.4632674,-0.9045514967627154,-0.9045514967627154,1.0
1560000,3.2764456,56.0,-0.46545428,-0.8975385713577271,-0.8975385713577271,1.0
1570000,3.275821,42.78111587982833,-0.47258946,-0.931884550997116,-0.931884550997116,1.0
1580000,3.2759647,44.046082949308754,-0.4694311,-0.9448682025830317,-0.9448682025830317,1.0
1590000,3.2769597,48.22660098522167,-0.47428045,-0.9411541878296237,-0.9411541878296237,1.0
1600000,3.2751572,43.422222222222224,-0.4718294,-0.9293924485312568,-0.9293924485312568,1.0
1610000,3.2774785,51.96296296296296,-0.46675223,-0.9262211638152915,-0.9262211638152915,1.0
1620000,3.27598,43.825,-0.4627964,-0.9400960001349449,-0.9400960001349449,1.0
1630000,3.2774808,47.12571428571429,-0.46732378,-0.9544137137276786,-0.9544137137276786,1.0
1640000,3.276475,71.76878612716763,-0.4683972,-0.9538725431943904,-0.9538725431943904,1.0
1650000,3.2765515,45.60621761658031,-0.46725017,-0.896737305302694,-0.896737305302694,1.0
1660000,3.2778227,44.11038961038961,-0.46701857,-0.9482379869207159,-0.9482379869207159,1.0
1670000,3.2764869,106.30534351145039,-0.45697808,-0.9163977098828964,-0.9163977098828964,1.0
1680000,3.27628,47.44444444444444,-0.47054458,-0.9326492749550492,-0.9326492749550492,1.0
1690000,3.2771578,52.7379679144385,-0.46721172,-0.9679828875842579,-0.9679828875842579,1.0
1700000,3.276291,43.633187772925766,-0.47115007,-0.9218244555215127,-0.9218244555215127,1.0
1710000,3.2775433,55.593023255813954,-0.46079364,-0.907322964695997,-0.907322964695997,1.0
1720000,3.2774827,48.705555555555556,-0.46061876,-0.9778658330440522,-0.9778658330440522,1.0
1730000,3.2768428,61.88068181818182,-0.46224633,-0.9546965905888514,-0.9546965905888514,1.0
1740000,3.276341,48.45320197044335,-0.46434104,-0.9508697044085986,-0.9508697044085986,1.0
1750000,3.2767608,46.8421052631579,-0.46857163,-0.9583505248524131,-0.9583505248524131,1.0
1760000,3.2769976,56.108247422680414,-0.45734477,-0.9181735858398398,-0.9181735858398398,1.0
1770000,3.276726,47.7,-0.45886213,-0.9113286107778549,-0.9113286107778549,1.0
1780000,3.2780404,61.475,-0.4560345,-0.913069375604391,-0.913069375604391,1.0
1790000,3.2779887,66.17901234567901,-0.46221185,-0.9266184045493238,-0.9266184045493238,1.0
1800000,3.2768462,47.883720930232556,-0.47046334,-0.9548205882310867,-0.9548205882310867,1.0
1810000,3.2755198,51.205357142857146,-0.46701232,-0.9374753359721915,-0.9374753359721915,1.0
1820000,3.2757382,41.35294117647059,-0.4686594,-0.9580972683029014,-0.9580972683029014,1.0
1830000,3.2763388,41.009433962264154,-0.46645567,-0.9247627356704676,-0.9247627356704676,1.0
1840000,3.276521,48.955555555555556,-0.4661137,-0.9335541662242678,-0.9335541662242678,1.0
1850000,3.2771337,49.85795454545455,-0.46490738,-0.9094318181953647,-0.9094318181953647,1.0
1860000,3.2760773,59.74626865671642,-0.47512093,-0.9753376236646483,-0.9753376236646483,1.0
1870000,3.2760696,53.608040201005025,-0.45854065,-0.9294714644701794,-0.9294714644701794,1.0
1880000,3.2759588,44.58080808080808,-0.46968263,-0.9190177660303067,-0.9190177660303067,1.0
1890000,3.2767198,44.64141414141414,-0.47111374,-0.9398821601316557,-0.9398821601316557,1.0
1900000,3.2762637,54.055299539170505,-0.46675897,-0.9448214285934027,-0.9448214285934027,1.0
1910000,3.2757483,49.482412060301506,-0.4690393,-0.9399389447878354,-0.9399389447878354,1.0
1920000,3.2754214,42.26521739130435,-0.46762958,-0.9133210866347603,-0.9133210866347603,1.0
1930000,3.275553,45.04128440366973,-0.46523172,-0.944972350026056,-0.944972350026056,1.0
1940000,3.2752566,42.112554112554115,-0.46532467,-0.9570868531691616,-0.9570868531691616,1.0
1950000,3.2753563,41.76068376068376,-0.46973062,-0.9403425213108715,-0.9403425213108715,1.0
1960000,3.2751436,43.39111111111111,-0.47087917,-0.9734235551622179,-0.9734235551622179,1.0
1970000,3.2763648,44.527272727272724,-0.4711127,-0.9366036360914057,-0.9366036360914057,1.0
1980000,3.2768362,51.44502617801047,-0.4696842,-0.9164832462190957,-0.9164832462190957,1.0
1990000,3.2759926,47.23671497584541,-0.46771953,-0.9134183574989798,-0.9134183574989798,1.0
2000000,3.2763138,48.71078431372549,-0.47254223,-0.9415433839255688,-0.9415433839255688,1.0
2010000,3.2764537,53.39010989010989,-0.46630263,-0.9235445071052719,-0.9235445071052719,1.0
2020000,3.2758007,42.608695652173914,-0.46824408,-0.9220291300960209,-0.9220291300960209,1.0
2030000,3.2770038,53.879120879120876,-0.46819666,-0.9347151157620189,-0.9347151157620189,1.0
2040000,3.2766793,44.94444444444444,-0.46520036,-0.9261101851308787,-0.9261101851308787,1.0
2050000,3.2765815,58.86740331491713,-0.47057348,-0.9633539882174299,-0.9633539882174299,1.0
2060000,3.2675002,57.83647798742138,-0.5438627,-0.9101802272311712,-0.9101802272311712,1.0
2070000,3.2649832,42.808035714285715,-0.5445273,-0.857921876013279,-0.857921876013279,1.0
2080000,3.2660806,47.40096618357488,-0.5425115,-0.9518429950815468,-0.9518429950815468,1.0
2090000,3.2652164,44.19911504424779,-0.5503223,-0.9205787603834034,-0.9205787603834034,1.0
2100000,3.2653706,47.10344827586207,-0.547686,-0.9215652719507077,-0.9215652719507077,1.0
2110000,3.2646534,44.5,-0.5447741,-0.9185629557479512,-0.9185629557479512,1.0
2120000,3.2641406,44.794520547945204,-0.5516026,-0.9362442918019752,-0.9362442918019752,1.0
2130000,3.2656536,44.23232323232323,-0.5478016,-0.9295154036295534,-0.9295154036295534,1.0
2140000,3.2671556,45.424870466321245,-0.54231626,-0.9586386007348491,-0.9586386007348491,1.0
2150000,3.2673774,75.4746835443038,-0.55168366,-0.9747746835781049,-0.9747746835781049,1.0
2160000,3.2637477,44.91705069124424,-0.54447967,-0.9265986175581058,-0.9265986175581058,1.0
2170000,3.2647486,42.93859649122807,-0.5457267,-0.8775962714040488,-0.8775962714040488,1.0
2180000,3.2653449,42.72052401746725,-0.54733413,-0.9044189968483938,-0.9044189968483938,1.0
2190000,3.2647493,51.41919191919192,-0.5495848,-0.9497217171721988,-0.9497217171721988,1.0
2200000,3.2647169,42.39819004524887,-0.552027,-0.9458805427831762,-0.9458805427831762,1.0
2210000,3.2661176,48.02450980392157,-0.5457807,-0.9024970595743141,-0.9024970595743141,1.0
2220000,3.2659445,55.73446327683616,-0.55449456,-0.9438265541852531,-0.9438265541852531,1.0
2230000,3.2677038,51.25388601036269,-0.54559165,-0.958813731225661,-0.958813731225661,1.0
2240000,3.2651443,48.725,-0.54280335,-0.8804394999146461,-0.8804394999146461,1.0
2250000,3.268777,63.41558441558441,-0.5417968,-0.9612081163115316,-0.9612081163115316,1.0
2260000,3.2692468,49.706214689265536,-0.5442967,-0.9549624293537463,-0.9549624293537463,1.0
2270000,3.2667093,54.68518518518518,-0.544652,-0.950888889807242,-0.950888889807242,1.0
2280000,3.2649126,63.11052631578947,-0.54521185,-0.9266671064652895,-0.9266671064652895,1.0
2290000,3.2663803,47.96517412935324,-0.5424521,-0.9305509948611852,-0.9305509948611852,1.0
2300000,3.265673,51.56315789473684,-0.5476119,-0.9160928939518176,-0.9160928939518176,1.0
2310000,3.2637937,43.24669603524229,-0.54872143,-0.9384810570053067,-0.9384810570053067,1.0
2320000,3.267123,50.32820512820513,-0.54143655,-0.9182469233488425,-0.9182469233488425,1.0
2330000,3.2651563,46.8716577540107,-0.54096884,-0.9361008020008311,-0.9361008020008311,1.0
2340000,3.265275,40.3160621761658,-0.5396652,-0.8651361977681518,-0.8651361977681518,1.0
2350000,3.2662184,73.45142857142856,-0.5429528,-0.9149670451879501,-0.9149670451879501,1.0
2360000,3.2642472,43.17982456140351,-0.54903185,-0.912290970134315,-0.912290970134315,1.0
2370000,3.2668767,52.66486486486487,-0.5496493,-0.9356900533681275,-0.9356900533681275,1.0
2380000,3.266329,48.27450980392157,-0.5449264,-0.9120541670743156,-0.9120541670743156,1.0
2390000,3.2670412,50.875,-0.54623544,-0.9480320308357477,-0.9480320308357477,1.0
2400000,3.2668605,50.943005181347154,-0.55208397,-0.9588028510617469,-0.9588028510617469,1.0
2410000,3.2665274,57.67058823529412,-0.5457859,-0.9648052941350376,-0.9648052941350376,1.0
2420000,3.2649343,46.345971563981045,-0.550262,-0.9059421855126512,-0.9059421855126512,1.0
2430000,3.2651508,44.31981981981982,-0.5469539,-0.9102146389248135,-0.9102146389248135,1.0
2440000,3.2648141,48.541463414634144,-0.5401414,-0.9027895119132066,-0.9027895119132066,1.0
2450000,3.2645156,41.60434782608696,-0.5472783,-0.9307160869888638,-0.9307160869888638,1.0
2460000,3.2642515,47.07177033492823,-0.54906344,-0.9333062206158798,-0.9333062206158798,1.0
2470000,3.2658327,49.13636363636363,-0.54274493,-0.9597136363236591,-0.9597136363236591,1.0
2480000,3.2645748,46.60952380952381,-0.5429592,-0.8672240481490181,-0.8672240481490181,1.0
