Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2956848,0.0,0.17364155,953.0,0.7615631818771362,0.7615631818771362,1.0
20000,3.2956862,0.0,0.16917798,2029.0,-1.0,-1.0,1.0
30000,3.294779,0.0,0.35924047,3211.0,0.053365275263786316,0.053365275263786316,1.0
40000,3.2948904,0.0,1.8859013,1886.75,-0.25,-0.25,1.0
50000,3.2892847,0.0,4.4969893,786.5,0.29111106395721437,0.29111106395721437,1.0
60000,3.277395,0.0,5.592011,3710.0,-0.3333333333333333,-0.3333333333333333,1.0
70000,3.2387655,0.0,5.9028506,2939.0,-0.25,-0.25,1.0
80000,3.2159593,0.0,5.7871532,2577.75,-0.4916639804840088,-0.4916639804840088,1.0
90000,3.0654294,0.0,5.4800673,None,0.0,0.0,1.0
100000,2.7995923,0.0,5.117222,3739.0,None,None,1.0
110000,2.4749365,0.0,4.6996927,3999.0,0.04333057006200155,0.04333057006200155,1.0
120000,2.2467337,0.0,4.3020134,2157.6666666666665,0.0,0.0,1.0
130000,1.9239182,0.0,3.9306147,1932.0,0.09531491994857788,0.09531491994857788,1.0
140000,1.4302102,0.0,3.5646346,3999.0,0.0,0.0,1.0
150000,1.2758127,0.0,3.2340455,2672.0,0.1990499973297119,0.1990499973297119,1.0
160000,1.2157621,0.0,2.9188707,3999.0,0.0,0.0,1.0
170000,1.1606431,0.0,2.6531324,3999.0,0.0,0.0,1.0
180000,1.0627154,0.0,2.4087794,3999.0,0.0,0.0,1.0
190000,1.1376166,0.0,2.1776423,3999.0,0.0,0.0,1.0
200000,0.9902033,0.0,1.9741856,3999.0,0.0,0.0,1.0
210000,0.9606308,0.0,1.7891209,3304.0,0.3474277853965759,0.3474277853965759,1.0
220000,0.8239701,0.0,1.6205423,3999.0,0.0,0.0,1.0
230000,0.7341102,0.0,1.4654323,3414.0,0.08778262138366699,0.08778262138366699,1.0
240000,0.693934,0.0,1.3231491,None,None,None,1.0
250000,0.60252434,0.0,1.1966013,2305.125,-0.25,-0.25,1.0
260000,0.65946287,0.0,1.0842353,3881.5,0.15613328417142233,0.15613328417142233,1.0
270000,0.34179667,0.0,0.9756053,3379.3333333333335,0.15492246548334757,0.15492246548334757,1.0
280000,0.534358,0.0,0.8788907,3999.0,None,None,1.0
