Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2957225,0.0,45.84375,0.015189142,-0.6414046989685578,-0.6414046989685578,1.0
20000,3.29572,0.0,53.127450980392155,0.007837163,-0.6819107725339777,-0.6819107725339777,1.0
30000,3.2877629,0.0,47.169082125603865,0.56437343,-0.6408407587271471,-0.6408407587271471,1.0
40000,2.9732745,0.0,51.75247524752475,3.2181954,-0.6195621215602727,-0.6195621215602727,1.0
50000,2.2581463,0.0,39.76271186440678,4.63368,-0.6700256514338265,-0.6700256514338265,1.0
60000,1.6801792,0.0,58.0314465408805,5.3193088,-0.6184226645286693,-0.6184226645286693,1.0
70000,1.3257018,0.0,52.333333333333336,5.7568316,-0.6480828544071743,-0.6480828544071743,1.0
80000,1.1239327,0.0,43.13824884792627,6.033445,-0.6811187089336992,-0.6811187089336992,1.0
90000,0.9830477,0.0,52.935483870967744,6.0830603,-0.6045339328980227,-0.6045339328980227,1.0
100000,0.8780473,0.0,41.49372384937239,5.9399023,-0.6743671495025441,-0.6743671495025441,1.0
110000,0.79766846,0.0,48.36040609137056,5.6076827,-0.6951316487250017,-0.6951316487250017,1.0
120000,0.7266819,0.0,48.532051282051285,5.137171,-0.5922061986064319,-0.5922061986064319,1.0
130000,0.69449806,0.0,44.60645161290323,4.610251,-0.6039190489798785,-0.6039190489798785,1.0
140000,0.6582591,0.0,92.46451612903226,4.0952225,-0.5128248196069886,-0.5128248196069886,1.0
150000,0.6656276,0.0,69.1474358974359,3.6802886,-0.44857643265878,-0.44857643265878,1.0
160000,0.67084986,0.0,53.07537688442211,3.2174795,-0.5684340076962697,-0.5684340076962697,1.0
170000,0.7064576,0.0,49.66883116883117,2.7555757,-0.4709217492271872,-0.4709217492271872,1.0
180000,0.69157916,0.0,67.5909090909091,2.3317091,-0.5370152961462736,-0.5370152961462736,1.0
190000,0.7204231,0.0,43.78894472361809,1.9760498,-0.4401366325836737,-0.4401366325836737,1.0
200000,0.6884054,0.0,57.61290322580645,1.6378095,-0.4581257870120387,-0.4581257870120387,1.0
210000,0.7090954,0.0,72.93525179856115,1.3510368,-0.4072362833643613,-0.4072362833643613,1.0
220000,0.7244657,0.0,62.063291139240505,1.0630805,-0.4147086776561619,-0.4147086776561619,1.0
230000,0.72327423,0.0,61.152866242038215,0.84708714,-0.2813122308017402,-0.2813122308017402,1.0
240000,0.7115806,0.0,55.13812154696133,0.63386333,-0.35540586327486495,-0.35540586327486495,1.0
250000,0.70859987,0.0,53.642857142857146,0.48246554,-0.27125356869144335,-0.27125356869144335,1.0
260000,0.7048276,0.0,63.006211180124225,0.35035488,-0.15215506382331162,-0.15215506382331162,1.0
270000,0.7315718,0.0,51.46666666666667,0.22633423,-0.06373754324833991,-0.06373754324833991,1.0
280000,0.70401263,0.0,66.57961783439491,0.12863179,-0.2627355036766906,-0.2627355036766906,1.0
290000,0.6989806,0.0,52.71508379888268,0.07381019,-0.09802975582946194,-0.09802975582946194,1.0
300000,0.6912431,0.0,61.528301886792455,0.006316342,-0.10755960208288631,-0.10755960208288631,1.0
310000,0.68227214,0.0,63.731884057971016,-0.041714612,-0.01566967998977995,-0.01566967998977995,1.0
320000,0.704986,0.0,60.7247191011236,-0.0721066,-0.07006862136603749,-0.07006862136603749,1.0
330000,0.69316596,0.0,55.78651685393258,-0.10185116,-0.14601830939451854,-0.14601830939451854,1.0
340000,0.6998527,0.0,66.16666666666667,-0.13847736,-0.1811833041054862,-0.1811833041054862,1.0
350000,0.67152995,0.0,86.08029197080292,-0.14976338,0.06815152070415553,0.06815152070415553,1.0
360000,0.69882876,0.0,59.83225806451613,-0.1822867,-0.07160786539316177,-0.07160786539316177,1.0
370000,0.7102675,0.0,65.19375,-0.1963166,-0.06801809929311275,-0.06801809929311275,1.0
380000,0.7238864,0.0,66.03649635036497,-0.22234054,-0.033058605605749775,-0.033058605605749775,1.0
390000,0.6822139,0.0,63.57541899441341,-0.22211939,0.01015243867793715,0.01015243867793715,1.0
400000,0.66954315,0.0,63.38405797101449,-0.2278204,0.057670776130390816,0.057670776130390816,1.0
410000,0.69785064,0.0,69.94202898550725,-0.242068,-0.09415819219180516,-0.09415819219180516,1.0
420000,0.71232355,0.0,80.32592592592593,-0.25146985,0.15718470129274553,0.15718470129274553,1.0
430000,0.6746015,0.0,64.83571428571429,-0.24142452,-2.8934659837167475e-07,-2.8934659837167475e-07,1.0
440000,0.68663925,0.0,57.94904458598726,-0.2460985,0.09995334037881813,0.09995334037881813,1.0
450000,0.71230006,0.0,70.58227848101266,-0.26355556,0.12793687652600438,0.12793687652600438,1.0
460000,0.68671,0.0,50.85427135678392,-0.25948313,0.10968533496266787,0.10968533496266787,1.0
470000,0.68518776,0.0,73.66101694915254,-0.2709653,0.13159927635481863,0.13159927635481863,1.0
480000,0.70569915,0.0,65.9171974522293,-0.28858137,0.07525906024440643,0.07525906024440643,1.0
490000,0.67257017,0.0,70.86330935251799,-0.29243746,-0.006267004254935444,-0.006267004254935444,1.0
500000,0.6984365,0.0,60.910614525139664,-0.29501832,0.07654944150405522,0.07654944150405522,1.0
510000,0.6862497,0.0,61.25316455696203,-0.29886982,0.10366959416348001,0.10366959416348001,1.0
520000,0.7086545,0.0,68.63503649635037,-0.31340355,0.05749107697116795,0.05749107697116795,1.0
530000,0.6817916,0.0,60.89928057553957,-0.31378266,0.07890496520619643,0.07890496520619643,1.0
540000,0.72288823,0.0,52.45454545454545,-0.30981347,0.14966139893331928,0.14966139893331928,1.0
