Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2957284,0.0,0.18724076,1422.0,0.800000011920929,0.800000011920929,1.0
20000,3.2957296,0.0,0.17772366,2539.0,1.5703018307685852,1.5703018307685852,1.0
30000,3.2951946,0.0,0.3714401,3077.375,3.6599001288414,3.6599001288414,1.0
40000,3.2948153,0.0,1.8878413,3999.0,1.6929435580968857,1.6929435580968857,1.0
50000,3.2901971,0.0,4.3919945,3999.0,0.6000000238418579,0.6000000238418579,1.0
60000,3.2771351,0.0,5.5313416,1517.25,0.9000000357627869,0.9000000357627869,1.0
70000,3.237798,0.0,5.886215,2028.125,2.522789865732193,2.522789865732193,1.0
80000,3.1775599,0.0,5.781629,2791.5,1.5728285312652588,1.5728285312652588,1.0
90000,2.867932,0.0,5.502997,1626.4,3.5411135256290436,3.5411135256290436,1.0
100000,1.5727721,0.0,5.3688445,217.76470588235293,1.9484545900271488,1.9484545900271488,1.0
110000,1.0934643,0.0,4.9566245,398.84615384615387,3.3359239557210136,3.3359239557210136,1.0
120000,1.1294607,0.0,4.6875257,492.70588235294116,2.9147926460612905,2.9147926460612905,1.0
130000,0.48921707,0.0,4.6037064,567.1052631578947,2.1724475145339968,2.1724475145339968,1.0
140000,0.4932275,0.0,4.421348,456.7142857142857,3.285291373729706,3.285291373729706,1.0
150000,0.5550561,0.0,4.2307067,984.7142857142857,2.172817516326904,2.172817516326904,1.0
160000,0.55427307,0.0,4.032924,854.7058823529412,2.517205364174313,2.517205364174313,1.0
170000,0.61545825,0.0,4.0720034,585.2,2.4382664039731026,2.4382664039731026,1.0
180000,0.6487546,0.0,4.109065,556.6896551724138,3.5032183144773756,3.5032183144773756,1.0
190000,0.66086435,0.0,3.9422572,295.32,3.365940570831299,3.365940570831299,1.0
200000,0.52755153,0.0,3.7660737,325.258064516129,3.0186064624786377,3.0186064624786377,1.0
210000,0.5263749,0.0,3.7187555,214.07142857142858,2.7134465520198527,2.7134465520198527,1.0
220000,0.54274994,0.0,3.5282722,141.43055555555554,2.756807384952422,2.756807384952422,1.0
230000,0.65071625,0.0,3.3789887,317.9,2.8488383729283404,2.8488383729283404,1.0
240000,0.6858656,0.0,3.2263725,201.37254901960785,2.986560891071955,2.986560891071955,1.0
