Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,3.2957633,43.58849557522124,-0.053887196,-0.955874445438385,-0.955874445438385,1.0
20000,3.2957647,40.78151260504202,-0.049246833,-0.9750285724631879,-0.9750285724631879,1.0
30000,3.2884762,39.221774193548384,0.40256885,-0.9301063598770845,-0.9301063598770845,1.0
40000,2.9486425,54.53030303030303,2.9683144,-0.9403560009598732,-0.9403560009598732,1.0
50000,2.28814,41.276018099547514,4.316506,-0.9749278842622016,-0.9749278842622016,1.0
60000,1.8138205,38.779661016949156,4.8759627,-0.917973662109532,-0.917973662109532,1.0
70000,1.2205191,51.0632183908046,5.2420363,-0.9518533345424768,-0.9518533345424768,1.0
80000,0.9663001,69.35897435897436,5.535576,-0.9202767996788025,-0.9202767996788025,1.0
90000,0.886785,48.44954128440367,5.7339525,-0.9623877358324123,-0.9623877358324123,1.0
100000,0.819286,54.297413793103445,5.685924,-0.9781984650252158,-0.9781984650252158,1.0
110000,0.7745673,48.832402234636874,5.4739194,-0.9483052110299468,-0.9483052110299468,1.0
120000,0.7410264,45.817796610169495,5.052989,-0.9546515906398947,-0.9546515906398947,1.0
130000,0.70747143,42.07272727272727,4.612009,-0.9295285407420808,-0.9295285407420808,1.0
140000,0.6839085,55.58988764044944,4.1661377,-0.9662227295339108,-0.9662227295339108,1.0
150000,0.65005165,37.29957805907173,3.6004763,-0.9918579918439271,-0.9918579918439271,1.0
160000,0.6332692,38.433179723502306,3.0157397,-0.9435634427475479,-0.9435634427475479,1.0
170000,0.6921799,69.0340909090909,2.6828895,-0.945397253874894,-0.945397253874894,1.0
180000,0.75773585,42.1036036036036,2.2147892,-0.9558977742812463,-0.9558977742812463,1.0
190000,0.76187086,46.647887323943664,1.7865978,-0.9499340942411711,-0.9499340942411711,1.0
200000,0.6624183,66.17647058823529,1.4204966,-0.9442482515648528,-0.9442482515648528,1.0
210000,0.7261167,52.101522842639596,1.0576159,-0.9376736975585421,-0.9376736975585421,1.0
220000,0.73155975,43.74431818181818,0.82233983,-0.9029748645988671,-0.9029748645988671,1.0
230000,0.68838996,78.88461538461539,0.6261101,-0.923458334345084,-0.923458334345084,1.0
240000,0.6677778,43.67777777777778,0.4260365,-0.8848745928284871,-0.8848745928284871,1.0
250000,0.7011475,61.06542056074766,0.26568773,-0.8233591162512455,-0.8233591162512455,1.0
260000,0.7074628,52.943820224719104,0.117025405,-0.8601432439443227,-0.8601432439443227,1.0
270000,0.71536887,49.19796954314721,-0.016326737,-0.9380005178056232,-0.9380005178056232,1.0
280000,0.6788493,51.382165605095544,-0.13266353,-0.8925092812783704,-0.8925092812783704,1.0
290000,0.60405403,56.696969696969695,-0.20394303,-0.8836200724553017,-0.8836200724553017,1.0
300000,0.63816905,67.51127819548873,-0.2674113,-0.9546640149571679,-0.9546640149571679,1.0
310000,0.64919096,69.38983050847457,-0.26406124,-0.870845987840935,-0.870845987840935,1.0
320000,0.5372783,48.713235294117645,-0.31493193,-0.8937206673622131,-0.8937206673622131,1.0
330000,0.54492384,83.48684210526316,-0.25441754,-0.9060148549252662,-0.9060148549252662,1.0
340000,0.52017933,63.58646616541353,-0.2713473,-0.8466548944686676,-0.8466548944686676,1.0
350000,0.52143985,91.03787878787878,-0.28295994,-0.9234465388151315,-0.9234465388151315,1.0
360000,0.53220105,49.1551724137931,-0.2697208,-0.8586308335264524,-0.8586308335264524,1.0
370000,0.5867815,82.75757575757575,-0.28680786,-0.9156165384329282,-0.9156165384329282,1.0
380000,0.5887366,74.03225806451613,-0.35271937,-0.8763062085201537,-0.8763062085201537,1.0
390000,0.5872444,75.05806451612904,-0.30365497,-0.8596607386665857,-0.8596607386665857,1.0
400000,0.47060397,59.68888888888889,-0.18444332,-0.9588608244030746,-0.9588608244030746,1.0
410000,0.4369535,44.87777777777778,-0.21057512,-0.9151074467821324,-0.9151074467821324,1.0
420000,0.43807405,178.32608695652175,0.004199982,-0.8767493830786811,-0.8767493830786811,1.0
430000,0.5823525,76.15328467153284,0.27399707,-0.9223553204367346,-0.9223553204367346,1.0
440000,0.65752864,76.64948453608247,-0.01588468,-0.952381117546812,-0.952381117546812,1.0
450000,0.7366891,44.885,0.9908751,-0.9613264561856835,-0.9613264561856835,1.0
460000,0.6698498,42.44949494949495,0.90589494,-0.9130410207706747,-0.9130410207706747,1.0
470000,0.61173403,44.253807106598984,2.7127187,-0.9398824120286721,-0.9398824120286721,1.0
480000,0.628395,67.61538461538461,2.8129764,-0.946666042434978,-0.946666042434978,1.0
490000,0.51348674,47.835,7.1504292,-0.9512438736125535,-0.9512438736125535,1.0
500000,0.22205801,46.313131313131315,16.31121,-0.9265413161955381,-0.9265413161955381,1.0
510000,0.17114338,37.5662100456621,14.870817,-0.9566128261711286,-0.9566128261711286,1.0
520000,0.18655607,40.41203703703704,16.207159,-0.9172117512346962,-0.9172117512346962,1.0
530000,0.21118149,53.742616033755276,16.407475,-0.9450705511085058,-0.9450705511085058,1.0
540000,0.2073888,29.652173913043477,13.136416,-0.9492492725632408,-0.9492492725632408,1.0
550000,0.2365017,29.421259842519685,11.467733,-0.9523229078942561,-0.9523229078942561,1.0
