Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
100000,3.2922974,566.1942857142857,1199.502232653927,0.121757574,-0.0158662257875715,-0.0158662257875715,0.0023312564,0.06383243,9.893961e-05,1.0
200000,3.2792912,572.6954022988506,1198.653605293359,0.053998534,-0.011653289027597713,-0.011653289027597713,0.0011265058,0.07227913,9.710425e-05,1.0
300000,3.275707,567.819209039548,1199.9859215194572,0.028506951,-0.02173405750996649,-0.02173405750996649,0.0014386346,0.07187841,9.506115e-05,1.0
400000,3.264643,543.6740331491712,1200.0538982607516,0.0042230524,-0.04132770273566905,-0.04132770273566905,0.0016925534,0.06533837,9.300734e-05,1.0
500000,3.2558403,574.4593023255813,1199.4214299787527,0.01437554,-0.007920236781586048,-0.007920236781586048,0.0012086332,0.073846534,9.0929585e-05,1.0
600000,3.2337449,575.0635838150289,1199.271070590376,0.013778712,-0.051282879934145535,-0.051282879934145535,0.0011038082,0.07084994,8.8869405e-05,1.0
700000,3.2273753,585.7109826589596,1200.274310389638,0.013015154,0.015151392581850984,0.015151392581850984,0.0004993762,0.06562923,8.702138e-05,1.0
800000,3.194297,591.4939759036145,1200.8150860793396,0.008897961,-0.02043914794921875,-0.02043914794921875,0.0002670336,0.05213328,8.515788e-05,1.0
900000,3.1629422,580.7988505747127,1199.914619157688,0.020345561,-0.03390227823421873,-0.03390227823421873,0.0012111733,0.0788518,8.299394e-05,1.0
1000000,3.182806,585.3076923076923,1198.2734914047849,0.015041878,-0.03770405159899469,-0.03770405159899469,0.00080346095,0.06978979,8.0928185e-05,1.0
1100000,3.1516573,577.2816091954023,1197.2718069904956,0.0064779534,-0.024572512199138773,-0.024572512199138773,0.0007809466,0.06811925,7.889427e-05,1.0
1200000,3.1365135,594.0969696969697,1197.5535285863211,0.0067964806,-0.006787817405931877,-0.006787817405931877,0.00044991748,0.06020078,7.700306e-05,1.0
1300000,3.1598198,588.0867052023121,1197.0379041895164,-0.0016046813,-0.04298846707867749,-0.04298846707867749,0.00050093926,0.06056703,7.502413e-05,1.0
1400000,3.1919498,597.875,1196.3303837008464,-0.011851281,-0.0048404902404879935,-0.0048404902404879935,0.00036459666,0.053953547,7.290812e-05,1.0
1500000,3.1588378,594.2951807228916,1197.4094742161112,-0.0032194082,-0.0014739443111970935,-0.0014739443111970935,0.00018089896,0.059770174,7.101841e-05,1.0
1600000,3.1179273,598.9756097560976,1197.716873533044,0.0019576077,4.083281610070205e-05,4.083281610070205e-05,9.169885e-06,0.041582942,6.910665e-05,1.0
1700000,3.1149297,592.5672514619883,1197.6936950435443,-0.00029007145,0.001966826399864509,0.001966826399864509,0.0002381557,0.052555084,6.697744e-05,1.0
1800000,3.103298,590.6325301204819,1198.6739045370045,-0.00064842985,-0.005911620984594506,-0.005911620984594506,0.00013878087,0.055106033,6.501571e-05,1.0
1900000,3.1068747,586.6781609195402,1198.397641786909,-0.0044563585,0.003689306538279464,0.003689306538279464,0.00043812193,0.07055324,6.2935476e-05,1.0
2000000,3.1101196,591.8834355828221,1198.1521381677715,-0.009580167,-0.007323710215574055,-0.007323710215574055,0.00031026494,0.06595723,6.0912433e-05,1.0
2100000,3.1077332,584.7485380116959,1197.8332228247089,-0.004045996,-0.026797075369204695,-0.026797075369204695,0.000652986,0.063073784,5.8947386e-05,1.0
2200000,3.1109471,591.7134502923976,1198.5454018969251,-0.016001511,-0.007995836218895271,-0.007995836218895271,0.000266172,0.057614468,5.68764e-05,1.0
2300000,3.1173468,581.9651162790698,1198.509184618017,-0.007398299,-0.008740060899886617,-0.008740060899886617,0.000673764,0.07403833,5.5012508e-05,1.0
2400000,3.1132336,592.6036585365854,1198.4704713867654,-0.008845247,-0.010635890023556747,-0.010635890023556747,0.0002411975,0.05428163,5.3051986e-05,1.0
2500000,3.1191998,574.9774011299435,1199.1675749644603,-0.005998506,0.017284425483508545,0.017284425483508545,0.0008742423,0.06559586,5.098438e-05,1.0
2600000,3.122942,583.9526627218935,1201.1818958238389,-0.0029989055,-0.030472389389486872,-0.030472389389486872,0.00081752834,0.06843491,4.8945163e-05,1.0
2700000,3.124195,559.3163841807909,1200.6980829995268,0.008497696,-0.017470182672058795,-0.017470182672058795,0.0013839431,0.07856069,4.6884077e-05,1.0
2800000,3.1247694,571.7840909090909,1202.9581209873888,0.008936633,0.009599749041699815,0.009599749041699815,0.00080749916,0.07958149,4.4838034e-05,1.0
2900000,3.1452553,583.0,1203.636640564098,0.0021550087,-0.03736182215601899,-0.03736182215601899,0.0009440165,0.075834,4.2999047e-05,1.0
3000000,3.1327515,578.8620689655172,1203.5846982369512,-0.0025747465,-0.033009665549835025,-0.033009665549835025,0.0008380334,0.073961936,4.1135667e-05,1.0
3100000,3.1328695,575.4825581395348,1201.784010394443,-0.012636102,-0.061720454968468993,-0.061720454968468993,0.001438837,0.07917312,3.895261e-05,1.0
3200000,3.138676,585.9176470588235,1198.5975051299165,-0.010557644,-0.024607678721932803,-0.024607678721932803,0.00076261174,0.06747384,3.6897363e-05,1.0
3300000,3.1469216,570.1085714285714,1198.6637344150552,-0.012024978,-0.02453315530504499,-0.02453315530504499,0.0013223207,0.0776148,3.4864457e-05,1.0
3400000,3.1588342,574.3882352941176,1199.2191927677245,-0.012532517,-0.027127215090919945,-0.027127215090919945,0.0008575758,0.07209915,3.303466e-05,1.0
3500000,3.1525688,580.2628571428571,1200.0191684394683,-0.010474167,-0.039247444697788784,-0.039247444697788784,0.0009929363,0.06653184,3.1176758e-05,1.0
3600000,3.1433122,567.5965909090909,1201.1045106004624,-0.005285757,-0.021020547662462506,-0.021020547662462506,0.0012578354,0.0798409,2.9123534e-05,1.0
3700000,3.1448617,577.2543352601156,1202.6656752685838,-0.0015053721,-0.013162524535738188,-0.013162524535738188,0.00079912145,0.06598271,2.7066306e-05,1.0
3800000,3.1399667,569.3294117647059,1203.2507402005776,-0.0038311735,-0.0140905232119137,-0.0140905232119137,0.00096626056,0.072425224,2.5009034e-05,1.0
3900000,3.1335487,561.0444444444445,1202.6275889787898,-0.0009992525,-0.016160145978242654,-0.016160145978242654,0.0014630057,0.08736227,2.295148e-05,1.0
4000000,3.142561,573.4655172413793,1202.5242220584803,-0.0070323823,-0.03837506181892307,-0.03837506181892307,0.0012401652,0.08329079,2.0915695e-05,1.0
4100000,3.1353033,567.5168539325842,1203.1115599554278,-0.009700209,-0.007975186082138413,-0.007975186082138413,0.0010020209,0.07841341,1.887053e-05,1.0
4200000,3.1422212,567.5755813953489,1204.2369160777487,-0.004798004,-0.002674060889652797,-0.002674060889652797,0.0011956327,0.07279668,1.6979558e-05,1.0
4300000,3.1455734,575.1954022988506,1203.97132942033,-0.006452234,-0.022633616266579462,-0.022633616266579462,0.00089474145,0.07708466,1.5108332e-05,1.0
4400000,3.149154,573.6206896551724,1204.7429992743655,-0.005973175,-0.031018859318324498,-0.031018859318324498,0.0010328235,0.07547198,1.3060267e-05,1.0
4500000,3.1559756,582.8197674418604,1204.1926124541906,-0.008043199,-0.0325016483317974,-0.0325016483317974,0.0006619609,0.07502866,1.1003249e-05,1.0
4600000,3.1630142,583.3764705882353,1204.2203577868981,-0.00564726,-0.020337002517203606,-0.020337002517203606,0.00041838386,0.067620516,9.036741e-06,1.0
4700000,3.1702788,579.8058823529411,1204.6461532679862,-0.008363249,-0.03123933704275834,-0.03123933704275834,0.001279373,0.07813732,7.1679933e-06,1.0
4800000,3.165318,577.316091954023,1207.0753414455044,-0.0060031563,0.003186326259854196,0.003186326259854196,0.0006537036,0.06567095,5.122686e-06,1.0
4900000,3.1681168,578.6488095238095,1207.4918148726156,-0.0033912666,-0.019866138518213512,-0.019866138518213512,0.00086383277,0.073019244,3.0626131e-06,1.0
5000000,3.169564,572.9375,1207.3235429774065,-0.00546191,-0.05595016208561984,-0.05595016208561984,0.0010873735,0.0747715,1.0502836e-06,1.0
