Steps,Policy/Entropy,Environment/Episode Length,Self-play/ELO,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
100000,3.2957773,510.9248434237996,1201.571231402355,0.093733296,-0.04628153642018636,-0.04628153642018636,0.01883962,0.012412101,9.964081e-06,1.0
200000,3.2954042,595.3170028818444,1201.8475798440481,0.074410215,-0.017579204269817898,-0.017579204269817898,0.0050124726,0.013126922,9.9142635e-06,1.0
300000,3.2951696,519.7062937062936,1201.6751418840581,0.050659955,-0.02884218160824109,-0.02884218160824109,0.0035880092,0.013258753,9.866464e-06,1.0
400000,3.294528,478.77251184834125,1201.0231690435642,0.029278701,-0.08606210507844624,-0.08606210507844624,0.0057622343,0.013574594,9.822518e-06,1.0
500000,3.2941244,596.0769230769231,1200.9399828410005,0.014713893,-0.02755034326793191,-0.02755034326793191,0.0046458095,0.012348419,9.779451e-06,1.0
600000,3.2943416,599.0,1200.9399828410005,0.008162003,0.0,0.0,0.0014278495,0.011291847,9.731738e-06,1.0
700000,3.2935607,550.4004914004914,1200.9399828410005,0.0049369596,-0.02242775953532568,-0.02242775953532568,0.002390798,0.0105500845,9.672806e-06,1.0
800000,3.293647,528.2251815980629,1200.8908846007678,0.00025500916,-0.025032706597712652,-0.025032706597712652,0.0036799703,0.01089495,9.619385e-06,1.0
900000,3.2934356,598.0372340425532,1201.7549331222242,-0.001682384,-0.004404576238757836,-0.004404576238757836,0.00090884184,0.011670455,9.574578e-06,1.0
1000000,3.2934794,596.4985754985755,1202.398476981823,-0.0010623166,0.004379229988166672,0.004379229988166672,0.000793493,0.012338054,9.528193e-06,1.0
1100000,3.2939403,545.0278745644599,1200.0609435457534,-0.0030503855,-0.060159334871504044,-0.060159334871504044,0.0018493063,0.011308581,9.474498e-06,1.0
1200000,3.292929,510.90128755364805,1195.9607804472137,-0.008726684,-0.10383555189294008,-0.10383555189294008,0.0050066747,0.011657879,9.420812e-06,1.0
1300000,3.2930365,576.868073878628,1195.8273921534817,-0.013383,-0.032827850022067916,-0.032827850022067916,0.001390683,0.0112870345,9.374287e-06,1.0
1400000,3.2929015,599.0,1196.471308561985,-0.009645693,0.0,0.0,0.000512211,0.012450378,9.329888e-06,1.0
1500000,3.2916481,542.6769230769231,1196.7600107422145,-0.007874445,-0.019120472830695075,-0.019120472830695075,0.0015635797,0.011247472,9.27454e-06,1.0
1600000,3.2915678,530.8776371308016,1195.3911345936754,-0.008085487,-0.06138815062562215,-0.06138815062562215,0.0035983277,0.0133919455,9.217283e-06,1.0
1700000,3.2922852,599.0,1195.5165518287731,-0.0071438234,0.0,0.0,0.00038369282,0.011811189,9.173053e-06,1.0
1800000,3.2921488,599.0,1195.6594138066357,-0.004540213,0.0,0.0,0.00036216885,0.010405552,9.127754e-06,1.0
1900000,3.2911935,466.24,1195.7760434487952,-0.0055700485,-0.023248011867205303,-0.023248011867205303,0.0020318546,0.0113318665,9.083976e-06,1.0
2000000,3.2899787,587.2238267148015,1202.2707285198364,-0.0039068777,-0.02277244539821849,-0.02277244539821849,0.003378576,0.011597466,9.036339e-06,1.0
2100000,3.291141,599.0,1201.4595500879043,-0.004707263,0.0,0.0,0.0006516434,0.011309651,8.977607e-06,1.0
2200000,3.2903724,565.5165876777252,1201.1599736926107,-0.0038920261,-0.06326622503429817,-0.06326622503429817,0.0004931604,0.013247503,8.923742e-06,1.0
2300000,3.2902663,523.8229885057472,1201.9150950294181,-0.004627801,-0.04038113017672116,-0.04038113017672116,0.0027110917,0.01286711,8.879664e-06,1.0
2400000,3.290072,585.0054644808744,1202.1913194846675,-0.004121003,-0.006266664343270642,-0.006266664343270642,0.0029061222,0.012848073,8.8345605e-06,1.0
2500000,3.2910318,595.3214285714286,1201.971069320825,-0.0040482767,-0.005053777894574011,-0.005053777894574011,0.00041756747,0.011642619,8.776453e-06,1.0
2600000,3.28921,562.860103626943,1201.4333990582709,-0.0031970066,-0.0256946732878019,-0.0256946732878019,0.0015044371,0.014118128,8.719599e-06,1.0
2700000,3.289397,531.7494033412888,1200.4481055003932,-0.004980314,-0.061336799044358105,-0.061336799044358105,0.0027441094,0.011487093,8.675127e-06,1.0
2800000,3.289751,578.5530726256983,1203.4905428718293,-0.007737894,0.014544213782845206,0.014544213782845206,0.00077508466,0.011906087,8.626246e-06,1.0
2900000,3.2901697,599.0,1203.4390325930544,-0.0046886997,0.0,0.0,0.00031784538,0.011985129,8.577217e-06,1.0
3000000,3.2885888,534.1912225705329,1204.706964159353,-0.002792683,-0.003587107619513636,-0.003587107619513636,0.0018601645,0.012630683,8.529253e-06,1.0
3100000,3.2881842,524.0495412844036,1203.2327384576968,-0.0035660528,-0.0738997764848358,-0.0738997764848358,0.0035774312,0.013091422,8.4843805e-06,1.0
3200000,3.2890067,599.0,1201.2141208557598,-0.008132321,0.0,0.0,0.0005110464,0.011046904,8.427501e-06,1.0
3300000,3.290001,599.0,1201.3755394092198,-0.005725802,0.0,0.0,0.00019828365,0.012146538,8.372552e-06,1.0
3400000,3.2875717,474.0210526315789,1201.0762712331323,-0.0038936075,-0.06326846937531407,-0.06326846937531407,0.0017542616,0.011473376,8.328668e-06,1.0
3500000,3.287413,584.3738601823708,1199.1547548525366,-0.008592036,-0.02042045858171251,-0.02042045858171251,0.0032355746,0.011952221,8.281394e-06,1.0
3600000,3.2862444,595.5278592375366,1200.631164010057,-0.0073038647,0.005875349044799805,0.005875349044799805,0.0003412885,0.012781691,8.22268e-06,1.0
