Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
100000,3.2784956,0.0,571.68,0.07552179,0.31880274920285434,0.31880274920285434,0.0061341594,0.07539381,0.00030000004,1.0
200000,3.200175,0.0,400.32530120481925,0.14774852,1.2745707925543728,1.2745707925543728,0.011944429,0.104497336,0.00030000004,1.0
300000,3.0416698,0.0,211.10191082802547,0.43107414,1.851270656392073,1.851270656392073,0.037447866,0.09673437,0.00030000004,1.0
400000,2.8529997,0.0,135.6051912568306,0.6869097,2.0082904939320896,2.0082904939320896,0.054474767,0.0953514,0.00030000004,1.0
500000,2.7061641,0.0,111.80721533258173,0.91030806,2.162931316516445,2.162931316516445,0.06901974,0.09520346,0.00030000004,1.0
600000,2.5997655,1.0,92.21468401486989,0.8652326,1.4581871761154508,1.4581871761154508,0.040046897,0.11847966,0.00030000004,1.0
700000,2.488897,1.0,87.72177777777777,0.8038071,1.5452089096572663,1.5452089096572663,0.029146714,0.12257045,0.00030000004,1.0
800000,2.4133005,1.0,82.12739383846794,0.79416454,1.597413821854659,1.597413821854659,0.031431485,0.121499024,0.00030000004,1.0
900000,2.3435209,1.0,81.84602649006622,0.85495275,1.689932942859187,1.689932942859187,0.034595963,0.13012402,0.00030000004,1.0
1000000,2.231638,1.0,76.1953667953668,0.92893904,1.7534564053690112,1.7534564053690112,0.03011861,0.12208749,0.00030000004,1.0
1100000,2.231723,2.0,77.74625689519307,0.63495034,0.7937630464281032,0.7937630464281032,0.023821577,0.16126646,0.00030000004,1.0
1200000,2.226889,2.0,66.6765899864682,0.5179007,0.8047700655395833,0.8047700655395833,0.026376251,0.13203862,0.00030000004,1.0
1300000,2.1651056,2.0,55.92141230068337,0.5262953,0.8703405590969772,0.8703405590969772,0.01949431,0.17304474,0.00030000004,1.0
1400000,2.008511,2.0,46.878889420775494,0.4938003,0.8932159842915259,0.8932159842915259,0.01712709,0.23850375,0.00030000004,1.0
1500000,1.8461572,2.0,38.07307542008597,0.47999,0.9144627683420766,0.9144627683420766,0.018704472,0.33902782,0.0003,1.0
