Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Is Training
100000,3.2755163,0.0,40.32562938505984,-0.46462396,-0.7241490545361914,-0.7241490545361914,0.06752984,0.22764441,0.00030000004,1.0
200000,3.2243798,0.0,43.63181411974978,-0.54055494,-0.6613705757409467,-0.6613705757409467,0.051089555,0.14826633,0.00030000004,1.0
300000,3.1914623,0.0,46.829279923700526,-0.5305538,-0.5824550335701002,-0.5824550335701002,0.056143444,0.13508953,0.00030000004,1.0
400000,3.131773,0.0,50.51393188854489,-0.52139205,-0.5332485063140374,-0.5332485063140374,0.048440725,0.1332978,0.00030000004,1.0
500000,3.0528955,0.0,50.34203789042499,-0.5341858,-0.42145520180875806,-0.42145520180875806,0.057094768,0.13235433,0.00030000004,1.0
600000,2.9495885,1.0,47.19691863264323,-0.5548336,-0.431823614811145,-0.431823614811145,0.067547016,0.15320106,0.00030000004,1.0
700000,2.7491772,1.0,36.8034155597723,-0.4993158,0.03994379853334395,0.03994379853334395,0.13249725,0.29171094,0.0003,1.0
800000,2.1640582,1.0,16.95417934490782,-0.3901841,0.7153228433823398,0.7153228433823398,0.41109908,1.0213119,0.00030000004,1.0
900000,1.7340617,1.0,13.01774148127288,-0.43986443,0.8173008792842781,0.8173008792842781,0.60095996,1.4016961,0.0003,1.0
1000000,1.4535803,1.0,12.205419695968274,-0.41320673,0.8521071017316236,0.8521071017316236,0.6290195,1.5072554,0.00030000004,1.0
1100000,1.470643,2.0,13.781979320531757,-0.5319519,0.6456177316349356,0.6456177316349356,0.6039038,1.3180157,0.0003,1.0
1200000,1.8506899,2.0,20.307462686567163,-0.5363402,0.37600312836758504,0.37600312836758504,0.35006195,0.7446034,0.0003,1.0
1300000,1.7441589,2.0,19.575514403292182,-0.52873075,0.3851515173666762,0.3851515173666762,0.36604762,0.79117167,0.00030000004,1.0
1400000,1.6015544,2.0,17.520837192072605,-0.5483449,0.5124510196010853,0.5124510196010853,0.46210992,0.98077744,0.00030000004,1.0
1500000,1.4144267,2.0,15.855433866891323,-0.5359951,0.5526648777015287,0.5526648777015287,0.5198592,1.1295961,0.00030000004,1.0
1600000,1.3094393,2.0,15.557800596223915,-0.5224995,0.5589064315045342,0.5589064315045342,0.51218295,1.1331011,0.0003,1.0
1700000,1.2708322,2.0,15.079421221864951,-0.5293855,0.5628100028376816,0.5628100028376816,0.5390214,1.179851,0.0003,1.0
1800000,1.2807133,2.0,15.094202898550725,-0.531018,0.5821683617447632,0.5821683617447632,0.54278076,1.1975542,0.0003,1.0
1900000,1.3089215,2.0,15.223880597014926,-0.5223729,0.5818150047935656,0.5818150047935656,0.54177254,1.2087929,0.0003,1.0
2000000,1.1968743,2.0,14.72048420059739,-0.511655,0.604397634705776,0.604397634705776,0.5454545,1.2387816,0.0003,1.0
2100000,1.3407646,2.0,15.59960258320914,-0.5253229,0.5626165806121428,0.5626165806121428,0.5190236,1.1620941,0.0003,1.0
2200000,1.3470553,2.0,15.995228357191547,-0.5261215,0.5610022139244891,0.5610022139244891,0.5045479,1.1298743,0.00030000004,1.0
2300000,1.2589997,2.0,14.928378163297788,-0.5161769,0.5880844213142018,0.5880844213142018,0.5260522,1.2126307,0.0003,1.0
2400000,1.1391183,2.0,14.012173128944996,-0.4826271,0.6018379690502033,0.6018379690502033,0.5450313,1.276005,0.0003,1.0
2500000,1.0499454,2.0,12.559066865590669,-0.4398095,0.6115150102875179,0.6115150102875179,0.5707975,1.3794664,0.00030000004,1.0
2600000,1.1530515,2.0,13.332043565491546,-0.462724,0.6086644238893941,0.6086644238893941,0.5470183,1.3339858,0.0003,1.0
2700000,1.1744778,2.0,13.786189560845779,-0.4730358,0.591639067353572,0.591639067353572,0.53767323,1.3004841,0.0003,1.0
2800000,1.1643311,2.0,13.720889150596202,-0.42577824,0.5871418430888025,0.5871418430888025,0.50076866,1.2762839,0.0003,1.0
2900000,1.1677028,2.0,14.021180712032447,-0.45042413,0.5906586567704091,0.5906586567704091,0.5234318,1.280203,0.0003,1.0
