Steps,Policy/Entropy,Environment/Lesson,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
100000,3.1046407,0.0,0.19804956,550.463687150838,0.2105888865675245,0.2105888865675245,0.001373276,-0.30577624,0.00037202187,0.0003864812,0.022202324,0.001,1.0
200000,0.8048523,0.0,0.36250857,175.77777777777777,1.7405135185062457,1.7405135185062457,0.0012089871,-0.26209396,0.00053779944,0.0005107536,0.0009070387,0.0010000002,1.0
300000,0.59000546,0.0,0.67557967,29.647326852976914,3.1167447936120256,3.1167447936120256,0.0018438635,-0.39052492,0.0007943596,0.0007149778,0.0068076905,0.0010000002,1.0
400000,1.0101982,0.0,0.53892744,31.975983989326217,3.109622379407287,3.109622379407287,0.001521402,-0.39848047,0.0006808874,0.000657573,0.0012900089,0.001,1.0
500000,0.5757623,0.0,1.0382969,32.168044988422096,3.0925052998372733,3.0925052998372733,0.0020103827,-0.38074544,0.0007934634,0.00071229023,0.002050338,0.0010000002,1.0
600000,0.87759936,1.0,0.2788427,30.969271003595946,2.047825752720383,2.047825752720383,0.0014691266,-0.33991098,0.00060783117,0.0006210978,0.0011335971,0.0010000002,1.0
700000,0.58507013,1.0,0.43541557,31.049107142857142,2.032248187768486,2.032248187768486,0.0011900959,-0.3127236,0.00040785634,0.0004401246,0.0023676157,0.0010000002,1.0
800000,0.7957557,1.0,0.101990655,31.58198314970836,2.0261337716310948,2.0261337716310948,0.0006994876,-0.30322003,0.0002986184,0.00024208445,0.0012159491,0.0010000002,1.0
900000,0.5556822,1.0,-0.033117022,31.015020773410036,2.026042224647464,2.026042224647464,0.00108349,-0.2914449,0.0005072335,0.00033412836,0.0035009442,0.0010000002,1.0
1000000,0.84946984,1.0,0.13220629,30.05,2.042968226087242,2.042968226087242,0.0008112924,-0.30098826,0.00034050696,0.00025172764,0.0045208605,0.0010000002,1.0
1100000,0.81484073,2.0,-0.113322124,28.58978978978979,0.9528567961949723,0.9528567961949723,0.0003891996,-0.20111,0.00015315849,0.000118221295,0.0012666273,0.0010000002,1.0
1200000,0.80734974,2.0,-0.15614685,31.25168756027001,0.9449909039911564,0.9449909039911564,0.00023505947,-0.15663251,9.152178e-05,7.1990005e-05,0.0009675333,0.0010000002,1.0
1300000,0.65584385,2.0,0.010911508,30.442241107963486,0.9444153870162699,0.9444153870162699,0.00018749307,-0.15936258,7.463739e-05,6.0255305e-05,0.0005735373,0.0010000002,1.0
1400000,0.5718124,2.0,-0.005770253,31.76791584483892,0.9450727037807345,0.9450727037807345,0.00021479286,-0.15407681,9.1363756e-05,6.0306375e-05,0.0010644598,0.001,1.0
1500000,0.75909936,2.0,0.09243283,33.032786885245905,0.9432818955166744,0.9432818955166744,0.00033814297,-0.16285297,0.00019447747,5.8957918e-05,0.0027409995,0.001,1.0
1600000,0.70768815,2.0,0.18024078,33.127457627118645,0.9433387828724725,0.9433387828724725,0.00035159415,-0.16741481,0.00019833984,7.546712e-05,0.0020006245,0.0010000002,1.0
1700000,0.69379914,2.0,0.17539491,31.695851029075467,0.9452027226685699,0.9452027226685699,0.0003255217,-0.1712404,0.00016491758,9.945326e-05,0.0019856333,0.0010000002,1.0
1800000,0.79659605,2.0,0.35082707,33.439750692520775,0.9429940272481887,0.9429940272481887,0.00037501723,-0.16534448,0.0001386083,5.7548157e-05,0.0014172149,0.0010000002,1.0
1900000,0.8980304,2.0,0.13777378,31.356772521062865,0.9437938898240955,0.9437938898240955,0.00047576893,-0.15109795,0.00015635356,7.697299e-05,0.00050215557,0.001,1.0
2000000,0.6214956,2.0,0.08863152,38.87040695377321,0.9302379761140338,0.9302379761140338,0.00033748458,-0.12049068,0.00013643473,9.033506e-05,0.0011931462,0.0010000002,1.0
2100000,0.67711383,3.0,0.0025047981,223.61851015801355,-0.41920818016755396,-0.41920818016755396,0.0021789116,-0.026760811,0.0010424112,0.0010128478,0.0026347986,0.0010000002,1.0
2200000,0.6626235,3.0,-0.092965126,170.0068143100511,-0.8607702627009952,-0.8607702627009952,0.0031509618,0.075010225,0.0015261186,0.0015289882,0.0013305419,0.0010000002,1.0
2300000,0.66852796,3.0,-0.1808467,211.0148619957537,-0.8288364528354846,-0.8288364528354846,0.0021952412,0.15049694,0.0010589027,0.0010584125,0.0011959282,0.0010000002,1.0
2400000,0.71272326,3.0,-0.22162715,199.20816326530613,-0.8486243061000301,-0.8486243061000301,0.0020594397,0.18571779,0.0009417291,0.00093787024,0.0012248293,0.0010000002,1.0
2500000,0.6586893,3.0,-0.28334928,164.66612377850163,-0.8874215528761086,-0.8874215528761086,0.002375107,0.2288526,0.0009980926,0.0009788874,0.0012031043,0.0010000002,1.0
2600000,0.74304,3.0,-0.3179159,156.64500792393028,-0.9044835610995217,-0.9044835610995217,0.0021303173,0.25444412,0.0010075729,0.0009935935,0.00089745293,0.0010000002,1.0
2700000,0.6682414,3.0,-0.30987415,186.6346516007533,-0.880911545299772,-0.880911545299772,0.0017910324,0.2550062,0.00086674397,0.0008676515,0.0012114813,0.0010000002,1.0
2800000,0.6088201,3.0,-0.29538184,182.77106227106228,-0.8911466143488223,-0.8911466143488223,0.0017951615,0.24589553,0.0008817808,0.0008826996,0.0010367836,0.0010000002,1.0
2900000,0.6583683,3.0,-0.2953182,185.01862197392924,-0.8993714099230035,-0.8993714099230035,0.0017488099,0.24491212,0.0008654856,0.00086609885,0.0012390689,0.0010000002,1.0
3000000,0.7074996,3.0,-0.28382823,182.67889908256882,-0.8667558129203276,-0.8667558129203276,0.0018428437,0.23524944,0.00091693964,0.0009162427,0.0013376565,0.0010000002,1.0
3100000,0.7205421,3.0,-0.30421236,164.80431177446104,-0.8575501522475845,-0.8575501522475845,0.0020907468,0.24422616,0.0010308898,0.0010214149,0.0011240543,0.0010000002,1.0
3200000,0.6848954,3.0,-0.32354462,173.22680412371133,-0.8355572578378581,-0.8355572578378581,0.0018499668,0.26421735,0.0009172634,0.0009145079,0.0008207743,0.0010000002,1.0
3300000,0.64307183,3.0,-0.31702974,201.42592592592592,-0.864774991584018,-0.864774991584018,0.0015877893,0.26670858,0.00078445533,0.00078394194,0.0010229329,0.0010000002,1.0
3400000,0.6245348,3.0,-0.3012344,180.80645161290323,-0.877111607271692,-0.877111607271692,0.0017546855,0.24739642,0.000849428,0.0008481729,0.0012937292,0.0010000002,1.0
3500000,0.6342822,3.0,-0.30991352,168.32708688245316,-0.901722995002391,-0.901722995002391,0.0018626968,0.24945001,0.000917378,0.00091859716,0.0009737102,0.0010000002,1.0
3600000,0.6934283,3.0,-0.3292235,151.848623853211,-0.9054796962241484,-0.9054796962241484,0.0018882257,0.2629372,0.0009194292,0.0009200715,0.0010103247,0.0010000002,1.0
3700000,0.6259821,3.0,-0.35331693,169.85714285714286,-0.9065010852756954,-0.9065010852756954,0.0017680111,0.28446457,0.00087474496,0.0008760317,0.0008602625,0.001,1.0
3800000,0.6686921,3.0,-0.32689384,184.30426716141002,-0.8650350348535939,-0.8650350348535939,0.0016692835,0.27097932,0.0008253845,0.00082739943,0.0012131893,0.0010000002,1.0
3900000,0.6758144,3.0,-0.2978843,179.73224043715848,-0.8604595227577195,-0.8604595227577195,0.0017979412,0.2485529,0.00089267746,0.00089497917,0.0011091173,0.0010000002,1.0
4000000,0.6585942,3.0,-0.2901834,160.3671497584541,-0.8845340487631884,-0.8845340487631884,0.00200334,0.2371545,0.000997779,0.0010002579,0.0011343946,0.0010000002,1.0
4100000,0.64891535,4.0,-0.35677418,69.45604002859186,-0.9641037525931851,-0.9641037525931851,0.0024267645,0.24825534,0.0012100918,0.0012106731,0.0016730411,0.0010000002,1.0
4200000,0.6792873,4.0,-0.42778718,86.49161518093557,-0.9487303897124649,-0.9487303897124649,0.0018651844,0.30874914,0.00092339574,0.0009228389,0.0019820412,0.0010000002,1.0
4300000,0.75334024,4.0,-0.44760093,76.16897081413211,-0.9574481243319556,-0.9574481243319556,0.0018271807,0.3156972,0.00088193885,0.0008810357,0.0019289157,0.0010000002,1.0
4400000,0.65933096,4.0,-0.46134,83.35046335299073,-0.952841588772214,-0.952841588772214,0.0016601392,0.33619848,0.0008109357,0.0008104369,0.0017816745,0.0010000002,1.0
4500000,0.5986184,4.0,-0.4648882,86.72679045092838,-0.9418716800967084,-0.9418716800967084,0.001739062,0.32894754,0.0008536891,0.00085334445,0.0015699822,0.0010000002,1.0
4600000,0.67111504,4.0,-0.4514948,75.73150266971777,-0.9547793304326434,-0.9547793304326434,0.0018101622,0.32478487,0.00089283194,0.00089331006,0.0016450245,0.0010000002,1.0
4700000,0.6686378,4.0,-0.47524738,77.67949725058916,-0.9658945713256555,-0.9658945713256555,0.0017554126,0.33608302,0.0008572422,0.00085690885,0.0018518382,0.0010000002,1.0
4800000,0.6439379,4.0,-0.46965262,82.94256756756756,-0.9499444437247736,-0.9499444437247736,0.0017140851,0.33958802,0.0008397529,0.00084009784,0.0016094905,0.001,1.0
4900000,0.6888617,4.0,-0.48178896,70.06719085060757,-0.96186053017931,-0.96186053017931,0.0016535711,0.3263916,0.000817815,0.0008181613,0.001571345,0.0010000002,1.0
5000000,0.65057814,4.0,-0.46961194,87.6634446397188,-0.9540245549197782,-0.9540245549197782,0.0015840753,0.34498504,0.00078759494,0.0007882993,0.0017619181,0.0010000002,1.0
5100000,0.6271801,4.0,-0.46672788,92.28824626865672,-0.9426541208322888,-0.9426541208322888,0.0015806016,0.34179604,0.000786292,0.00078733696,0.0020407625,0.0010000002,1.0
5200000,0.68738496,4.0,-0.45456064,87.35440783615316,-0.9514795359945424,-0.9514795359945424,0.0017291288,0.3318285,0.0008616463,0.00086263806,0.0021088256,0.0010000002,1.0
5300000,0.63844043,4.0,-0.46933094,74.77050413844997,-0.9552307804065951,-0.9552307804065951,0.0017572,0.32832116,0.00087577186,0.0008767263,0.0017548972,0.0010000002,1.0
5400000,0.61334246,4.0,-0.46914068,89.17410714285714,-0.9437363802637617,-0.9437363802637617,0.0016233821,0.33944812,0.0008054288,0.00080623926,0.0018238149,0.0010000002,1.0
5500000,0.65972984,4.0,-0.46526995,77.45577689243028,-0.9524578179238709,-0.9524578179238709,0.0017238413,0.33661193,0.00085840194,0.000859472,0.0018516784,0.0010000002,1.0
5600000,0.7083433,4.0,-0.48406637,75.64768413059984,-0.9526048410899008,-0.9526048410899008,0.0016769326,0.33779716,0.00083489285,0.0008358838,0.0013362924,0.0010000002,1.0
5700000,0.63543886,4.0,-0.47593108,80.0836038961039,-0.9563884966178146,-0.9563884966178146,0.00177537,0.33894315,0.00088144024,0.00088231696,0.0022490444,0.0010000002,1.0
5800000,0.69036424,4.0,-0.48239902,75.07645259938838,-0.957107820784846,-0.957107820784846,0.0016261304,0.34217775,0.0008079604,0.00080900826,0.0015920709,0.0010000002,1.0
5900000,0.60501665,4.0,-0.47230342,88.89279279279279,-0.9424438603632926,-0.9424438603632926,0.0016682546,0.34580952,0.00082912395,0.0008302126,0.0019318932,0.0010000002,1.0
6000000,0.6468958,4.0,-0.44107914,89.72914798206278,-0.9379159822644252,-0.9379159822644252,0.0017846201,0.32759187,0.0008835977,0.00088458264,0.0029833938,0.0010000002,1.0
6100000,0.7164515,5.0,-0.48051226,52.52162162162162,-0.9639401850829253,-0.9639401850829253,0.0018512832,0.29780695,0.0009215693,0.00092241616,0.0016353362,0.0010000002,1.0
6200000,0.68416095,5.0,-0.5535298,50.094435936702396,-0.9664440570187545,-0.9664440570187545,0.0014961897,0.32284778,0.00073879614,0.00073895266,0.0015368271,0.0010000002,1.0
6300000,0.75768113,5.0,-0.59652185,43.463742166517456,-0.9749928758776267,-0.9749928758776267,0.0012537311,0.33196017,0.00060632767,0.0006061156,0.0015053938,0.0010000002,1.0
6400000,0.65152264,5.0,-0.62952703,49.14257128564282,-0.9747454190815056,-0.9747454190815056,0.0011414959,0.3570176,0.0005238839,0.0005223979,0.0013722293,0.0010000002,1.0
6500000,0.6841226,5.0,-0.61963767,46.23429381199811,-0.9730009491817713,-0.9730009491817713,0.0012683609,0.35054982,0.0005943439,0.00059335114,0.0010877925,0.0010000002,1.0
6600000,0.6540276,5.0,-0.60955137,48.16625676340384,-0.9604370756369659,-0.9604370756369659,0.0013082172,0.35201502,0.000606408,0.00060582877,0.0011148774,0.0010000002,1.0
6700000,0.65925443,5.0,-0.6227816,46.5030996661898,-0.971672541868119,-0.971672541868119,0.0011401582,0.3430545,0.0005528803,0.0005526285,0.001420244,0.0010000002,1.0
6800000,0.7198006,5.0,-0.6032488,52.4320987654321,-0.9564529677509238,-0.9564529677509238,0.001404815,0.3631832,0.0006787213,0.00067841186,0.0013545621,0.0010000002,1.0
6900000,0.6486969,5.0,-0.6099602,48.532907662082515,-0.9728248937049055,-0.9728248937049055,0.0012328018,0.35786757,0.00060953904,0.00060989533,0.0011571116,0.0010000002,1.0
7000000,0.6969671,5.0,-0.5991494,50.03002544529262,-0.9697805571349405,-0.9697805571349405,0.0012396664,0.3477054,0.00061542995,0.0006161949,0.0016121212,0.0010000002,1.0
7100000,0.6889175,5.0,-0.60237485,46.48684839789574,-0.9612689139961287,-0.9612689139961287,0.0012303609,0.34108004,0.00061321084,0.00061418384,0.0015667663,0.0010000002,1.0
7200000,0.6986416,5.0,-0.58785117,53.454842219804135,-0.9671006233931629,-0.9671006233931629,0.0013920624,0.36136317,0.0006928794,0.00069382566,0.0018502126,0.0010000002,1.0
7300000,0.6780467,5.0,-0.60045093,49.364504776269484,-0.970716822888691,-0.970716822888691,0.0012436103,0.3436669,0.0006200076,0.0006210091,0.0012581595,0.0010000002,1.0
7400000,0.6493742,5.0,-0.601469,52.223991507430995,-0.9709726531707549,-0.9709726531707549,0.0011625284,0.3654972,0.0005788097,0.0005796866,0.0014056626,0.0010000002,1.0
7500000,0.6835538,5.0,-0.6001122,48.91189646590343,-0.9727320727777196,-0.9727320727777196,0.0012080503,0.34868315,0.00060179504,0.0006026281,0.0015491887,0.0010000002,1.0
7600000,0.70694125,5.0,-0.60581374,47.049586776859506,-0.9553906905148368,-0.9553906905148368,0.0011962615,0.33870983,0.0005954006,0.0005963866,0.0010680634,0.0010000002,1.0
7700000,0.6677901,5.0,-0.62169635,41.7199830292745,-0.9848060525757868,-0.9848060525757868,0.0009874193,0.3279661,0.00049257796,0.0004933595,0.0012735005,0.0010000002,1.0
7800000,0.7147687,5.0,-0.6944028,48.7519801980198,-0.9617935561660501,-0.9617935561660501,0.00089769246,0.39375806,0.00042189905,0.00042256174,0.0011482087,0.001,1.0
7900000,0.71085525,5.0,-0.71287864,46.99615014436959,-0.9512387416063449,-0.9512387416063449,0.0009693968,0.39999345,0.0004613023,0.0004622804,0.0010186709,0.0010000002,1.0
8000000,0.7041909,5.0,-0.796264,44.944979367262725,-0.9671858729928827,-0.9671858729928827,0.00079733925,0.44247526,0.00035959028,0.00036035146,0.000667359,0.0010000002,1.0
8100000,0.6065165,6.0,-0.8045764,16.083404839540073,-0.9811311258135089,-0.9811311258135089,0.00033504548,0.2273758,0.0001541251,0.00015443636,0.0022752513,0.0010000002,1.0
