Steps,Policy/Entropy,Environment/Lesson,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
100000,2.7670515,0.0,38.39827856025039,0.093610905,-0.7361534287512631,-0.7361534287512631,0.007615952,-0.098238036,0.0033802213,0.0033654291,0.024416855,0.001,1.0
200000,0.79122424,0.0,54.909960607765896,-0.2474707,-0.6241239847519521,-0.6241239847519521,0.0030026876,0.19575113,0.0013383642,0.0013530126,0.0019682897,0.0010000002,1.0
300000,0.7403455,0.0,50.74535123966942,-0.45802656,-0.5493233325519054,-0.5493233325519054,0.0018285424,0.36669964,0.00085723837,0.00085978466,0.0017665615,0.0010000002,1.0
400000,0.6527555,0.0,47.056304138594804,-0.41876397,-0.6114469118218824,-0.6114469118218824,0.002393016,0.31751648,0.0011769979,0.0011801757,0.0021809137,0.0010000002,1.0
500000,0.7366312,0.0,54.614491150442475,-0.37337175,-0.44543454301984686,-0.44543454301984686,0.0028238515,0.28457507,0.0013909526,0.0013969076,0.0024716759,0.0010000002,1.0
600000,0.62754035,1.0,38.19794140934283,-0.3746799,-0.311926358103517,-0.311926358103517,0.0025643692,0.24098654,0.0012727324,0.0012099863,0.004807867,0.0010000002,1.0
700000,0.7313779,1.0,48.50990099009901,-0.37858108,-0.19009877593285146,-0.19009877593285146,0.0032096677,0.25060618,0.0015532948,0.0014779808,0.0021214008,0.0010000002,1.0
800000,0.6571474,1.0,39.77183673469388,-0.42571187,-0.2461991216621549,-0.2461991216621549,0.0034680897,0.23314227,0.0016726463,0.0016437569,0.0044223955,0.001,1.0
900000,0.63483244,1.0,24.81469157921679,-0.25149554,0.4567130014990674,0.4567130014990674,0.0034733054,0.061416257,0.0016331873,0.0016335963,0.0077398596,0.001,1.0
1000000,0.6931289,1.0,33.50207756232687,-0.40920886,-0.06458883998372954,-0.06458883998372954,0.0045150197,0.10949697,0.0022104045,0.002240665,0.0059212837,0.0010000002,1.0
1100000,0.5055281,2.0,16.83832227997849,-0.4254614,0.5113353731493647,0.5113353731493647,0.0034352895,0.07143457,0.0016661241,0.0017035118,0.010108871,0.001,1.0
1200000,0.770281,2.0,21.125557537912577,-0.5167791,0.2547044613180819,0.2547044613180819,0.003703896,0.094517194,0.0017710696,0.0018462236,0.016616555,0.0010000002,1.0
1300000,0.757523,2.0,18.035761841354386,-0.42165473,0.3778025650710864,0.3778025650710864,0.003475324,0.09975032,0.0015013334,0.0018849709,0.01685346,0.0010000002,1.0
1400000,0.928489,2.0,25.24431075071933,-0.45390645,-0.2802351124939836,-0.2802351124939836,0.0029705097,0.1610691,0.0014427311,0.0015170238,0.009847546,0.0010000002,1.0
1500000,0.60692185,2.0,16.936208445642407,-0.38366923,0.4942780950525499,0.4942780950525499,0.0039960453,0.086565435,0.0019311792,0.0020541812,0.016670287,0.0010000002,1.0
1600000,0.7369191,2.0,20.34263959390863,-0.32295588,0.35418803912155733,0.35418803912155733,0.0037021802,0.09517604,0.0018019514,0.0018900927,0.009853055,0.0010000002,1.0
1700000,0.73132414,2.0,16.626110124333927,-0.27703872,0.5885606310717005,0.5885606310717005,0.003578836,0.062022932,0.0017028521,0.0018675796,0.017009178,0.0010000002,1.0
1800000,0.590685,2.0,17.26027646416879,-0.24993497,0.4230946370245155,0.4230946370245155,0.0035512042,0.060667615,0.0017242641,0.0018197421,0.013588508,0.0010000002,1.0
1900000,0.6336085,2.0,19.07314629258517,-0.20020407,0.25368458381466646,0.25368458381466646,0.0035780254,0.05084319,0.001755144,0.0018164947,0.013244803,0.0010000002,1.0
2000000,0.59508014,2.0,18.163594470046082,-0.15300822,0.5060025056851996,0.5060025056851996,0.0034136446,0.027908126,0.0016498291,0.0017575821,0.017583854,0.0010000002,1.0
2100000,0.62861276,2.0,19.87626475548061,-0.18421508,0.3469563027306713,0.3469563027306713,0.0036653625,0.050439518,0.0017943823,0.0018640462,0.012804258,0.0010000002,1.0
2200000,0.80366075,2.0,27.5380696292103,-0.14846423,0.12269595900712568,0.12269595900712568,0.003935496,0.042926308,0.0019385527,0.001990444,0.0152515685,0.0010000002,1.0
2300000,0.62969935,2.0,23.219870098628817,-0.16183078,0.08117145789300034,0.08117145789300034,0.003930073,0.04960363,0.0019430396,0.0019800868,0.009111742,0.0010000002,1.0
2400000,0.7176805,2.0,21.234396048495736,-0.13710906,0.304956735687909,0.304956735687909,0.0037102224,0.03395704,0.0018253874,0.0018789951,0.01488676,0.0010000002,1.0
2500000,0.7085146,2.0,19.01141826923077,-0.13990551,0.3826656688937364,0.3826656688937364,0.003735012,0.028964791,0.0018216135,0.0019074687,0.014642562,0.0010000002,1.0
